H,1562741557,700040
P,1562741557,5160
P,1562741587,5162
P,1562741616,5161
P,1562741645,5162
P,1562741674,5162
P,1562741704,5162
P,1562741733,5163
P,1562741763,5162
P,1562741793,5162
P,1562741822,5162
P,1562741851,5161
P,1562741880,5162
P,1562741910,5161
P,1562741939,5163
P,1562741968,5162
P,1562741998,5163
P,1562742027,5163
P,1562742057,5163
P,1562742086,5163
P,1562742116,5162
P,1562742145,5162
P,1562742174,5162
P,1562742204,5162
P,1562742233,5163
P,1562742262,5163
P,1562742291,5161
P,1562742321,5163
P,1562742351,5163
P,1562742380,5163
P,1562742410,5163
P,1562742439,5162
P,1562742468,5162
P,1562742497,5162
P,1562742527,5161
P,1562742556,5162
P,1562742585,5161
P,1562742615,5163
P,1562742645,5163
P,1562742674,5163
P,1562742703,5163
P,1562742733,5162
P,1562742762,5164
P,1562742791,5162
P,1562742820,5163
O,1562742834,702797,6610
O,1562742835,703652,2441
O,1562742835,704777,2258
O,1562742836,705080,1387
O,1562742836,703790,1439
O,1562742837,703361,1260
O,1562742838,703110,487
O,1562742838,707072,6256
O,1562742839,703158,2546
O,1562742839,702693,4938
O,1562742840,705410,6063
O,1562742840,703002,2498
O,1562742841,702994,1988
O,1562742842,702298,2771
O,1562742842,703142,2649
O,1562742843,703257,2707
O,1562742843,702379,2545
O,1562742844,702001,2124
O,1562742844,702705,488
O,1562742845,703065,351
O,1562742846,702648,1184
O,1562742846,702029,4238
O,1562742847,702364,2493
O,1562742847,704455,3693
O,1562742848,707634,3041
O,1562742848,701967,6515
O,1562742849,701231,5176
O,1562742850,700844,5622
O,1562742850,702552,4529
P,1562742850,5154
O,1562742851,704529,11820
O,1562742851,709786,12620
O,1562742852,702183,8233
O,1562742852,703378,3692
O,1562742853,702405,2953
O,1562742854,702688,1169
O,1562742854,703250,1961
O,1562742855,703306,2156
O,1562742855,705007,870
O,1562742856,703787,1138
O,1562742856,703767,1934
O,1562742857,703394,1119
O,1562742857,702477,1601
O,1562742858,702129,834
O,1562742859,702810,703
O,1562742859,702790,892
O,1562742860,701226,2187
O,1562742860,700414,3150
O,1562742861,702273,1812
O,1562742861,701659,2765
O,1562742861,701164,4117
O,1562742862,702171,1851
O,1562742862,702571,1413
O,1562742863,702728,739
O,1562742863,703103,330
O,1562742864,703003,126
O,1562742864,703044,776
O,1562742865,702186,1798
O,1562742866,700845,1871
O,1562742866,699519,4184
O,1562742867,696954,7301
O,1562742867,692658,18144
O,1562742868,693201,13424
O,1562742868,699075,10197
O,1562742869,698941,7556
O,1562742870,700403,3730
O,1562742870,701069,3076
O,1562742871,699869,2881
O,1562742871,701272,1798
O,1562742872,701149,1562
O,1562742872,699491,7522
O,1562742873,700492,3957
O,1562742874,702212,1966
O,1562742874,701768,2904
O,1562742875,701896,1867
O,1562742875,700718,1908
O,1562742876,701813,1911
O,1562742876,700650,2540
O,1562742877,699589,4532
O,1562742877,698059,3246
O,1562742878,700151,2214
O,1562742879,702263,498
O,1562742879,700205,1560
P,1562742879,5156
O,1562742880,698589,2376
O,1562742880,698355,2110
O,1562742881,699123,2609
O,1562742881,698809,1792
O,1562742882,698993,2583
O,1562742883,700822,1454
O,1562742883,702628,1006
O,1562742884,701804,4093
O,1562742884,701002,3580
O,1562742885,701025,1740
O,1562742885,700804,2190
O,1562742886,698182,3018
O,1562742887,696589,3948
O,1562742887,699369,4445
O,1562742888,696678,8475
O,1562742888,696880,7725
O,1562742889,697909,3284
O,1562742889,695907,3638
O,1562742890,696822,2987
T,1562742890,2954
P,1562742908,5160
P,1562742939,5162
P,1562742968,5162
P,1562742997,5164
P,1562743026,5161
P,1562743056,5164
P,1562743085,5163
P,1562743114,5163
P,1562743144,5163
P,1562743173,5162
P,1562743202,5162
P,1562743232,5162
P,1562743262,5162
P,1562743291,5164
P,1562743320,5162
P,1562743350,5162
P,1562743379,5162
P,1562743408,5162
P,1562743437,5162
P,1562743467,5160
P,1562743496,5163
P,1562743526,5162
P,1562743556,5162
P,1562743585,5162
P,1562743614,5163
P,1562743643,5162
P,1562743673,5162
P,1562743702,5162
P,1562743731,5162
P,1562743761,5164
P,1562743790,5162
P,1562743820,5163
P,1562743849,5163
P,1562743879,5162
P,1562743908,5163
P,1562743937,5164
P,1562743967,5163
P,1562743996,5164
P,1562744025,5163
P,1562744054,5163
P,1562744084,5163
P,1562744114,5163
P,1562744144,5163
P,1562744174,5162
P,1562744203,5164
P,1562744232,5163
P,1562744261,5163
P,1562744291,5163
P,1562744320,5163
P,1562744349,5163
P,1562744379,5164
P,1562744409,5162
P,1562744438,5164
P,1562744467,5162
P,1562744497,5163
