H,1563662486,700040
X,1563662486,1014835,2744
X,1563662486,1015116,3382
X,1563662487,1015224,3055
X,1563662487,1014997,4215
X,1563662488,1015351,6991
X,1563662489,1015566,9206
X,1563662489,1015262,4029
X,1563662490,1015652,1962
X,1563662490,1015702,1965
X,1563662491,1015498,1847
X,1563662491,1015121,5168
X,1563662492,1015975,4418
X,1563662493,1015726,4050
X,1563662493,1015502,3850
X,1563662494,1016189,2443
X,1563662494,1015434,3708
X,1563662495,1014973,6856
X,1563662495,1015491,2383
X,1563662496,1015398,1674
X,1563662496,1014916,1383
X,1563662497,1014862,2131
X,1563662498,1015746,3892
X,1563662498,1016291,4658
X,1563662499,1015193,5955
X,1563662499,1015115,1497
X,1563662500,1015028,2151
X,1563662500,1015036,1938
X,1563662501,1015222,9437
X,1563662502,1015148,12418
X,1563662502,1015494,2153
X,1563662503,1015075,1588
P,1563662503,5130
X,1563662503,1015398,3191
X,1563662504,1016176,10012
X,1563662504,1014744,15207
X,1563662505,1016701,10387
X,1563662506,1016184,13260
X,1563662506,1015074,12035
X,1563662507,1016300,13514
X,1563662507,1016110,11210
X,1563662508,1016076,4674
X,1563662508,1015845,4788
X,1563662509,1015886,6363
X,1563662510,1016094,7570
X,1563662510,1016256,4783
X,1563662511,1016027,4398
X,1563662511,1015738,2993
X,1563662512,1015724,895
X,1563662512,1015729,1684
X,1563662513,1015761,2357
X,1563662514,1015958,2085
X,1563662514,1016257,2158
X,1563662515,1015992,3011
X,1563662515,1016342,3918
X,1563662516,1015958,11054
X,1563662516,1016259,2443
X,1563662517,1016458,1933
X,1563662517,1016457,870
X,1563662518,1016432,1114
X,1563662519,1016604,1460
X,1563662519,1016669,1026
X,1563662520,1017069,1893
X,1563662520,1016725,2891
X,1563662521,1016929,4276
X,1563662521,1017074,7938
X,1563662522,1017434,22495
X,1563662523,1017343,44233
X,1563662523,1016795,19843
X,1563662524,1017346,15055
X,1563662524,1016422,6518
X,1563662524,1017910,13702
X,1563662524,1016734,5180
X,1563662525,1017039,22153
X,1563662526,1016938,3764
X,1563662526,1016802,3032
X,1563662527,1016870,5368
X,1563662527,1016592,4570
X,1563662528,1016966,3272
X,1563662528,1016764,3688
X,1563662529,1016950,1414
X,1563662530,1016983,5450
X,1563662530,1016850,2607
X,1563662531,1016629,2794
X,1563662531,1017052,2464
X,1563662532,1016881,1519
P,1563662532,5132
X,1563662532,1016693,1843
X,1563662533,1016897,1875
X,1563662534,1017172,2214
X,1563662534,1017125,4780
X,1563662535,1017155,2590
X,1563662535,1016740,3560
X,1563662536,1016176,3951
X,1563662536,1016632,3083
X,1563662537,1016942,3811
X,1563662537,1017300,4796
X,1563662538,1017579,9794
X,1563662539,1017284,10676
X,1563662539,1017258,7889
X,1563662540,1017376,27196
X,1563662540,1017135,3315
X,1563662541,1017241,1517
X,1563662541,1017377,1734
X,1563662542,1017391,1304
X,1563662543,1017429,1180
X,1563662543,1017419,1154
X,1563662544,1017147,2961
X,1563662544,1017357,1730
X,1563662545,1017816,7847
X,1563662545,1017124,3804
X,1563662546,1017360,856
X,1563662547,1017639,1139
X,1563662547,1017329,2803
X,1563662548,1017915,2461
X,1563662548,1017521,1226
X,1563662549,1017491,1255
X,1563662549,1017390,712
X,1563662550,1017562,793
X,1563662551,1017563,765
A,1563662551,1036471,39023
T,1563662551,2987
U,1563662551,46836
X,1563662553,1016607,12323
X,1563662553,1017562,16908
X,1563662554,1017333,2817
X,1563662554,1017411,1004
X,1563662555,1017520,801
X,1563662555,1017678,16300
X,1563662556,1017194,3232
X,1563662556,1017274,25475
X,1563662557,1017575,1282
X,1563662558,1017367,913
X,1563662558,1017498,521
X,1563662559,1017603,1441
X,1563662559,1017574,765
X,1563662560,1017640,1111
X,1563662560,1017663,882
X,1563662561,1017591,2414
X,1563662562,1017714,963
P,1563662562,5131
X,1563662562,1017707,1250
X,1563662563,1017554,1391
X,1563662563,1017910,5877
X,1563662564,1017980,18280
X,1563662564,1017831,13508
X,1563662565,1017686,9545
X,1563662565,1017876,9535
X,1563662565,1018761,10877
X,1563662566,1017047,8849
X,1563662566,1017523,2948
X,1563662567,1017533,1297
X,1563662567,1017417,2332
X,1563662568,1017619,995
X,1563662569,1017533,1753
X,1563662569,1017879,2630
X,1563662570,1017609,3275
X,1563662570,1017753,1484
X,1563662571,1018372,6496
X,1563662571,1018331,21403
X,1563662572,1018407,6053
X,1563662573,1017882,3570
X,1563662573,1018101,1997
X,1563662574,1018141,726
X,1563662574,1018239,932
X,1563662575,1018206,673
X,1563662575,1018274,1283
X,1563662576,1018299,863
X,1563662576,1018266,1042
X,1563662577,1018158,2173
X,1563662578,1018343,782
X,1563662578,1018104,1854
