H,1564448982,700040
P,1564448982,5040
X,1564448982,1064642,942
X,1564448982,1064577,1196
X,1564448983,1064556,1336
X,1564448983,1064535,1170
X,1564448984,1065692,12422
X,1564448985,1064566,5195
X,1564448985,1064675,2414
X,1564448986,1064677,21832
X,1564448986,1064747,2381
X,1564448987,1064630,900
X,1564448987,1064614,713
X,1564448988,1064565,1377
X,1564448989,1064496,1381
X,1564448989,1064637,1308
X,1564448990,1064582,1112
X,1564448990,1064537,1213
X,1564448991,1064558,990
X,1564448991,1064533,16571
X,1564448992,1064787,2729
X,1564448993,1064633,15911
X,1564448993,1064669,1059
X,1564448994,1064627,1177
X,1564448994,1064786,961
X,1564448995,1064816,16256
X,1564448995,1064780,1742
X,1564448996,1064560,18177
X,1564448997,1064734,2454
X,1564448997,1064734,1021
X,1564448998,1064742,1117
X,1564448998,1064868,690
X,1564448999,1064740,1194
X,1564448999,1064836,1260
X,1564449000,1064718,1168
X,1564449000,1064676,1267
X,1564449001,1064665,1139
X,1564449002,1064560,834
X,1564449002,1064478,1056
X,1564449003,1064543,591
X,1564449003,1064528,1576
X,1564449004,1064435,926
X,1564449004,1064442,853
X,1564449005,1064509,918
X,1564449006,1064539,626
X,1564449006,1064565,732
X,1564449007,1064611,765
X,1564449007,1064588,1083
X,1564449008,1064529,878
X,1564449008,1064557,1017
X,1564449009,1064520,1349
X,1564449010,1064479,1328
X,1564449010,1064477,21844
X,1564449011,1064446,1593
X,1564449011,1064649,21533
P,1564449012,5042
X,1564449012,1065131,5198
X,1564449012,1064682,1200
X,1564449013,1064468,1268
X,1564449014,1064504,1046
X,1564449014,1064530,1253
X,1564449015,1064404,1364
X,1564449015,1064429,1006
X,1564449016,1064344,1358
X,1564449016,1064369,931
X,1564449017,1064448,1280
X,1564449018,1064387,1020
X,1564449018,1064363,1122
X,1564449018,1064434,1183
X,1564449018,1064467,1066
X,1564449019,1064426,659
X,1564449019,1064481,1032
X,1564449020,1064552,1152
X,1564449020,1064517,861
A,1564449020,1064570,499
T,1564449021,2918
R,1564449021,6000B7B6F4
X,1564449022,1064455,973
X,1564449023,1064434,1068
X,1564449024,1064493,1017
X,1564449024,1064536,1049
X,1564449025,1064469,1118
X,1564449025,1064442,836
X,1564449026,1064498,1021
X,1564449026,1064464,895
X,1564449027,1064515,952
X,1564449028,1064476,812
X,1564449028,1064567,1342
X,1564449029,1064412,18614
X,1564449029,1064324,5112
X,1564449030,1064737,20336
X,1564449030,1065077,8488
X,1564449031,1064634,1769
X,1564449032,1064485,848
X,1564449032,1064535,1064
X,1564449033,1064504,1894
X,1564449033,1064495,776
X,1564449034,1064488,1045
X,1564449034,1064374,1003
X,1564449035,1064362,1013
X,1564449036,1064464,1186
X,1564449036,1064491,1172
X,1564449037,1064364,819
X,1564449037,1064357,699
X,1564449038,1064464,817
X,1564449038,1064507,16358
X,1564449039,1064395,1803
X,1564449039,1064036,5530
X,1564449040,1065313,15270
X,1564449041,1064535,1133
P,1564449041,5042
X,1564449041,1064533,1035
X,1564449042,1064509,1105
X,1564449042,1064598,1446
X,1564449043,1064493,1009
X,1564449043,1064530,976
X,1564449044,1064450,1896
X,1564449045,1064450,782
X,1564449045,1064419,1207
X,1564449046,1064497,1107
X,1564449046,1064460,1128
X,1564449047,1064457,875
X,1564449047,1064530,897
X,1564449048,1064530,1572
X,1564449049,1064496,862
X,1564449049,1064483,854
X,1564449050,1064510,973
X,1564449050,1064529,1445
X,1564449051,1064488,703
X,1564449051,1064396,1166
X,1564449052,1064488,1010
X,1564449053,1064552,797
X,1564449053,1064468,1037
X,1564449054,1064576,1774
X,1564449054,1064526,1081
X,1564449055,1064490,941
A,1564449055,1064475,195
T,1564449055,2917
R,1564449055,6000B7B6F4
X,1564449057,1064347,1445
X,1564449058,1064349,1347
X,1564449058,1064318,1324
X,1564449059,1063987,19296
X,1564449059,1064501,1828
X,1564449059,1064598,16142
X,1564449059,1064500,1445
X,1564449060,1064491,923
X,1564449061,1064445,1308
X,1564449061,1064366,1064
X,1564449062,1064228,1294
X,1564449062,1064256,1038
X,1564449063,1064206,18254
X,1564449063,1064319,3081
X,1564449064,1064098,10509
X,1564449064,1064192,10094
X,1564449065,1064405,1217
X,1564449066,1064515,574
X,1564449066,1064643,883
X,1564449067,1064574,655
X,1564449067,1064441,1822
X,1564449068,1064556,624
X,1564449068,1064564,1077
X,1564449069,1064702,13355
X,1564449070,1064684,5209
P,1564449070,5041
X,1564449070,1064849,10787
X,1564449071,1065155,18017
X,1564449071,1064523,4179
X,1564449072,1064667,1344
X,1564449072,1064733,1730
X,1564449073,1064736,966
X,1564449074,1064688,898
