H,1564535267,700040
T,1564535267,2929
U,1564535267,56886
X,1564535269,993125,1570
X,1564535269,993008,724
X,1564535270,992652,9351
X,1564535270,992318,21144
X,1564535271,993226,5892
X,1564535272,992727,20272
X,1564535272,993348,4029
X,1564535273,992904,894
X,1564535273,992920,821
X,1564535274,992829,2029
X,1564535274,992933,1422
X,1564535275,992999,992
X,1564535276,993006,837
X,1564535276,992928,1180
X,1564535277,992835,27326
X,1564535277,992718,2737
X,1564535278,994194,14987
X,1564535278,993179,1427
X,1564535279,993046,1166
X,1564535279,992584,13091
X,1564535280,993042,23467
X,1564535281,993431,3939
X,1564535281,993091,1424
X,1564535282,993015,974
X,1564535282,992949,1922
X,1564535283,992866,21069
X,1564535283,992870,1209
X,1564535284,992917,20741
X,1564535285,993206,2308
X,1564535285,993115,1175
X,1564535286,993131,1014
X,1564535286,992964,2491
X,1564535287,992864,1324
X,1564535287,992920,20346
X,1564535288,993002,1984
X,1564535289,993076,21578
X,1564535289,993007,1607
X,1564535290,992953,756
X,1564535290,992967,879
X,1564535291,992939,2253
X,1564535291,992964,797
X,1564535291,992915,911
X,1564535292,992797,2714
X,1564535292,994346,13938
X,1564535293,992604,7458
P,1564535293,5041
X,1564535293,992726,1352
X,1564535294,992814,22769
X,1564535294,992899,1402
X,1564535295,992927,990
X,1564535296,993006,876
X,1564535296,992952,1028
X,1564535297,992846,962
X,1564535297,992909,1182
X,1564535298,992876,2107
X,1564535298,993580,6941
X,1564535299,991761,11578
X,1564535299,991329,12651
X,1564535300,992863,7279
X,1564535301,993298,783
X,1564535301,993232,1077
X,1564535302,993140,1617
X,1564535302,993452,1929
X,1564535303,993188,1000
X,1564535303,993055,19329
X,1564535304,992449,21096
X,1564535305,992649,9501
X,1564535305,993065,995
X,1564535306,993149,843
X,1564535306,992987,2146
X,1564535307,993101,1366
X,1564535307,993946,11132
X,1564535308,992178,16756
X,1564535309,992928,2791
X,1564535309,993736,15644
X,1564535310,993175,1935
X,1564535310,993021,779
X,1564535311,993010,1991
X,1564535311,993044,1035
X,1564535312,993130,1185
X,1564535313,993151,857
X,1564535313,993096,2398
X,1564535314,992902,20531
X,1564535314,992991,2666
X,1564535315,992998,27661
X,1564535315,993135,2355
X,1564535316,993186,1026
X,1564535317,993075,919
A,1564535317,993018,452
T,1564535317,2929
U,1564535317,56886
X,1564535318,991885,12390
X,1564535319,993873,15247
X,1564535320,993209,750
X,1564535320,993149,1297
X,1564535321,993273,2376
X,1564535321,993029,21858
X,1564535322,993068,4699
X,1564535322,992894,26665
P,1564535323,5040
X,1564535323,993381,3080
X,1564535324,993187,763
X,1564535324,993027,694
X,1564535325,993231,2093
X,1564535325,992781,22948
X,1564535326,992808,5299
X,1564535326,992915,21881
X,1564535327,992974,3760
X,1564535328,992981,752
X,1564535328,993080,873
X,1564535329,992954,1833
X,1564535329,993071,1071
X,1564535330,992963,998
X,1564535330,992964,1058
X,1564535331,992948,1570
X,1564535332,993050,1263
X,1564535332,992827,15952
X,1564535332,992785,1777
X,1564535332,992895,24268
X,1564535333,993064,2145
X,1564535333,993017,1068
X,1564535334,993451,19695
X,1564535335,993141,4380
X,1564535335,992699,21095
X,1564535336,993260,4308
X,1564535336,992861,981
X,1564535337,992935,940
X,1564535337,992831,1708
X,1564535338,993017,1090
X,1564535338,992895,1184
X,1564535339,992996,844
X,1564535340,992868,771
X,1564535340,992742,1570
X,1564535341,993016,920
X,1564535341,992890,1024
X,1564535342,992915,1051
X,1564535342,993248,2415
X,1564535343,992703,17029
X,1564535344,992842,2604
X,1564535344,993305,26876
X,1564535345,993301,4805
X,1564535345,993021,1168
X,1564535346,992930,1199
X,1564535346,993070,651
X,1564535347,993126,1228
X,1564535348,992818,16480
X,1564535348,992887,1931
X,1564535349,993053,26489
X,1564535349,993189,1474
X,1564535350,992954,1241
X,1564535350,993049,896
X,1564535351,992954,754
X,1564535352,992962,742
P,1564535352,5041
X,1564535352,992923,1891
X,1564535353,992995,15824
X,1564535353,992727,3389
X,1564535354,992660,30733
X,1564535354,993208,3078
X,1564535355,993089,492
X,1564535356,993007,828
X,1564535356,992816,1315
X,1564535357,992898,1321
X,1564535357,992867,890
X,1564535358,992845,630
X,1564535358,992733,2547
X,1564535359,992935,1321
X,1564535359,993082,1508
X,1564535360,991656,14693
X,1564535361,993010,1687
