57,975111,1583
P,1564871457,5020
X,1564871457,974951,1619
X,1564871458,974919,602
X,1564871458,975011,996
X,1564871459,974942,1328
X,1564871459,975108,850
X,1564871460,974488,7213
X,1564871461,975346,17721
X,1564871461,975265,2967
X,1564871462,974747,11682
X,1564871462,974780,4238
X,1564871463,975011,2182
X,1564871463,975055,957
X,1564871464,974998,944
X,1564871465,974911,550
X,1564871465,975581,7160
X,1564871466,975096,2113
X,1564871466,974887,5215
X,1564871467,975087,1420
X,1564871467,975109,1072
X,1564871468,974967,881
X,1564871469,974981,723
A,1564871469,975055,298
T,1564871469,2941
R,1564871469,6000B7DE36
X,1564871471,975110,12689
X,1564871471,974972,2147
X,1564871472,975115,13015
X,1564871472,975151,839
X,1564871473,975087,400
X,1564871473,974993,374
X,1564871474,975000,15489
X,1564871474,974834,3578
X,1564871475,974939,4183
X,1564871476,975229,666
X,1564871476,975068,723
X,1564871477,975100,599
X,1564871477,975021,1097
X,1564871478,975060,393
X,1564871478,975101,1221
X,1564871479,974978,14025
X,1564871480,975068,5277
X,1564871480,974947,9371
X,1564871481,975226,935
X,1564871481,975158,636
X,1564871482,975053,398
X,1564871482,975085,595
X,1564871483,975084,307
X,1564871484,975011,512
X,1564871484,975972,9006
X,1564871484,974882,2077
X,1564871484,974389,12719
X,1564871485,974795,9383
X,1564871485,975109,1506
X,1564871486,975060,811
P,1564871486,4991
X,1564871487,975015,472
X,1564871487,975728,4466
X,1564871488,975061,3682
X,1564871488,974998,12119
X,1564871489,975153,1182
X,1564871489,975167,656
X,1564871490,975148,893
X,1564871491,975072,700
X,1564871491,975052,730
X,1564871492,975087,410
A,1564871492,975095,236
T,1564871492,2941
R,1564871492,6000B7DE36
X,1564871494,975032,271
X,1564871494,975037,453
X,1564871495,975118,509
X,1564871495,975106,431
X,1564871496,975091,590
X,1564871496,975028,1317
X,1564871497,975060,494
X,1564871498,975718,5579
X,1564871498,975002,1378
X,1564871499,975012,14680
X,1564871499,975264,1885
X,1564871500,975190,1052
X,1564871500,975279,11901
X,1564871501,975238,1438
X,1564871502,975246,7587
X,1564871502,975338,1133
X,1564871503,975190,660
X,1564871503,975172,400
X,1564871504,975151,614
X,1564871504,975149,13612
X,1564871505,975039,2401
X,1564871506,975286,11356
X,1564871506,975316,1091
X,1564871507,975244,621
X,1564871507,975209,341
X,1564871508,975146,384
X,1564871508,975192,439
X,1564871509,975085,18284
X,1564871510,975343,1129
X,1564871510,975356,6885
X,1564871511,975293,636
X,1564871511,975202,445
X,1564871512,975176,938
X,1564871512,975176,367
X,1564871513,975189,634
X,1564871513,975151,620
X,1564871514,975135,435
A,1564871514,975153,261
T,1564871514,2941
R,1564871514,6000B7DE36
X,1564871516,975119,553
P,1564871516,5021
X,1564871517,975193,356
X,1564871517,975184,754
X,1564871518,975141,247
X,1564871518,974150,11947
X,1564871519,975304,1289
X,1564871519,975334,10656
X,1564871520,975288,653
X,1564871521,975210,670
X,1564871521,975280,267
X,1564871522,975249,341
X,1564871522,975153,20288
X,1564871523,975184,1897
X,1564871523,975198,9254
X,1564871524,975158,798
X,1564871525,975123,549
X,1564871525,975131,727
X,1564871525,975084,489
X,1564871525,975104,508
X,1564871526,975045,534
X,1564871526,975111,433
X,1564871527,975059,269
X,1564871528,975050,631
X,1564871528,975098,697
X,1564871529,974779,11339
X,1564871529,974821,4750
X,1564871530,975389,6146
X,1564871530,975165,669
X,1564871531,975098,977
A,1564871531,975144,243
T,1564871531,2941
R,1564871531,6000B7DE36
X,1564871533,975003,448
X,1564871533,974404,11977
X,1564871534,974648,4884
X,1564871535,975111,5110
X,1564871535,975200,506
X,1564871536,975116,557
