P,1564873780,5011
X,1564873780,1022625,1932
X,1564873781,1022443,1583
X,1564873781,1022956,4440
X,1564873781,1022244,6449
X,1564873782,1022737,2889
X,1564873782,1022308,2878
X,1564873783,1022195,1744
X,1564873783,1022012,2635
X,1564873784,1022066,1749
X,1564873784,1022131,2606
X,1564873785,1022133,2142
X,1564873786,1022051,3413
X,1564873786,1023545,7688
X,1564873787,1021228,46789
X,1564873787,1025803,9426
X,1564873788,1026425,4809
X,1564873788,1025915,6502
X,1564873789,1024359,15851
X,1564873790,1023282,7257
X,1564873790,1024422,2576
X,1564873791,1024823,2236
X,1564873791,1024812,1400
X,1564873792,1024807,6621
X,1564873792,1024840,3539
X,1564873793,1024885,1866
X,1564873793,1024986,3638
X,1564873794,1025281,4471
X,1564873795,1025123,6482
X,1564873795,1025355,3513
X,1564873796,1025523,5687
X,1564873796,1024699,3189
X,1564873797,1024616,8682
X,1564873797,1023506,40180
X,1564873798,1023763,3963
X,1564873799,1022634,62333
X,1564873799,1001930,25903
X,1564873800,694643,12410
X,1564873800,694138,7596
X,1564873801,692860,4555
X,1564873801,692959,4816
X,1564873802,692357,1867
X,1564873803,692133,1254
X,1564873803,692068,345
X,1564873804,691921,210
X,1564873804,691802,222
X,1564873805,691675,125
X,1564873805,691605,245
O,1564873806,691525,300
O,1564873807,691424,311
O,1564873807,691347,163
O,1564873808,691276,387
O,1564873808,691257,266
O,1564873809,691170,254
P,1564873809,5012
O,1564873809,691140,166
O,1564873810,691103,131
O,1564873811,691009,167
O,1564873811,690983,111
O,1564873812,690931,169
O,1564873812,690910,159
O,1564873813,690879,147
O,1564873813,690809,177
O,1564873814,690800,107
O,1564873814,690754,207
O,1564873815,690708,438
O,1564873816,690690,172
O,1564873816,690651,212
O,1564873817,690621,144
O,1564873817,690585,114
O,1564873818,690588,130
O,1564873818,690541,142
O,1564873819,690531,120
O,1564873820,690508,80
O,1564873820,690474,82
O,1564873821,690445,71
O,1564873821,690430,153
O,1564873822,690392,135
O,1564873822,690386,205
O,1564873822,690350,110
O,1564873823,690347,81
O,1564873823,690344,92
O,1564873824,690295,92
O,1564873824,690300,153
O,1564873825,690310,115
O,1564873825,690246,106
O,1564873826,690229,86
O,1564873827,690222,128
O,1564873827,690220,113
O,1564873828,690196,91
O,1564873828,690165,96
O,1564873829,690149,85
O,1564873829,690141,131
O,1564873830,690152,108
O,1564873831,690107,89
O,1564873831,690120,95
O,1564873832,690089,90
O,1564873832,690055,118
O,1564873833,690089,279
O,1564873833,690023,163
O,1564873834,690038,180
O,1564873834,690019,150
O,1564873835,689962,103
O,1564873836,689974,128
O,1564873836,689989,114
O,1564873837,689980,246
O,1564873837,689863,2967
O,1564873838,690336,5696
P,1564873838,5011
O,1564873838,689765,4349
O,1564873839,689887,1939
O,1564873840,689820,1868
O,1564873840,689905,546
O,1564873841,690127,2880
O,1564873841,690092,3363
O,1564873842,689971,1521
O,1564873842,689970,1248
O,1564873843,690018,455
O,1564873844,689998,485
O,1564873844,689959,172
O,1564873845,689960,79
O,1564873845,689925,131
O,1564873846,689947,304
O,1564873846,689874,446
O,1564873847,689903,557
O,1564873848,689862,282
O,1564873848,689883,122
O,1564873849,689844,249
O,1564873849,689792,777
O,1564873850,689785,2603
O,1564873850,689833,1856
O,1564873851,689729,672
O,1564873852,689701,476
O,1564873852,689694,182
O,1564873853,689716,109
O,1564873853,689694,95
O,1564873854,689708,178
O,1564873854,689714,102
O,1564873855,689702,114
O,1564873855,689719,77
T,1564873856,2936
P,1564873867,5019
P,1564873897,5017
P,1564873926,5018
P,1564873956,5019
D,1564873959,656384
R,1564873959,6000B7DE36
R,1564873959,6000B7DE36
R,1564873959,6000B7DE36
