,1564876472,1029968,12956
X,1564876472,1029638,2062
X,1564876473,1029520,16313
X,1564876473,1029672,3345
X,1564876474,1029825,766
X,1564876474,1029806,919
X,1564876475,1029718,1120
X,1564876476,1029779,817
X,1564876476,1029806,711
X,1564876477,1029754,716
A,1564876477,1029736,187
T,1564876477,2930
R,1564876477,6000B7DE36
X,1564876479,1029750,599
X,1564876479,1029748,629
X,1564876480,1029702,1202
X,1564876480,1029881,489
X,1564876481,1029804,753
X,1564876482,1029863,519
X,1564876482,1029772,13526
X,1564876483,1029538,9616
X,1564876483,1030930,18864
X,1564876484,1030045,923
P,1564876484,4995
X,1564876484,1029878,710
X,1564876485,1029890,783
X,1564876485,1029954,920
X,1564876486,1030114,1003
X,1564876487,1030129,1117
X,1564876487,1030121,935
X,1564876488,1030147,453
X,1564876488,1030100,775
X,1564876488,1029940,832
X,1564876488,1029768,582
X,1564876489,1029602,888
X,1564876490,1029896,5483
X,1564876490,1029276,3632
X,1564876491,1029507,1949
X,1564876491,1029846,6909
X,1564876492,1029321,6997
X,1564876492,1030787,7793
X,1564876493,1030562,6113
X,1564876494,1029543,13576
X,1564876494,1029394,3948
X,1564876495,1030458,1068
X,1564876495,1030174,3135
X,1564876496,1029691,2005
X,1564876496,1030100,2178
X,1564876497,1029671,1596
X,1564876498,1029869,2494
X,1564876498,1029447,4287
X,1564876499,1029728,706
X,1564876499,1029647,15648
X,1564876500,1029573,3389
X,1564876500,1029123,17164
X,1564876501,1029600,38441
X,1564876502,1029618,1908
X,1564876502,1029803,1214
X,1564876503,1029744,530
X,1564876503,1029901,397
X,1564876504,1030109,903
X,1564876504,1030119,770
A,1564876504,1029904,545
T,1564876505,2930
R,1564876505,6000B7DE36
X,1564876506,1030064,794
X,1564876507,1030008,613
X,1564876507,1029957,490
X,1564876508,1029920,697
X,1564876509,1029963,714
X,1564876509,1029884,929
X,1564876510,1029883,511
X,1564876510,1029717,601
X,1564876511,1029800,514
X,1564876511,1029729,8801
X,1564876512,1029769,1654
X,1564876513,1029629,14630
X,1564876513,1029773,1418
P,1564876513,4980
X,1564876514,1029903,755
X,1564876514,1030239,687
X,1564876515,1029874,19356
X,1564876515,1029849,594
X,1564876516,1029892,587
X,1564876517,1029998,13227
X,1564876517,1030152,2340
X,1564876518,1029759,16633
X,1564876518,1029966,1174
X,1564876519,1030032,923
X,1564876519,1029930,775
X,1564876520,1029832,2350
X,1564876521,1030319,13285
X,1564876521,1029788,1704
X,1564876522,1029567,25682
X,1564876522,1029813,653
X,1564876523,1029835,793
X,1564876523,1029812,277
X,1564876524,1029656,1085
X,1564876524,1029780,1013
X,1564876525,1029660,583
X,1564876526,1029580,662
A,1564876526,1029887,659
T,1564876526,2930
R,1564876526,6000B7DE36
X,1564876528,1029622,927
X,1564876528,1029788,5848
X,1564876529,1029942,3818
X,1564876529,1029990,1496
X,1564876529,1029448,7453
X,1564876529,1029912,21775
X,1564876530,1029910,8419
X,1564876531,1030030,1223
X,1564876531,1030150,463
X,1564876532,1030172,536
X,1564876532,1030100,574
X,1564876533,1029845,599
X,1564876533,1029735,583
X,1564876534,1029592,660
X,1564876535,1029664,870
X,1564876535,1029921,489
X,1564876536,1029730,890
X,1564876536,1029706,915
X,1564876537,1029771,613
X,1564876537,1029875,747
X,1564876538,1029830,712
X,1564876539,1029764,658
X,1564876539,1029682,794
X,1564876540,1029729,651
X,1564876540,1029789,642
X,1564876541,1029869,1232
X,1564876541,1029797,831
X,1564876542,1029567,11178
P,1564876542,5005
X,1564876542,1029324,1082
X,1564876543,1029485,18252
X,1564876544,1029826,3609
X,1564876544,1029701,660
A,1564876544,1029808,580
T,1564876544,2930
R,1564876545,6000B7DE36
X,1564876546,1030033,704
X,1564876547,1030079,576
X,1564876547,1030046,733
X,1564876548,1030080,1026
X,1564876548,1030163,734
X,1564876549,1029878,880
X,1564876550,1029838,724
