54971,1001320,1030
X,1564954972,1001316,585
X,1564954972,1001248,597
X,1564954973,1001272,623
X,1564954973,1001252,558
X,1564954974,1001304,697
X,1564954975,1001368,699
X,1564954975,1001303,1249
X,1564954976,1001321,604
X,1564954976,1001325,1223
P,1564954976,5015
X,1564954976,1001174,1499
X,1564954976,1001411,21269
X,1564954977,1001002,5931
X,1564954978,1000696,11104
X,1564954978,1000916,9972
X,1564954979,1001404,1191
X,1564954979,1001357,725
X,1564954980,1001300,751
X,1564954980,1001331,530
X,1564954981,1001336,651
A,1564954981,1001197,403
T,1564954981,2959
R,1564954981,6000B7DE36
X,1564954983,1001361,22064
X,1564954984,1001184,9352
X,1564954984,1001336,617
X,1564954985,1001314,856
X,1564954985,1001276,571
X,1564954986,1001262,786
X,1564954986,1001273,837
X,1564954987,1001254,850
X,1564954988,1001119,848
X,1564954988,1000246,7606
X,1564954989,1001110,2064
X,1564954989,1001227,19076
X,1564954990,1001204,998
X,1564954990,1001217,596
X,1564954991,1001208,569
X,1564954991,1001154,898
X,1564954992,1001097,990
X,1564954993,1001036,724
X,1564954993,1000914,930
X,1564954994,1001135,854
X,1564954994,1001097,738
X,1564954995,1001156,961
X,1564954995,1001183,705
X,1564954996,1001176,1060
X,1564954997,1001317,758
X,1564954997,1001227,1118
X,1564954998,1001183,904
A,1564954998,1001186,422
T,1564954998,2959
R,1564954998,6000B7DE36
X,1564955000,1001229,17254
X,1564955000,1001154,1556
X,1564955001,1001164,21909
X,1564955001,1001444,832
X,1564955002,1001243,732
X,1564955003,1001265,876
X,1564955003,1001254,575
X,1564955004,1001222,870
X,1564955004,1001274,694
X,1564955005,1001246,809
X,1564955005,1001217,713
P,1564955006,5013
X,1564955006,1001282,520
X,1564955006,1001100,1112
X,1564955007,1001258,3577
X,1564955008,1001285,1599
X,1564955008,1001154,14112
X,1564955009,1001176,2370
X,1564955009,1001120,21644
X,1564955010,1001334,1469
X,1564955010,1001256,609
X,1564955011,1001301,7761
X,1564955012,1001083,1673
X,1564955012,1001177,762
X,1564955013,1001165,963
X,1564955013,1001271,1206
X,1564955014,1001111,15753
X,1564955014,1001235,2214
X,1564955015,1001343,20135
X,1564955016,1001315,956
X,1564955016,1001297,733
X,1564955017,1001406,1001
X,1564955017,1001403,1535
X,1564955017,1001082,3881
X,1564955017,1001359,1325
X,1564955018,1000927,14162
X,1564955019,1001237,1736
X,1564955019,1001616,17609
X,1564955020,1000521,5778
X,1564955020,1001608,5884
X,1564955021,1000667,10892
X,1564955021,1000631,3907
X,1564955022,1001189,4870
X,1564955023,1001024,1183
X,1564955023,1000938,13709
X,1564955024,1001111,917
X,1564955024,1000392,9312
X,1564955025,1001210,1230
X,1564955025,1001286,18278
X,1564955026,1001297,785
X,1564955027,1001286,637
X,1564955027,1001521,6501
X,1564955028,1000657,5525
X,1564955028,1001329,4474
X,1564955029,1001321,24395
X,1564955029,1001195,2150
X,1564955030,1000721,22197
X,1564955030,1000341,6537
X,1564955031,1001066,7844
X,1564955032,1001282,4154
X,1564955032,1000539,3479
X,1564955033,1001340,2109
X,1564955033,1001104,3287
X,1564955034,1003099,12757
X,1564955034,1000349,12729
P,1564955035,5015
X,1564955035,1001098,18789
X,1564955036,1001308,1224
X,1564955036,1001219,17337
X,1564955037,1001616,3674
X,1564955037,1000784,4448
X,1564955038,1001401,1739
X,1564955038,1001264,1241
X,1564955039,1001251,1067
X,1564955040,1001354,1046
X,1564955040,1001244,936
X,1564955041,1001226,1116
X,1564955041,1001263,875
X,1564955042,1001260,637
A,1564955042,1001255,333
T,1564955042,2959
R,1564955042,6000B7DE36
X,1564955044,1001083,947
X,1564955044,1001106,518
X,1564955045,1001193,409
X,1564955045,1001210,615
X,1564955046,1001179,1233
X,1564955047,1001358,1093
X,1564955047,1001387,15993
X,1564955048,1001579,3704
