83,807
P,1565045316,5012
X,1565045316,954974,22248
X,1565045317,955086,1733
X,1565045317,954944,5894
X,1565045317,954927,1194
X,1565045318,954918,1091
X,1565045318,954840,867
X,1565045319,954833,834
X,1565045319,954801,19355
X,1565045320,954876,2842
X,1565045320,955052,621
X,1565045321,954975,7078
X,1565045322,954920,801
X,1565045322,954758,6067
X,1565045323,954949,15893
X,1565045323,955069,4132
X,1565045324,955133,1151
X,1565045324,954996,6498
X,1565045325,955011,1033
X,1565045326,954919,823
X,1565045326,954878,920
X,1565045327,954816,1041
X,1565045327,954915,19202
X,1565045328,955161,4443
X,1565045328,955050,1194
X,1565045329,955189,5681
X,1565045330,954924,680
X,1565045330,954898,625
X,1565045331,954888,791
X,1565045331,954462,20384
X,1565045332,954960,5489
X,1565045332,955063,1109
X,1565045333,955055,3882
X,1565045334,954979,1098
X,1565045334,954950,874
X,1565045335,954904,1094
X,1565045335,954885,657
A,1565045335,954899,224
T,1565045335,2982
U,1565045336,40821
X,1565045337,955079,1385
X,1565045338,955106,6358
X,1565045338,955059,907
X,1565045339,954951,802
X,1565045339,954991,446
X,1565045340,955037,717
X,1565045341,954963,764
X,1565045341,955001,21840
X,1565045342,954903,6944
X,1565045342,955269,1061
X,1565045343,955171,4012
X,1565045343,955253,1596
X,1565045344,955058,713
X,1565045345,955070,1076
P,1565045345,4987
X,1565045345,954995,792
X,1565045346,955039,19748
X,1565045346,955111,4325
X,1565045347,955186,2530
X,1565045347,955304,4723
X,1565045348,955141,860
X,1565045349,955058,988
X,1565045349,955057,831
X,1565045350,955063,499
X,1565045350,955096,981
X,1565045351,955094,24603
X,1565045351,955286,1347
X,1565045352,955205,4297
X,1565045353,955114,6242
X,1565045353,955057,989
X,1565045354,954994,832
X,1565045354,954970,925
X,1565045355,954994,13793
X,1565045355,955134,1467
X,1565045356,955213,8533
X,1565045356,955097,969
X,1565045357,954962,1309
X,1565045358,955076,849
X,1565045358,954972,725
X,1565045358,955046,874
X,1565045358,955230,2662
X,1565045359,954568,15508
X,1565045359,955219,1693
X,1565045360,955143,7103
X,1565045361,955025,1505
X,1565045361,954957,722
A,1565045361,955031,190
T,1565045361,2982
U,1565045362,40821
X,1565045363,954972,672
X,1565045364,955035,17221
X,1565045364,955046,2033
X,1565045365,955116,1142
X,1565045365,955465,9151
X,1565045366,955060,971
X,1565045367,955065,745
X,1565045367,955018,744
X,1565045368,955010,660
X,1565045368,954993,691
X,1565045369,954944,978
X,1565045369,954938,18282
X,1565045370,955170,1309
X,1565045371,955063,9034
X,1565045371,955032,1139
X,1565045372,955010,1314
X,1565045372,954969,1006
X,1565045373,955025,20046
X,1565045373,955327,5246
X,1565045374,954676,5590
P,1565045374,5008
X,1565045374,954950,4788
X,1565045375,954962,822
X,1565045376,955000,912
X,1565045376,954957,894
X,1565045377,955092,19628
X,1565045377,955153,825
X,1565045378,954859,4195
X,1565045378,955088,2283
X,1565045379,955028,2289
X,1565045380,955014,607
X,1565045380,955061,20957
X,1565045381,954898,2874
X,1565045381,955026,749
X,1565045382,955098,4686
X,1565045382,955033,1019
X,1565045383,954920,656
X,1565045384,954942,748
X,1565045384,954902,656
X,1565045385,954986,951
X,1565045385,955019,20934
X,1565045386,955136,1999
X,1565045386,955064,5674
X,1565045387,955669,10477
X,1565045388,955120,778
X,1565045388,955027,13658
X,1565045389,955421,3792
X,1565045389,955280,1319
X,1565045390,955574,5208
X,1565045390,955248,851
