49,6000B7DE36
P,1565047550,4994
X,1565047551,992887,8868
X,1565047552,994504,13153
X,1565047552,993845,1225
X,1565047553,993743,951
X,1565047553,993505,1431
X,1565047554,993774,1309
X,1565047554,993746,1111
X,1565047555,993670,16422
X,1565047556,993549,2338
X,1565047556,993505,17217
X,1565047557,993813,2253
X,1565047557,993728,588
X,1565047558,993656,831
X,1565047558,993552,1597
X,1565047559,994329,19196
X,1565047560,993945,6096
X,1565047560,993747,16310
X,1565047561,993483,7553
X,1565047561,993775,904
X,1565047562,993630,1109
X,1565047562,993670,1258
X,1565047563,993489,2650
X,1565047563,993508,956
X,1565047564,993432,19880
X,1565047565,993466,1501
X,1565047565,993278,16520
X,1565047566,993576,1564
X,1565047566,993517,1003
X,1565047567,993461,1026
X,1565047567,993452,686
X,1565047568,993410,1792
X,1565047569,993615,24001
X,1565047569,993568,1553
X,1565047570,992958,17903
X,1565047570,993384,2327
X,1565047571,993481,1113
X,1565047571,993490,1182
X,1565047572,993350,2500
X,1565047573,993472,1095
X,1565047573,993550,660
X,1565047573,993464,949
X,1565047573,993352,2340
X,1565047574,993427,652
X,1565047574,993393,918
X,1565047575,993252,1488
X,1565047576,993481,22170
X,1565047576,993006,4853
X,1565047577,992922,22556
X,1565047577,993219,2971
X,1565047578,993329,1131
X,1565047578,993353,1127
P,1565047579,5006
X,1565047579,993358,825
X,1565047580,993260,2034
X,1565047580,993421,937
X,1565047581,993460,903
X,1565047581,993418,732
X,1565047582,993344,1172
X,1565047582,994340,9714
X,1565047583,993802,5988
X,1565047583,993440,2273
X,1565047584,993237,20081
X,1565047585,993516,2123
X,1565047585,993336,1143
X,1565047586,993200,21044
X,1565047586,993080,5177
X,1565047587,992966,23411
X,1565047587,993481,2547
X,1565047588,993420,776
X,1565047589,993514,756
X,1565047589,993502,974
X,1565047590,993551,1290
X,1565047590,993521,1188
X,1565047591,993460,24545
X,1565047591,993656,3008
X,1565047592,993336,19797
X,1565047593,993605,1407
X,1565047593,993526,894
X,1565047594,993397,1340
X,1565047594,993592,1395
X,1565047595,993372,1269
X,1565047595,993400,19116
X,1565047596,993471,1756
X,1565047597,993239,21218
X,1565047597,993370,2433
X,1565047598,993359,869
X,1565047598,993186,862
A,1565047598,993493,589
T,1565047598,2978
R,1565047599,6000B7DE36
X,1565047600,992563,15194
X,1565047601,992862,8372
X,1565047601,993293,1062
X,1565047602,993219,866
X,1565047603,993209,2188
X,1565047603,993146,21431
X,1565047604,993178,2181
X,1565047604,992975,20652
X,1565047605,993132,3643
X,1565047605,993252,1007
X,1565047606,993120,932
X,1565047606,993018,3061
X,1565047607,993189,22170
X,1565047608,993079,1830
X,1565047608,994351,15612
P,1565047609,5005
X,1565047609,993349,1812
X,1565047609,993266,977
X,1565047610,993258,1377
X,1565047610,993283,13601
X,1565047611,993209,2323
X,1565047612,992584,8563
X,1565047612,993316,4359
X,1565047613,993883,18018
X,1565047613,993129,28140
X,1565047614,991962,36891
X,1565047614,995128,49239
X,1565047614,999208,24315
X,1565047615,987167,33919
X,1565047615,992751,39194
X,1565047616,987646,25712
X,1565047616,998188,31347
X,1565047617,993219,20265
X,1565047617,993919,12134
X,1565047618,992191,35392
X,1565047619,996059,64767
X,1565047619,993178,18634
X,1565047620,991932,41210
X,1565047620,993321,15523
X,1565047621,995076,37119
X,1565047621,996180,26268
X,1565047622,993579,8844
X,1565047623,994102,23011
X,1565047623,994754,3125
X,1565047624,994378,1408
X,1565047624,994936,24277
