,1005999,1530
X,1565057009,1005871,705
X,1565057010,1005895,733
A,1565057010,1005759,287
T,1565057010,2961
X,1565057012,1005935,469
X,1565057013,1005809,1011
X,1565057013,1005902,710
X,1565057014,1005809,701
X,1565057014,1006125,22810
P,1565057015,4987
X,1565057015,1006152,9615
X,1565057015,1004840,7569
X,1565057016,1005727,8568
X,1565057017,1006019,1504
X,1565057017,1005954,725
X,1565057018,1005929,763
X,1565057018,1005822,929
X,1565057019,1005732,937
X,1565057019,1005796,976
X,1565057020,1005652,967
X,1565057020,1005641,661
X,1565057021,1005595,501
X,1565057022,1005638,490
X,1565057022,1005689,747
X,1565057023,1005495,1106
X,1565057023,1005679,27435
X,1565057024,1005818,3358
X,1565057024,1005866,19602
X,1565057025,1005876,7842
X,1565057026,1005852,1182
X,1565057026,1005762,749
X,1565057027,1005853,757
X,1565057027,1005829,955
X,1565057028,1005974,1542
X,1565057028,1004647,14986
X,1565057029,1005967,1599
X,1565057030,1005942,15944
X,1565057030,1006134,1076
X,1565057031,1006075,3270
X,1565057031,1006070,1193
X,1565057032,1006055,739
X,1565057032,1006036,1275
X,1565057033,1005917,22181
X,1565057034,1005547,6929
X,1565057034,1006173,18119
X,1565057035,1006468,5363
X,1565057035,1006079,598
X,1565057036,1006065,568
X,1565057036,1006008,565
A,1565057036,1005837,484
T,1565057037,2961
X,1565057038,1005999,457
X,1565057039,1006073,1147
X,1565057039,1006027,1046
X,1565057040,1005749,24664
X,1565057041,1006102,7770
X,1565057041,1006031,1970
X,1565057042,1006221,20592
X,1565057042,1005944,975
X,1565057043,1005970,790
X,1565057043,1005893,8234
X,1565057044,1005907,1800
X,1565057045,1005944,911
P,1565057045,4975
X,1565057045,1005982,687
X,1565057046,1006038,21082
X,1565057046,1006076,1444
X,1565057047,1005978,16101
X,1565057047,1006203,2231
X,1565057048,1006083,1500
X,1565057048,1005795,18209
X,1565057048,1006048,1633
X,1565057049,1006295,24824
X,1565057049,1006012,828
X,1565057050,1006022,670
X,1565057050,1006375,4335
X,1565057051,1004980,13653
X,1565057052,1005805,3049
X,1565057052,1007233,17989
X,1565057053,1006102,861
X,1565057053,1006119,577
X,1565057054,1006123,644
X,1565057054,1006108,720
X,1565057055,1006034,1078
X,1565057056,1006083,905
X,1565057056,1005991,712
X,1565057057,1006039,507
X,1565057057,1005932,27020
X,1565057058,1005998,1569
X,1565057058,1006029,19209
X,1565057059,1006091,1148
X,1565057059,1006016,822
X,1565057060,1006062,629
X,1565057061,1005981,830
X,1565057061,1006029,1067
X,1565057062,1005936,1039
X,1565057062,1006077,23880
X,1565057063,1005466,6364
X,1565057063,1007186,20155
X,1565057064,1005776,11517
X,1565057065,1005918,1437
X,1565057065,1005849,907
X,1565057066,1006063,755
X,1565057066,1005851,23189
X,1565057067,1005987,2099
X,1565057067,1005908,18308
X,1565057068,1006450,5736
X,1565057069,1006054,541
A,1565057069,1006023,274
T,1565057069,2961
X,1565057071,1006018,1034
X,1565057071,1006029,842
X,1565057072,1005959,2626
X,1565057072,1005779,1823
X,1565057073,1005999,25920
X,1565057073,1006065,1846
P,1565057074,4987
X,1565057074,1005661,16176
X,1565057075,1006414,4730
X,1565057075,1006511,3427
X,1565057076,1004982,6808
X,1565057076,1005886,788
X,1565057077,1005907,1185
X,1565057077,1005723,16760
X,1565057078,1005860,2352
X,1565057078,1005935,18044
X,1565057079,1005565,2713
X,1565057080,1005467,19347
X,1565057080,1005989,4886
X,1565057081,1006027,1385
X,1565057081,1005957,727
X,1565057082,1005868,675
X,1565057082,1005862,601
X,1565057083,1006015,5046
X,1565057084,1006063,813
X,1565057084,1006005,1460
X,1565057085,1005988,7505
X,1565057085,1005934,2919
