H,1555520903,241338
X,1555520903,514560,12033
X,1555520904,514332,14745
X,1555520904,514473,13152
X,1555520905,514005,19897
X,1555520905,514353,17050
X,1555520906,513520,14178
X,1555520906,513380,22705
X,1555520907,513852,2242
X,1555520908,513972,2020
X,1555520908,514258,2262
X,1555520909,514088,1721
X,1555520909,514181,2272
X,1555520910,514185,3523
X,1555520910,514241,1577
X,1555520911,514177,3739
X,1555520912,514245,2367
X,1555520912,514283,2947
X,1555520913,514266,1510
X,1555520913,514302,1898
X,1555520914,514466,1579
X,1555520914,514482,2114
X,1555520915,513979,3161
X,1555520916,514490,2151
X,1555520916,514054,1432
P,1555520917,5128
X,1555520917,514270,2336
X,1555520917,514012,1810
X,1555520918,513351,2055
X,1555520918,514056,1810
X,1555520919,514595,1850
X,1555520920,514701,975
X,1555520920,514758,1996
X,1555520921,514571,2648
X,1555520921,514832,2789
X,1555520922,514971,668
X,1555520922,514982,4732
X,1555520923,515292,1750
X,1555520924,515114,1852
X,1555520924,515219,2789
X,1555520925,515204,1642
X,1555520925,515104,2158
X,1555520926,514976,2765
X,1555520926,514766,1621
X,1555520926,514858,2808
X,1555520926,515134,1254
X,1555520927,515167,2229
X,1555520928,515301,2928
X,1555520928,515440,2562
X,1555520929,515378,2369
X,1555520929,515485,1278
X,1555520930,514806,14651
X,1555520930,515066,7421
X,1555520931,514912,10021
X,1555520932,515331,13842
X,1555520932,515246,25147
X,1555520933,514421,17357
X,1555520933,515266,25206
X,1555520934,514606,21819
X,1555520934,515217,11137
X,1555520935,515095,17323
X,1555520936,514263,23206
X,1555520936,514738,11618
X,1555520937,514725,18498
X,1555520937,515035,3469
X,1555520938,514971,1418
X,1555520938,514958,1266
X,1555520939,515012,2994
X,1555520940,514987,8446
X,1555520940,515333,20984
X,1555520941,515510,19109
X,1555520941,515236,18401
X,1555520942,515382,24544
X,1555520942,515119,26233
X,1555520943,516290,16232
X,1555520944,517230,19955
X,1555520944,515645,34400
X,1555520945,520787,41056
X,1555520945,725465,51226
P,1555520946,5138
X,1555520946,703244,9936
X,1555520946,709070,58046
X,1555520947,716376,9767
X,1555520947,708908,43595
X,1555520948,711741,45582
X,1555520949,713366,29169
X,1555520949,717719,28181
X,1555520950,704872,43350
X,1555520950,703134,54716
X,1555520951,708186,31954
X,1555520951,710317,14327
X,1555520952,706604,6916
X,1555520953,706263,12530
X,1555520953,596124,8564
X,1555520954,525407,14332
X,1555520954,524112,6920
X,1555520955,521569,27912
X,1555520955,519773,8696
X,1555520956,520171,7677
X,1555520957,520292,22785
X,1555520957,519212,28328
X,1555520958,519847,2694
X,1555520958,519761,2000
X,1555520959,519544,6836
X,1555520959,519551,2481
X,1555520960,519354,7315
X,1555520961,519365,3927
X,1555520961,519188,1804
X,1555520962,519106,1620
X,1555520962,519168,1381
X,1555520963,518907,1861
X,1555520963,518933,1764
X,1555520964,518965,2266
X,1555520965,518847,1794
X,1555520965,519124,2151
X,1555520966,518790,1648
X,1555520966,518779,4916
X,1555520967,518811,440
X,1555520967,518767,1237
X,1555520967,518769,1223
X,1555520967,518698,1125
X,1555520968,518769,2093
X,1555520969,518680,1925
X,1555520969,518596,1738
X,1555520970,518691,1851
X,1555520970,518555,1063
X,1555520971,518614,1987
X,1555520971,518592,1551
X,1555520972,518541,2615
X,1555520973,518452,1710
X,1555520973,518303,1563
X,1555520974,518424,3685
X,1555520974,518476,5258
P,1555520975,5138
X,1555520975,518145,7646
X,1555520975,518115,4352
X,1555520976,518006,2096
X,1555520977,517892,3286
X,1555520977,518315,826
X,1555520978,518336,2307
X,1555520978,518253,1419
X,1555520979,518301,976
X,1555520979,518242,1377
X,1555520980,518416,1205
X,1555520981,518301,1487
X,1555520981,518130,2428
X,1555520982,517598,2913
X,1555520982,517166,3017
X,1555520983,516752,20768
X,1555520983,517875,7267
X,1555520984,517943,6235
X,1555520985,517946,2846
X,1555520985,518345,3030
X,1555520986,518356,2029
X,1555520986,518453,2879
X,1555520987,518203,3948
X,1555520987,518195,1170
X,1555520988,518152,1469
X,1555520988,518249,3385
X,1555520989,518172,3238
X,1555520990,517904,2196
X,1555520990,517998,1623
X,1555520991,518055,1813
X,1555520991,517878,958
X,1555520992,517929,1363
X,1555520992,517979,1134
X,1555520993,518240,1190
X,1555520994,518483,962
X,1555520994,518284,720
X,1555520995,518234,2755
X,1555520995,518332,3181
