H,1556340873,254470
P,1556340873,5373
P,1556340902,5375
P,1556340931,5374
P,1556340961,5375
P,1556340990,5375
P,1556341020,5375
P,1556341050,5374
P,1556341079,5373
P,1556341108,5375
P,1556341137,5376
P,1556341167,5376
P,1556341196,5376
P,1556341225,5375
P,1556341255,5376
P,1556341284,5374
P,1556341314,5373
P,1556341343,5374
P,1556341373,5376
P,1556341402,5376
P,1556341431,5375
P,1556341461,5376
P,1556341490,5374
P,1556341519,5375
P,1556341548,5374
P,1556341578,5376
P,1556341608,5374
P,1556341637,5376
P,1556341667,5373
P,1556341696,5375
P,1556341725,5374
P,1556341754,5374
P,1556341784,5375
P,1556341813,5376
P,1556341842,5374
P,1556341872,5375
P,1556341902,5376
P,1556341931,5375
P,1556341960,5375
P,1556341990,5376
P,1556342019,5376
P,1556342048,5375
P,1556342077,5374
P,1556342107,5374
P,1556342136,5375
P,1556342165,5375
P,1556342196,5374
P,1556342225,5374
P,1556342254,5374
P,1556342283,5373
P,1556342313,5375
P,1556342342,5375
P,1556342371,5375
P,1556342401,5375
P,1556342430,5376
P,1556342459,5374
P,1556342489,5373
P,1556342519,5374
P,1556342548,5375
P,1556342577,5374
O,1556342582,262360,1776
O,1556342583,262650,129
O,1556342583,262735,95
O,1556342584,262599,238
O,1556342584,262539,230
O,1556342585,262502,193
O,1556342586,262657,179
O,1556342586,262145,502
O,1556342587,261901,276
O,1556342587,262074,256
O,1556342588,262562,213
O,1556342588,262269,187
O,1556342589,262561,288
O,1556342589,262672,188
O,1556342590,262763,106
O,1556342591,262840,257
O,1556342591,262337,396
O,1556342592,262307,266
O,1556342592,262202,498
O,1556342593,262159,568
O,1556342593,262354,195
O,1556342594,262328,178
O,1556342595,262563,200
O,1556342595,262623,201
O,1556342596,262562,196
O,1556342596,262597,180
O,1556342597,262439,622
O,1556342597,262303,413
O,1556342598,262228,483
O,1556342599,262307,172
O,1556342599,262182,451
O,1556342600,262568,393
O,1556342600,261971,608
O,1556342601,262005,648
O,1556342601,262389,557
O,1556342602,262034,1735
O,1556342603,261272,948
O,1556342603,261698,1178
O,1556342604,262303,753
O,1556342604,262665,185
O,1556342605,262559,568
O,1556342605,262373,346
O,1556342606,262497,259
O,1556342607,262770,355
P,1556342607,5368
O,1556342607,262524,562
O,1556342608,262052,1121
O,1556342608,262818,524
O,1556342609,263066,374
O,1556342609,261945,1410
O,1556342610,261061,1215
O,1556342610,260985,1625
O,1556342610,262468,633
O,1556342611,262378,1684
O,1556342611,262029,909
O,1556342612,262876,445
O,1556342612,262182,644
O,1556342613,261576,957
O,1556342613,261771,708
O,1556342614,262174,651
O,1556342615,261988,570
O,1556342615,262222,660
O,1556342616,262247,400
O,1556342616,262381,840
O,1556342617,262358,1054
O,1556342617,262484,1161
O,1556342618,261742,553
O,1556342619,261821,470
O,1556342619,262109,731
O,1556342620,261972,1739
O,1556342620,261805,855
O,1556342621,261485,1230
O,1556342621,261705,1067
O,1556342622,261589,585
O,1556342623,261172,857
O,1556342623,261447,1015
O,1556342624,262337,540
O,1556342624,262647,394
O,1556342625,261836,866
O,1556342625,260716,2297
O,1556342626,260453,918
O,1556342627,260975,1070
O,1556342627,261913,364
O,1556342628,261873,696
O,1556342628,262540,311
O,1556342629,262548,367
O,1556342629,262610,190
O,1556342630,262766,240
O,1556342630,262349,859
O,1556342631,262276,603
O,1556342632,262548,531
O,1556342632,262891,457
O,1556342633,262698,508
O,1556342633,262640,279
O,1556342634,262796,177
O,1556342634,262947,105
O,1556342635,262733,359
O,1556342636,262984,202
P,1556342636,5368
O,1556342636,262989,332
O,1556342637,262654,273
O,1556342637,262605,219
O,1556342638,262870,187
T,1556342638,2823
P,1556342665,5374
P,1556342694,5374
P,1556342724,5375
P,1556342753,5375
P,1556342783,5375
P,1556342813,5375
P,1556342842,5374
P,1556342871,5374
P,1556342900,5375
P,1556342930,5374
P,1556342959,5375
P,1556342988,5376
P,1556343018,5375
P,1556343047,5375
P,1556343077,5375
P,1556343106,5374
P,1556343136,5374
P,1556343165,5375
P,1556343194,5374
P,1556343224,5375
P,1556343253,5374
P,1556343282,5374
P,1556343311,5374
P,1556343341,5375
P,1556343372,5374
P,1556343401,5374
P,1556343431,5376
P,1556343460,5375
P,1556343489,5375
P,1556343518,5373
P,1556343548,5375
P,1556343577,5374
P,1556343606,5375
P,1556343636,5374
P,1556343666,5375
P,1556343695,5374
P,1556343724,5374
P,1556343754,5374
P,1556343783,5374
P,1556343812,5375
P,1556343841,5375
P,1556343871,5373
