H,1558370968,255083
P,1558370968,5345
P,1558370998,5345
P,1558371027,5345
P,1558371056,5347
P,1558371086,5346
P,1558371115,5346
P,1558371144,5347
P,1558371173,5346
P,1558371204,5345
P,1558371233,5347
P,1558371263,5345
P,1558371293,5347
P,1558371322,5345
P,1558371351,5346
P,1558371380,5346
P,1558371410,5346
P,1558371439,5346
P,1558371468,5345
P,1558371499,5346
P,1558371528,5345
P,1558371557,5346
P,1558371586,5346
P,1558371616,5347
P,1558371645,5345
P,1558371674,5344
P,1558371704,5346
P,1558371733,5346
P,1558371762,5345
P,1558371792,5345
P,1558371822,5346
P,1558371851,5346
P,1558371880,5347
P,1558371910,5346
P,1558371939,5346
P,1558371968,5345
P,1558371997,5346
P,1558372027,5345
P,1558372056,5346
P,1558372086,5345
P,1558372115,5346
P,1558372145,5346
P,1558372174,5346
P,1558372203,5347
P,1558372233,5345
P,1558372262,5345
O,1558372270,264966,3704
O,1558372270,265565,275
O,1558372271,265978,557
O,1558372271,266157,590
O,1558372272,265970,358
O,1558372272,266265,954
O,1558372273,266820,558
O,1558372274,267099,752
O,1558372274,267137,399
O,1558372275,266429,1239
O,1558372275,266689,609
O,1558372276,266165,593
O,1558372276,266446,736
O,1558372277,265924,503
O,1558372278,266078,527
O,1558372278,266403,560
O,1558372279,266047,365
O,1558372279,265872,342
O,1558372279,265864,443
O,1558372279,265940,590
O,1558372280,266215,824
O,1558372281,266004,684
O,1558372281,265497,638
O,1558372282,265448,759
O,1558372282,265804,450
O,1558372283,265616,559
O,1558372283,265819,1190
O,1558372284,264902,735
O,1558372285,265440,646
O,1558372285,266378,567
O,1558372286,265761,261
O,1558372286,265904,1078
O,1558372287,265591,566
O,1558372287,265889,1245
O,1558372288,265971,662
O,1558372288,265689,608
O,1558372289,265878,825
O,1558372290,265994,557
O,1558372290,266070,973
O,1558372291,266789,731
P,1558372291,5339
O,1558372291,267768,1497
O,1558372292,266890,1115
O,1558372292,266871,473
O,1558372293,266935,442
O,1558372294,267058,575
O,1558372294,267282,757
O,1558372295,267138,736
O,1558372295,267257,657
O,1558372296,266777,770
O,1558372296,266596,635
O,1558372297,266861,653
O,1558372298,267172,632
O,1558372298,267335,715
O,1558372299,267226,635
O,1558372299,267068,1140
O,1558372300,266668,246
O,1558372300,266317,742
O,1558372301,266149,949
O,1558372302,266247,498
O,1558372302,266093,429
O,1558372303,266111,523
O,1558372303,266445,1104
O,1558372304,266863,472
O,1558372304,266590,636
O,1558372305,266179,385
O,1558372306,266309,451
O,1558372306,266639,490
O,1558372307,266319,375
O,1558372307,266588,1330
O,1558372308,266406,720
O,1558372308,266513,615
O,1558372309,266507,425
O,1558372309,266455,534
O,1558372310,266575,338
O,1558372311,266167,731
O,1558372311,266103,702
O,1558372312,266269,536
O,1558372312,266224,604
O,1558372313,266087,394
O,1558372313,266413,656
O,1558372314,265812,335
O,1558372315,265675,793
O,1558372315,265924,448
O,1558372316,265976,825
O,1558372316,266311,435
O,1558372317,266177,447
O,1558372317,266298,566
O,1558372318,266059,477
O,1558372319,266017,436
O,1558372319,266630,871
O,1558372320,266955,1152
O,1558372320,266819,705
O,1558372320,267112,608
P,1558372320,5341
O,1558372320,267012,417
O,1558372321,266826,449
O,1558372322,266900,557
O,1558372322,266717,956
O,1558372323,266172,618
O,1558372323,266926,405
O,1558372324,267298,570
O,1558372324,267150,625
T,1558372325,2871
P,1558372350,5345
P,1558372380,5347
P,1558372409,5346
P,1558372439,5345
P,1558372468,5345
P,1558372497,5346
P,1558372526,5347
P,1558372556,5345
P,1558372585,5345
P,1558372614,5345
P,1558372644,5345
P,1558372674,5344
P,1558372703,5346
P,1558372732,5345
P,1558372762,5344
P,1558372791,5345
P,1558372820,5346
P,1558372850,5346
P,1558372879,5344
P,1558372908,5346
P,1558372937,5345
P,1558372968,5345
P,1558372997,5344
P,1558373026,5346
P,1558373056,5346
P,1558373085,5346
P,1558373114,5345
P,1558373143,5346
P,1558373173,5345
P,1558373202,5346
P,1558373231,5346
P,1558373262,5346
P,1558373291,5345
P,1558373320,5346
P,1558373349,5345
P,1558373379,5347
P,1558373408,5346
P,1558373437,5346
P,1558373467,5345
P,1558373496,5344
P,1558373525,5344
P,1558373555,5347
P,1558373585,5347
P,1558373614,5344
P,1558373643,5345
P,1558373673,5345
P,1558373702,5345
P,1558373731,5346
P,1558373760,5346
P,1558373790,5346
P,1558373819,5344
P,1558373849,5345
P,1558373879,5345
P,1558373909,5346
