H,1559410737,255083
P,1559410737,5274
P,1559410766,5274
P,1559410796,5275
P,1559410825,5274
P,1559410854,5275
P,1559410883,5275
P,1559410914,5276
P,1559410943,5275
P,1559410972,5276
P,1559411002,5275
P,1559411031,5276
P,1559411060,5275
P,1559411089,5274
P,1559411119,5275
P,1559411148,5275
P,1559411177,5276
P,1559411207,5275
P,1559411237,5276
P,1559411266,5274
P,1559411295,5275
P,1559411325,5275
P,1559411354,5274
P,1559411383,5275
P,1559411412,5275
P,1559411442,5276
P,1559411471,5276
P,1559411501,5275
P,1559411531,5275
P,1559411560,5275
P,1559411589,5275
P,1559411618,5275
P,1559411648,5274
P,1559411677,5275
P,1559411706,5275
P,1559411736,5274
P,1559411765,5275
P,1559411795,5275
P,1559411824,5275
P,1559411854,5276
P,1559411883,5274
P,1559411912,5274
P,1559411942,5274
P,1559411971,5274
P,1559412000,5275
P,1559412029,5275
P,1559412059,5274
P,1559412089,5275
P,1559412118,5275
P,1559412148,5275
P,1559412177,5275
P,1559412206,5276
P,1559412236,5274
P,1559412266,5275
P,1559412295,5274
P,1559412324,5276
P,1559412354,5275
P,1559412384,5276
P,1559412413,5276
P,1559412442,5274
P,1559412472,5276
P,1559412501,5275
P,1559412530,5276
P,1559412560,5274
P,1559412589,5275
P,1559412618,5275
P,1559412647,5274
P,1559412678,5275
P,1559412707,5274
P,1559412736,5275
P,1559412766,5276
O,1559412780,259257,1711
O,1559412781,259456,136
O,1559412782,259504,113
O,1559412782,259469,135
O,1559412783,259498,90
O,1559412783,259471,72
O,1559412784,259489,105
O,1559412784,259472,48
O,1559412785,259507,99
O,1559412786,259522,138
O,1559412786,259525,144
O,1559412787,259496,72
O,1559412787,259513,96
O,1559412788,259511,140
O,1559412788,259522,128
O,1559412789,259525,143
O,1559412790,259476,113
O,1559412790,259539,72
O,1559412791,259441,214
O,1559412791,259460,116
O,1559412792,259465,86
O,1559412792,259516,140
O,1559412793,259504,203
O,1559412794,259539,98
O,1559412794,259516,144
O,1559412795,259521,111
P,1559412795,5267
O,1559412795,259486,73
O,1559412796,259478,77
O,1559412796,259538,63
O,1559412797,259364,270
O,1559412798,259403,92
O,1559412798,259430,183
O,1559412799,259440,115
O,1559412799,259398,108
O,1559412800,259442,78
O,1559412800,259419,89
O,1559412801,259425,182
O,1559412801,259361,172
O,1559412802,259402,182
O,1559412803,259419,133
O,1559412803,259432,92
O,1559412804,259455,94
O,1559412804,259447,116
O,1559412805,259486,67
O,1559412805,259477,110
O,1559412806,259488,155
O,1559412807,259483,66
O,1559412807,259467,91
O,1559412807,259496,189
O,1559412807,259511,139
O,1559412808,259460,88
O,1559412808,259519,82
O,1559412809,259478,96
O,1559412810,259469,92
O,1559412810,259498,106
O,1559412811,259518,153
O,1559412811,259500,54
O,1559412812,259499,106
O,1559412812,259512,79
O,1559412813,259485,129
O,1559412814,259486,109
O,1559412814,259493,116
O,1559412815,259480,112
O,1559412815,259446,120
O,1559412816,259454,63
O,1559412816,259496,75
O,1559412817,259492,102
O,1559412818,259465,90
O,1559412818,259489,115
O,1559412819,259458,82
O,1559412819,259456,108
O,1559412820,259457,59
O,1559412820,259430,88
O,1559412821,259397,105
O,1559412821,259418,155
O,1559412822,259432,136
O,1559412823,259479,113
O,1559412823,259445,86
O,1559412824,259447,110
P,1559412824,5268
O,1559412824,259448,85
O,1559412825,259418,82
O,1559412825,259428,69
O,1559412826,259440,129
O,1559412827,259425,77
O,1559412827,259389,87
O,1559412828,259425,109
O,1559412828,259374,113
O,1559412829,259414,126
O,1559412829,259342,107
O,1559412830,259379,155
O,1559412831,259410,87
O,1559412831,259403,100
O,1559412832,259433,82
O,1559412832,259450,99
O,1559412833,259426,69
O,1559412833,259433,114
O,1559412834,259413,108
O,1559412835,259424,118
O,1559412835,259364,163
O,1559412836,259364,63
O,1559412836,259369,108
T,1559412836,3016
P,1559412853,5275
P,1559412883,5274
P,1559412912,5275
P,1559412941,5274
P,1559412971,5273
P,1559413001,5275
P,1559413030,5275
P,1559413059,5274
P,1559413089,5274
P,1559413118,5274
P,1559413147,5275
P,1559413176,5274
P,1559413206,5274
P,1559413235,5276
P,1559413265,5274
P,1559413295,5274
P,1559413324,5273
P,1559413353,5274
P,1559413382,5276
P,1559413412,5272
P,1559413441,5276
P,1559413470,5276
P,1559413500,5275
P,1559413529,5275
P,1559413559,5274
P,1559413588,5275
P,1559413618,5275
P,1559413647,5275
P,1559413676,5275
P,1559413706,5274
P,1559413735,5275
