H,1554828570,241338
P,1554828570,5154
P,1554828600,5155
P,1554828629,5155
P,1554828658,5154
P,1554828688,5154
P,1554828717,5153
P,1554828746,5155
P,1554828775,5154
P,1554828805,5155
P,1554828834,5153
P,1554828864,5153
P,1554828894,5155
P,1554828923,5154
P,1554828952,5153
P,1554828981,5154
P,1554829011,5154
P,1554829040,5155
P,1554829069,5154
P,1554829099,5154
P,1554829128,5155
P,1554829158,5155
P,1554829187,5154
P,1554829217,5155
P,1554829246,5154
P,1554829275,5156
P,1554829305,5154
P,1554829334,5155
P,1554829363,5155
P,1554829392,5154
P,1554829422,5155
P,1554829452,5153
P,1554829481,5155
P,1554829510,5154
P,1554829540,5154
P,1554829569,5154
P,1554829598,5155
P,1554829628,5154
P,1554829657,5154
P,1554829686,5153
P,1554829715,5155
P,1554829746,5155
P,1554829775,5155
P,1554829804,5153
P,1554829834,5153
P,1554829863,5155
P,1554829892,5154
P,1554829921,5154
P,1554829951,5154
P,1554829980,5153
P,1554830009,5154
P,1554830040,5156
P,1554830069,5154
P,1554830098,5155
P,1554830127,5156
P,1554830157,5154
P,1554830186,5153
P,1554830215,5153
P,1554830245,5153
P,1554830274,5154
P,1554830303,5155
P,1554830333,5155
P,1554830363,5154
P,1554830392,5154
P,1554830421,5155
P,1554830451,5153
P,1554830480,5156
P,1554830509,5153
P,1554830538,5154
P,1554830568,5154
P,1554830597,5154
P,1554830627,5155
O,1554830655,250263,1404
O,1554830655,250353,373
O,1554830656,250455,556
O,1554830656,250734,679
P,1554830657,5148
O,1554830657,250894,206
O,1554830657,251203,394
O,1554830658,251846,1298
O,1554830658,252292,2153
O,1554830658,254038,1152
O,1554830659,252304,613
O,1554830659,252036,203
O,1554830660,251769,817
O,1554830660,251872,997
O,1554830661,252689,1014
O,1554830662,253047,478
O,1554830662,252927,769
O,1554830663,252276,501
O,1554830663,252778,501
O,1554830664,252177,361
O,1554830664,251981,249
O,1554830665,252169,565
O,1554830666,252102,343
O,1554830666,251933,499
O,1554830667,251521,429
O,1554830667,251311,313
O,1554830668,251258,115
O,1554830668,251216,249
O,1554830669,251019,96
O,1554830670,250970,169
O,1554830670,250966,52
O,1554830671,250974,117
O,1554830671,250962,151
O,1554830672,250862,166
O,1554830672,250894,117
O,1554830673,251007,115
O,1554830673,250895,161
O,1554830674,251030,190
O,1554830675,250782,360
O,1554830675,250581,256
O,1554830676,250621,549
O,1554830676,250569,495
O,1554830677,250585,252
O,1554830677,250536,338
O,1554830678,250829,198
O,1554830679,250783,163
O,1554830679,250836,268
O,1554830680,251151,273
O,1554830680,251333,289
O,1554830681,251802,241
O,1554830681,251343,626
O,1554830682,251180,341
O,1554830683,251704,547
O,1554830683,251840,305
O,1554830684,251774,383
O,1554830684,251730,475
O,1554830685,251861,273
O,1554830685,252457,1030
P,1554830686,5146
O,1554830686,253294,1017
O,1554830687,254331,1569
O,1554830687,254938,2153
O,1554830688,252067,1057
O,1554830688,253352,1502
O,1554830689,252095,1398
O,1554830689,250982,415
O,1554830690,250753,240
O,1554830691,250577,370
O,1554830691,250004,474
O,1554830692,250642,699
O,1554830692,250905,345
O,1554830693,251216,615
O,1554830693,253665,4525
O,1554830694,258475,4958
O,1554830694,259401,2140
O,1554830695,260284,2677
O,1554830696,259468,2173
O,1554830696,260717,2903
O,1554830697,258195,5821
O,1554830697,256754,3963
O,1554830698,258332,1586
O,1554830698,257240,1784
O,1554830699,254452,2385
O,1554830699,254687,2276
O,1554830699,256991,1360
O,1554830700,255721,2094
O,1554830700,255234,2182
O,1554830701,253618,720
O,1554830701,253681,433
O,1554830702,253941,825
O,1554830703,255254,1497
O,1554830703,255857,1183
O,1554830704,256384,1308
O,1554830704,255818,970
O,1554830705,256067,1192
O,1554830705,256090,771
O,1554830706,255970,1193
O,1554830707,256951,1829
O,1554830707,258526,1563
O,1554830708,258892,2839
O,1554830708,260421,3994
O,1554830709,256820,4691
O,1554830709,254958,814
T,1554830710,2897
P,1554830715,5154
P,1554830744,5154
P,1554830774,5154
P,1554830803,5156
P,1554830832,5154
P,1554830862,5154
P,1554830891,5154
P,1554830921,5154
P,1554830950,5155
P,1554830980,5153
P,1554831009,5153
P,1554831038,5155
P,1554831068,5155
P,1554831097,5154
P,1554831127,5155
P,1554831156,5154
P,1554831186,5155
P,1554831216,5154
P,1554831245,5155
P,1554831274,5154
P,1554831304,5154
P,1554831333,5155
P,1554831362,5154
P,1554831392,5155
P,1554831421,5153
P,1554831450,5154
P,1554831479,5153
P,1554831510,5154
