H,1558596239,255083
P,1558596239,5325
P,1558596268,5325
P,1558596297,5324
P,1558596326,5325
P,1558596356,5324
P,1558596386,5325
P,1558596415,5325
P,1558596445,5324
P,1558596474,5323
P,1558596503,5325
P,1558596532,5324
P,1558596562,5325
P,1558596591,5317
P,1558596620,5325
P,1558596650,5324
P,1558596680,5324
P,1558596709,5326
P,1558596738,5325
P,1558596768,5324
P,1558596797,5324
P,1558596827,5323
P,1558596856,5323
P,1558596886,5325
P,1558596915,5325
P,1558596944,5324
P,1558596975,5324
P,1558597004,5325
P,1558597033,5325
P,1558597062,5324
P,1558597092,5325
P,1558597121,5321
P,1558597150,5325
P,1558597180,5326
P,1558597209,5325
P,1558597238,5326
P,1558597268,5326
P,1558597298,5325
P,1558597327,5325
P,1558597356,5326
P,1558597386,5326
P,1558597415,5322
P,1558597444,5325
P,1558597473,5325
P,1558597503,5325
P,1558597532,5325
P,1558597562,5326
P,1558597592,5325
P,1558597621,5324
P,1558597650,5326
P,1558597679,5324
P,1558597709,5325
P,1558597738,5323
P,1558597767,5324
P,1558597797,5324
P,1558597826,5324
P,1558597856,5325
P,1558597885,5326
P,1558597915,5325
P,1558597944,5325
P,1558597973,5324
P,1558598003,5325
P,1558598032,5323
P,1558598061,5325
P,1558598090,5325
P,1558598120,5325
O,1558598136,254896,5916
O,1558598137,256823,2561
O,1558598137,257710,6311
O,1558598138,254629,4225
O,1558598138,253206,3808
O,1558598139,253056,5177
O,1558598139,253970,5213
O,1558598140,256243,4015
O,1558598141,253905,3561
O,1558598141,255823,1819
O,1558598142,257899,5788
O,1558598142,257339,8089
O,1558598143,261438,4208
O,1558598143,258150,5052
O,1558598144,256812,1293
O,1558598144,258825,4603
O,1558598145,256170,2267
O,1558598146,250301,8735
O,1558598146,252258,6417
O,1558598147,252891,3515
O,1558598147,254464,4077
O,1558598148,255305,4084
O,1558598148,254313,6238
O,1558598149,250587,6692
O,1558598150,249385,9160
P,1558598150,5317
O,1558598150,251052,5051
O,1558598151,249833,4669
O,1558598151,250704,4283
O,1558598152,251824,5647
O,1558598152,253588,8038
O,1558598153,250215,11968
O,1558598154,247820,10024
O,1558598154,251033,4311
O,1558598155,250068,3235
O,1558598155,251415,4115
O,1558598156,252956,8479
O,1558598156,255092,8414
O,1558598157,247679,14832
O,1558598158,252468,5614
O,1558598158,250897,9627
O,1558598159,252811,4271
O,1558598159,254995,4914
O,1558598160,252220,1758
O,1558598160,249989,7455
O,1558598161,250518,6976
O,1558598162,249220,3653
O,1558598162,252926,2632
O,1558598163,252569,2050
O,1558598163,254228,4287
O,1558598164,250415,7358
O,1558598164,252295,2164
O,1558598165,253266,3524
O,1558598165,253569,5553
O,1558598166,253123,2322
O,1558598167,255460,3250
O,1558598167,254465,6270
O,1558598168,254266,10260
O,1558598168,255575,3878
O,1558598168,254587,3761
O,1558598168,256521,2376
O,1558598169,255855,2527
O,1558598170,256258,2687
O,1558598170,260119,3213
O,1558598171,256544,6929
O,1558598171,257841,6207
O,1558598172,255825,2051
O,1558598172,257003,1623
O,1558598173,256174,1196
O,1558598174,256280,1118
O,1558598174,257177,1632
O,1558598175,254384,4466
O,1558598175,255377,1789
O,1558598176,259267,3966
O,1558598176,257300,11753
O,1558598177,249155,9467
O,1558598178,247053,5922
O,1558598178,252632,6814
O,1558598179,255588,9586
P,1558598179,5320
O,1558598179,252175,12736
O,1558598180,263125,6919
O,1558598180,262533,14138
O,1558598181,256303,24120
O,1558598182,254691,4905
O,1558598182,256268,6486
O,1558598183,253158,11160
O,1558598183,257414,8410
O,1558598184,257787,4359
O,1558598184,256610,14717
O,1558598185,258843,22413
O,1558598185,253956,6968
O,1558598186,259048,12310
O,1558598187,250766,13930
O,1558598187,263042,9262
O,1558598188,260456,7424
O,1558598188,253219,8770
O,1558598189,252140,3412
O,1558598189,256923,5933
O,1558598190,258211,12536
O,1558598191,255736,5310
O,1558598191,254149,3944
O,1558598192,252919,3294
T,1558598192,2939
P,1558598209,5324
P,1558598238,5324
P,1558598267,5323
P,1558598296,5325
P,1558598326,5324
P,1558598355,5326
P,1558598384,5324
E,1558598414,0
