H,1555522809,241338
U,1555522809,0
X,1555522811,461337,1769
X,1555522812,461306,3568
X,1555522812,461255,9606
X,1555522812,461351,40927
X,1555522812,461273,21892
X,1555522813,461225,909
X,1555522813,461264,4368
X,1555522814,461249,1063
X,1555522814,461207,1720
X,1555522815,461230,10508
X,1555522816,461344,38177
X,1555522816,459539,15673
X,1555522817,461064,18484
X,1555522817,459668,9124
X,1555522818,460225,16846
X,1555522818,460041,894
X,1555522819,460176,4979
X,1555522820,460380,6517
X,1555522820,460285,13627
X,1555522821,460033,3268
X,1555522821,460132,3115
X,1555522822,460128,980
X,1555522822,460121,909
X,1555522823,460237,361
X,1555522824,460150,1412
X,1555522824,460177,1417
X,1555522825,460230,1186
X,1555522825,460199,2704
X,1555522826,460195,1708
P,1555522826,5136
X,1555522826,460188,1139
X,1555522827,460250,1120
X,1555522828,460218,1196
X,1555522828,460209,375
X,1555522829,460260,1577
X,1555522829,460171,1147
X,1555522830,460164,1179
X,1555522830,459454,7988
X,1555522831,459634,24406
X,1555522832,460112,18089
X,1555522832,460263,5770
X,1555522833,461324,14303
X,1555522833,460595,11964
X,1555522834,460347,15525
X,1555522834,460529,6859
X,1555522835,460401,5476
X,1555522835,460063,1196
X,1555522836,459960,1379
X,1555522837,460026,937
X,1555522837,461068,5693
X,1555522838,458083,55221
X,1555522838,458824,36959
X,1555522839,461373,36655
X,1555522839,460187,18205
X,1555522840,455917,33780
X,1555522841,457569,5712
X,1555522841,457560,1752
X,1555522842,457573,2229
X,1555522842,457831,735
X,1555522843,457832,2304
X,1555522843,457946,3437
X,1555522844,458048,1454
X,1555522845,458059,2590
X,1555522845,458086,1096
X,1555522846,457950,3682
X,1555522846,458281,1220
X,1555522847,458038,4543
X,1555522847,458240,16906
X,1555522848,458098,2435
X,1555522849,458157,930
X,1555522849,458212,1417
X,1555522850,458450,2929
X,1555522850,457776,5520
X,1555522851,458372,3746
X,1555522851,456962,34960
X,1555522852,262617,9483
X,1555522853,259403,1313
X,1555522853,258875,297
X,1555522853,258404,432
X,1555522853,257911,285
X,1555522854,257535,265
X,1555522854,257279,254
X,1555522855,257030,217
P,1555522855,5135
X,1555522855,256872,208
X,1555522856,256692,164
X,1555522857,256577,105
O,1555522857,256429,148
O,1555522858,256313,169
O,1555522858,256214,159
O,1555522859,256102,129
O,1555522859,256023,84
O,1555522860,255953,108
O,1555522861,255867,126
O,1555522861,255802,103
O,1555522862,255724,131
O,1555522862,255645,108
O,1555522863,255601,134
O,1555522863,255506,109
O,1555522864,255426,98
O,1555522865,255376,57
O,1555522865,255334,88
O,1555522866,255310,155
O,1555522866,255288,116
O,1555522867,255230,142
O,1555522867,255204,172
O,1555522868,255176,105
O,1555522869,255085,129
O,1555522869,255100,141
O,1555522870,255028,70
O,1555522870,255012,40
O,1555522871,254954,48
O,1555522871,254910,123
O,1555522872,254806,140
O,1555522873,254705,105
O,1555522873,254683,92
O,1555522874,254692,167
O,1555522874,254692,117
O,1555522875,254665,167
O,1555522875,254592,163
O,1555522876,254550,80
O,1555522876,254545,154
O,1555522877,254533,97
O,1555522878,254546,115
O,1555522878,254556,108
O,1555522879,254565,83
O,1555522879,254564,116
O,1555522880,254554,101
O,1555522880,254496,100
O,1555522881,254472,171
O,1555522882,254417,135
O,1555522882,254423,73
O,1555522883,254366,52
O,1555522883,254343,116
O,1555522884,254297,74
O,1555522884,254270,84
O,1555522885,254202,66
P,1555522885,5137
O,1555522886,254187,52
O,1555522886,254176,139
O,1555522887,254100,115
O,1555522887,254038,127
O,1555522888,253999,131
O,1555522888,254011,100
O,1555522889,254004,140
O,1555522890,254030,117
O,1555522890,254034,54
O,1555522891,254002,128
O,1555522891,253952,143
O,1555522892,253903,120
O,1555522892,253896,99
O,1555522893,253865,128
O,1555522894,253905,72
O,1555522894,253861,100
O,1555522894,253847,135
O,1555522894,253822,92
O,1555522895,253883,103
O,1555522895,253865,65
O,1555522896,253859,65
O,1555522896,253845,87
O,1555522897,253830,51
O,1555522898,253835,156
O,1555522898,253792,119
O,1555522899,253796,88
O,1555522899,253834,114
O,1555522900,253806,123
O,1555522900,253776,74
O,1555522901,253777,99
O,1555522902,253777,139
O,1555522902,253789,84
