H,1548211066,92071
X,1548211066,174539,77
X,1548211067,174411,262
X,1548211067,174520,277
X,1548211068,174580,154
X,1548211068,174629,337
X,1548211069,174152,281
X,1548211070,174012,192
X,1548211070,174011,89
X,1548211071,174025,124
P,1548211071,5105
X,1548211071,174035,142
X,1548211072,174168,63
X,1548211072,174140,61
X,1548211073,174174,102
X,1548211073,174221,88
X,1548211074,174214,65
X,1548211075,174189,277
A,1548211075,174370,972
T,1548211075,2719
X,1548211077,174174,386
X,1548211077,174408,403
X,1548211078,174239,440
X,1548211078,174086,221
X,1548211079,174026,258
X,1548211079,173849,187
X,1548211080,174023,148
X,1548211081,173962,231
X,1548211081,174048,144
X,1548211082,174063,211
X,1548211082,174044,196
X,1548211083,174000,485
X,1548211083,173817,313
X,1548211084,173728,233
X,1548211085,173784,364
X,1548211085,173720,239
X,1548211086,173920,199
X,1548211086,173965,516
X,1548211086,174040,264
X,1548211086,173749,580
A,1548211086,173982,688
T,1548211087,2719
R,1548211087,000000000
X,1548211088,174602,328
X,1548211089,174956,174
X,1548211089,174709,269
X,1548211090,174488,82
X,1548211091,174460,230
X,1548211091,174471,136
X,1548211092,174394,84
X,1548211092,174388,135
X,1548211093,174429,132
X,1548211093,174515,97
X,1548211094,174650,195
X,1548211095,174816,331
X,1548211095,174829,371
X,1548211096,174530,555
X,1548211096,174516,359
X,1548211097,173882,1117
X,1548211097,173840,782
X,1548211098,173962,290
X,1548211099,173808,319
X,1548211099,174042,311
X,1548211100,174254,227
A,1548211100,174432,1148
T,1548211100,2719
R,1548211100,000000000
P,1548211100,5117
X,1548211102,174307,174
X,1548211102,174406,130
X,1548211103,174308,66
X,1548211103,174278,212
X,1548211104,174231,116
X,1548211104,174177,192
X,1548211105,174222,153
X,1548211106,174158,161
X,1548211106,174107,167
X,1548211107,174135,124
X,1548211107,174163,64
X,1548211108,174056,163
X,1548211108,174106,145
X,1548211109,174127,114
X,1548211110,174178,95
X,1548211110,174185,89
X,1548211111,174067,210
X,1548211111,174199,200
X,1548211112,174304,143
X,1548211112,174333,152
A,1548211112,174202,350
T,1548211113,2719
X,1548211114,174111,215
X,1548211115,173971,320
X,1548211116,173949,480
X,1548211116,174025,146
X,1548211117,174218,266
X,1548211117,174182,198
X,1548211118,174190,217
X,1548211118,174179,294
X,1548211119,174213,522
X,1548211119,174300,834
X,1548211120,174070,353
X,1548211121,174349,527
X,1548211121,174358,1164
X,1548211122,173536,808
X,1548211122,173469,349
X,1548211123,173919,307
X,1548211123,174215,460
X,1548211124,173957,307
X,1548211125,174190,251
X,1548211125,174312,131
X,1548211126,174179,149
A,1548211126,174076,880
T,1548211126,2719
X,1548211127,174262,178
X,1548211127,174618,250
X,1548211128,174591,441
X,1548211128,174192,245
X,1548211129,173953,792
P,1548211129,5119
X,1548211130,174306,1182
X,1548211130,174379,312
X,1548211131,174787,222
X,1548211131,174504,618
X,1548211132,174081,669
X,1548211132,174028,756
X,1548211133,173690,1298
X,1548211134,173732,650
X,1548211134,174102,595
X,1548211135,174173,649
X,1548211135,174520,370
X,1548211136,174414,952
X,1548211136,173752,257
X,1548211137,173988,226
X,1548211137,174041,380
X,1548211138,174197,149
X,1548211139,174105,297
A,1548211139,174220,1055
T,1548211139,2719
X,1548211141,174026,716
X,1548211141,173551,932
X,1548211142,174087,280
X,1548211142,174130,228
X,1548211143,174358,463
X,1548211143,174132,194
X,1548211144,174084,479
X,1548211145,174449,159
X,1548211145,174159,407
X,1548211146,174067,236
X,1548211146,174360,259
X,1548211147,174258,227
X,1548211147,174107,266
X,1548211148,174577,492
X,1548211149,175024,234
X,1548211149,174962,329
X,1548211150,174447,336
X,1548211150,174691,337
X,1548211151,174657,352
X,1548211151,174640,498
A,1548211151,174338,1473
T,1548211152,2719
X,1548211153,174530,352
X,1548211154,174352,518
X,1548211154,174409,253
X,1548211155,174368,509
X,1548211156,173863,454
X,1548211156,174093,231
X,1548211157,173924,145
X,1548211157,174136,416
X,1548211158,174347,382
X,1548211158,174389,335
X,1548211159,174458,82
P,1548211159,5120
X,1548211160,174443,233
X,1548211160,174569,155
