H,1548212218,92071
P,1548212218,5115
X,1548212218,174599,382
X,1548212219,174718,477
X,1548212219,174922,293
X,1548212220,174917,177
X,1548212220,174680,664
X,1548212221,174446,372
X,1548212221,174650,483
X,1548212222,174513,334
X,1548212223,174530,357
X,1548212223,174753,239
X,1548212224,174572,169
X,1548212224,174930,362
X,1548212225,175388,302
X,1548212225,175290,500
X,1548212226,174992,311
X,1548212227,174750,290
X,1548212227,174940,240
X,1548212228,175140,422
A,1548212228,174798,942
T,1548212228,2719
X,1548212230,174915,319
X,1548212230,175023,318
X,1548212231,174864,373
X,1548212231,174942,271
X,1548212232,175029,184
X,1548212232,174888,242
X,1548212233,174991,653
X,1548212234,174759,517
X,1548212234,174384,578
X,1548212235,174568,522
X,1548212235,174758,348
X,1548212235,174436,892
X,1548212235,174609,301
X,1548212236,174856,235
X,1548212237,174778,130
X,1548212237,174690,225
X,1548212238,174504,387
X,1548212238,174644,469
X,1548212239,174807,196
X,1548212239,174778,218
A,1548212239,174761,645
T,1548212240,2719
X,1548212241,174737,88
X,1548212242,174617,141
X,1548212243,174683,122
X,1548212243,174710,161
X,1548212244,174700,163
X,1548212244,174777,221
X,1548212245,174892,198
X,1548212245,174891,128
X,1548212246,174819,64
X,1548212247,174807,294
X,1548212247,174712,248
P,1548212247,5114
X,1548212248,174787,214
X,1548212248,174829,242
X,1548212249,174688,80
X,1548212249,174811,134
X,1548212250,174801,100
X,1548212250,174669,247
X,1548212251,174685,290
X,1548212252,174485,330
X,1548212252,174531,390
A,1548212252,174731,407
T,1548212252,2719
X,1548212254,174484,268
X,1548212255,174462,185
X,1548212255,174582,211
X,1548212256,174505,224
X,1548212256,174529,408
X,1548212257,174436,423
X,1548212258,174445,127
X,1548212258,174527,294
X,1548212259,174577,123
X,1548212259,174543,184
X,1548212260,174479,124
X,1548212260,174366,192
X,1548212261,174301,210
X,1548212262,174369,260
X,1548212262,174508,150
X,1548212263,174567,107
X,1548212263,174564,288
X,1548212264,174402,457
X,1548212264,174475,209
X,1548212265,174574,179
A,1548212265,174484,281
T,1548212265,2719
X,1548212267,174610,329
X,1548212267,174591,95
X,1548212268,174604,95
X,1548212269,174691,83
X,1548212269,174819,99
X,1548212270,174845,228
X,1548212270,174744,301
X,1548212271,174406,305
X,1548212271,174218,462
X,1548212272,174364,280
X,1548212273,174317,247
X,1548212273,174520,121
X,1548212274,174498,421
X,1548212274,174656,396
X,1548212275,174779,232
X,1548212275,174986,87
X,1548212276,174907,142
X,1548212276,174939,217
X,1548212276,174986,253
P,1548212276,5115
X,1548212277,174619,183
A,1548212277,174654,768
T,1548212277,2719
X,1548212279,174710,277
X,1548212279,174634,236
X,1548212280,174638,170
X,1548212280,174563,238
X,1548212281,174630,316
X,1548212281,174653,210
X,1548212282,174744,135
X,1548212283,174796,151
X,1548212283,174812,194
X,1548212284,174891,125
X,1548212284,174768,171
X,1548212285,174757,182
X,1548212285,174822,87
X,1548212286,174809,102
X,1548212287,174868,73
X,1548212287,174940,308
X,1548212288,174924,162
X,1548212288,175034,132
X,1548212289,174993,86
X,1548212289,175017,125
A,1548212289,174800,471
T,1548212290,2719
X,1548212291,174976,125
X,1548212292,174967,166
X,1548212293,175030,124
X,1548212293,174955,307
X,1548212294,175148,166
X,1548212294,174614,337
X,1548212295,174814,353
X,1548212295,174924,208
X,1548212296,174726,265
X,1548212296,174689,296
X,1548212297,174856,329
X,1548212298,175095,425
X,1548212298,175519,304
X,1548212299,175528,238
X,1548212299,175406,220
X,1548212300,175293,273
X,1548212300,175285,194
X,1548212301,175097,180
X,1548212302,175103,152
X,1548212302,174988,334
A,1548212302,175050,914
T,1548212302,2719
X,1548212304,174826,192
X,1548212305,174893,176
X,1548212305,174907,235
X,1548212306,174857,133
P,1548212306,5115
X,1548212306,174894,214
X,1548212307,175023,146
X,1548212308,175054,88
X,1548212308,175008,170
X,1548212309,174805,306
X,1548212309,174675,270
X,1548212310,174584,141
X,1548212310,174671,216
X,1548212311,174740,280
X,1548212312,174690,133
X,1548212312,174656,168
X,1548212313,174610,153
X,1548212313,174620,90
