H,1548217295,92071
T,1548217295,2716
X,1548217297,176695,122
X,1548217298,176756,254
X,1548217298,176750,136
X,1548217299,176717,105
X,1548217299,176763,111
X,1548217300,176783,152
X,1548217300,176909,191
X,1548217301,176816,172
X,1548217301,176766,220
X,1548217302,176813,101
X,1548217303,176794,90
X,1548217303,176839,116
P,1548217303,5090
X,1548217304,176793,85
X,1548217304,176855,89
X,1548217305,176805,156
X,1548217305,176768,130
X,1548217306,176754,134
X,1548217307,176805,111
X,1548217307,176758,265
X,1548217308,176725,328
A,1548217308,176783,214
T,1548217308,2716
X,1548217310,176761,137
X,1548217310,176733,159
X,1548217311,176591,135
X,1548217311,176799,271
X,1548217312,176755,122
X,1548217313,176656,201
X,1548217313,176582,515
X,1548217314,176825,254
X,1548217314,177055,186
X,1548217315,176913,338
X,1548217315,176769,326
X,1548217316,176592,301
X,1548217316,176771,421
X,1548217317,177022,384
X,1548217318,177082,262
X,1548217318,176586,749
X,1548217319,176611,272
X,1548217319,176560,412
X,1548217320,176672,205
X,1548217320,176764,246
A,1548217320,176754,522
T,1548217321,2716
X,1548217321,176849,235
X,1548217322,176750,339
X,1548217323,176907,284
X,1548217323,177146,321
X,1548217324,177266,239
X,1548217324,177126,258
X,1548217325,177106,150
X,1548217325,177114,179
X,1548217326,176973,159
X,1548217327,177062,233
X,1548217327,176896,563
X,1548217328,176643,256
X,1548217328,176762,260
X,1548217329,176892,198
X,1548217329,176822,139
X,1548217330,176842,109
X,1548217331,176808,244
X,1548217331,176818,151
X,1548217332,176842,128
X,1548217332,176896,91
A,1548217332,176926,623
T,1548217332,2716
P,1548217332,5105
X,1548217334,177101,132
X,1548217335,177022,116
X,1548217335,177018,95
X,1548217336,177017,150
X,1548217336,176958,112
X,1548217337,176945,120
X,1548217338,176941,100
X,1548217338,176916,128
X,1548217339,176916,117
X,1548217339,176890,123
X,1548217340,176762,137
X,1548217340,176900,132
X,1548217341,176805,73
X,1548217342,176810,113
X,1548217342,176804,155
X,1548217343,176840,189
X,1548217343,176780,131
X,1548217344,176804,90
X,1548217344,176836,99
X,1548217345,176908,102
A,1548217345,176898,339
T,1548217345,2716
X,1548217347,176811,188
X,1548217347,176800,242
X,1548217348,176801,158
X,1548217349,176787,243
X,1548217349,176822,202
X,1548217350,176871,144
X,1548217350,176960,106
X,1548217351,176903,151
X,1548217351,176978,125
X,1548217352,176991,160
X,1548217353,177028,194
X,1548217353,176947,409
X,1548217354,176503,456
X,1548217354,176593,117
X,1548217355,176602,285
X,1548217355,176568,298
X,1548217356,176501,360
X,1548217357,176788,376
X,1548217357,176800,218
X,1548217358,176713,220
A,1548217358,176788,527
T,1548217358,2716
X,1548217360,176592,701
X,1548217360,176667,565
X,1548217361,176564,199
X,1548217361,176541,271
X,1548217362,176610,254
P,1548217362,5103
X,1548217362,176600,217
X,1548217362,176729,517
X,1548217363,176928,201
X,1548217363,176746,392
X,1548217364,176846,113
X,1548217364,176852,232
X,1548217365,176791,122
X,1548217365,176644,395
X,1548217366,176640,187
X,1548217367,176850,211
X,1548217367,176628,205
X,1548217368,176760,255
X,1548217368,176600,232
X,1548217369,176632,167
X,1548217369,176741,142
A,1548217369,176698,387
T,1548217370,2716
X,1548217371,177232,149
X,1548217372,177201,118
X,1548217373,177043,230
X,1548217373,176861,227
X,1548217374,177171,154
X,1548217374,177189,132
X,1548217375,177167,155
X,1548217375,177118,134
X,1548217376,177244,145
X,1548217377,177160,140
X,1548217377,177055,122
X,1548217378,176948,118
X,1548217378,176980,81
X,1548217379,176893,287
X,1548217379,176962,131
X,1548217380,176967,165
X,1548217380,176908,260
X,1548217381,176757,71
X,1548217382,176837,229
X,1548217382,176975,133
A,1548217382,177033,487
T,1548217382,2716
X,1548217384,177116,215
X,1548217385,176916,305
X,1548217385,177014,177
X,1548217386,177200,238
X,1548217386,177012,456
X,1548217387,176832,389
X,1548217388,176961,148
X,1548217388,176929,154
X,1548217389,176943,252
X,1548217389,176990,185
X,1548217390,176955,286
X,1548217390,176878,302
X,1548217391,176934,235
X,1548217392,176949,146
P,1548217392,5106
X,1548217392,176794,248
