H,1549159620,379760
P,1549159620,5134
P,1549159649,5134
P,1549159679,5134
P,1549159708,5135
P,1549159737,5135
P,1549159767,5135
P,1549159796,5134
P,1549159825,5135
P,1549159854,5134
P,1549159884,5135
P,1549159914,5134
P,1549159943,5134
P,1549159973,5134
P,1549160002,5134
P,1549160031,5134
P,1549160061,5134
P,1549160091,5134
P,1549160120,5134
P,1549160149,5135
P,1549160179,5134
P,1549160209,5133
P,1549160238,5134
P,1549160267,5133
P,1549160297,5133
P,1549160326,5134
P,1549160355,5135
P,1549160385,5133
P,1549160414,5134
P,1549160443,5133
P,1549160472,5133
P,1549160503,5134
P,1549160532,5133
P,1549160561,5134
P,1549160591,5134
P,1549160620,5134
P,1549160649,5135
P,1549160678,5133
P,1549160708,5134
P,1549160737,5132
P,1549160766,5135
P,1549160796,5134
P,1549160826,5134
P,1549160855,5134
P,1549160884,5134
P,1549160914,5134
P,1549160943,5134
P,1549160972,5134
P,1549161001,5134
P,1549161031,5134
P,1549161060,5134
P,1549161090,5133
P,1549161120,5134
P,1549161149,5135
P,1549161178,5134
P,1549161207,5135
P,1549161237,5134
P,1549161266,5135
P,1549161295,5132
P,1549161325,5135
P,1549161354,5133
O,1549161358,412382,2653
O,1549161358,412358,261
O,1549161359,412656,239
O,1549161359,412760,232
O,1549161360,412209,1339
O,1549161361,411491,795
O,1549161361,412080,519
O,1549161362,411716,457
O,1549161362,411567,458
O,1549161363,411312,1103
O,1549161363,411481,958
O,1549161364,412275,519
O,1549161364,412740,858
O,1549161365,412986,188
O,1549161366,412826,252
O,1549161366,412804,111
O,1549161367,412690,271
O,1549161367,412246,401
O,1549161368,412166,342
O,1549161368,412049,714
O,1549161369,412510,481
O,1549161370,412573,273
O,1549161370,412225,182
O,1549161370,412627,706
O,1549161370,412903,332
O,1549161371,412930,410
O,1549161371,412500,605
O,1549161372,412560,309
O,1549161373,412507,237
O,1549161373,411923,785
O,1549161374,412450,301
O,1549161374,412166,844
O,1549161375,412226,358
O,1549161375,412078,568
O,1549161376,412424,859
O,1549161377,412026,540
O,1549161377,412147,603
O,1549161378,411672,556
O,1549161378,411977,971
O,1549161379,412409,346
O,1549161379,412742,474
O,1549161380,412875,155
O,1549161381,412783,130
O,1549161381,412795,245
O,1549161382,412404,306
O,1549161382,411984,612
O,1549161383,412070,376
O,1549161383,412365,557
P,1549161384,5126
O,1549161384,412719,345
O,1549161385,412482,802
O,1549161385,412526,505
O,1549161386,412885,263
O,1549161386,412938,186
O,1549161387,413084,298
O,1549161387,413130,121
O,1549161388,413068,171
O,1549161388,413028,154
O,1549161389,413045,173
O,1549161390,413042,159
O,1549161390,413011,140
O,1549161391,413061,134
O,1549161391,413173,258
O,1549161392,413268,107
O,1549161392,413322,170
O,1549161393,413326,131
O,1549161394,413302,190
O,1549161394,413259,347
O,1549161395,413309,207
O,1549161395,413330,282
O,1549161396,413401,249
O,1549161396,413134,401
O,1549161397,413354,198
O,1549161398,413269,622
O,1549161398,412674,450
O,1549161399,412778,323
O,1549161399,412854,187
O,1549161400,412905,120
O,1549161400,412468,787
O,1549161401,412128,669
O,1549161402,411089,1159
O,1549161402,411634,395
O,1549161403,411916,161
O,1549161403,411947,632
O,1549161404,412487,322
O,1549161404,412581,341
O,1549161405,412901,154
O,1549161406,412987,187
O,1549161406,413005,179
O,1549161407,412871,217
O,1549161407,412886,181
O,1549161408,412953,166
O,1549161408,412972,181
O,1549161409,412996,130
O,1549161410,412798,152
O,1549161410,412957,600
O,1549161411,412774,357
O,1549161411,412944,203
O,1549161411,413054,177
O,1549161411,413035,69
O,1549161412,413038,220
O,1549161412,413026,399
T,1549161413,2755
P,1549161413,5123
P,1549161443,5134
P,1549161472,5132
P,1549161501,5134
P,1549161531,5134
P,1549161560,5132
P,1549161589,5133
P,1549161618,5134
P,1549161648,5134
P,1549161678,5133
P,1549161707,5134
P,1549161737,5133
P,1549161766,5133
P,1549161795,5133
P,1549161824,5132
P,1549161854,5133
P,1549161883,5135
P,1549161912,5134
P,1549161942,5134
P,1549161972,5134
P,1549162001,5134
P,1549162030,5133
P,1549162060,5134
P,1549162089,5133
P,1549162118,5134
P,1549162148,5133
P,1549162177,5133
P,1549162206,5133
P,1549162235,5134
P,1549162266,5131
P,1549162295,5134
P,1549162324,5133
P,1549162354,5132
P,1549162383,5134
P,1549162412,5134
P,1549162441,5133
P,1549162471,5135
P,1549162500,5133
P,1549162529,5133
P,1549162559,5133
