H,1549225592,379760
P,1549225592,5134
P,1549225622,5134
P,1549225651,5134
P,1549225680,5133
P,1549225709,5133
P,1549225739,5133
P,1549225768,5133
P,1549225797,5133
P,1549225827,5133
P,1549225856,5133
P,1549225886,5134
P,1549225915,5131
P,1549225945,5131
P,1549225974,5134
P,1549226003,5133
P,1549226033,5134
P,1549226062,5133
P,1549226091,5134
P,1549226120,5134
P,1549226150,5134
P,1549226180,5135
P,1549226209,5134
P,1549226239,5133
P,1549226268,5133
P,1549226297,5135
P,1549226326,5133
P,1549226356,5133
P,1549226385,5134
P,1549226414,5134
P,1549226444,5133
P,1549226474,5133
P,1549226503,5133
P,1549226532,5134
P,1549226562,5134
P,1549226591,5133
P,1549226620,5135
P,1549226650,5134
P,1549226679,5125
P,1549226708,5133
P,1549226737,5135
O,1549226767,414611,3034
O,1549226768,415079,367
P,1549226768,5125
O,1549226768,414589,673
O,1549226769,414185,584
O,1549226769,414440,323
O,1549226770,414545,665
O,1549226770,414978,657
O,1549226771,415325,575
O,1549226771,416658,1491
O,1549226772,416494,982
O,1549226773,415409,616
O,1549226773,415067,411
O,1549226774,415059,479
O,1549226774,415408,437
O,1549226775,415292,759
O,1549226775,415014,241
O,1549226775,414539,794
O,1549226776,413942,369
O,1549226776,413920,603
O,1549226777,413431,440
O,1549226777,413694,408
O,1549226778,413667,264
O,1549226778,413348,459
O,1549226779,413749,2360
O,1549226780,413788,715
O,1549226780,414016,734
O,1549226781,413978,899
O,1549226781,413933,953
O,1549226782,414297,1045
O,1549226782,414549,1363
O,1549226783,413906,1397
O,1549226784,414583,560
O,1549226784,413729,1088
O,1549226785,413273,692
O,1549226785,413777,647
O,1549226786,414379,957
O,1549226786,413953,871
O,1549226787,413512,312
O,1549226788,413610,199
O,1549226788,413427,132
O,1549226789,413538,300
O,1549226789,413488,341
O,1549226790,413424,463
O,1549226790,413349,369
O,1549226791,413461,669
O,1549226792,413725,185
O,1549226792,413448,672
O,1549226793,413123,1055
O,1549226793,413547,654
O,1549226794,413355,250
O,1549226794,412504,829
O,1549226795,412817,728
O,1549226795,413063,656
O,1549226796,412716,336
O,1549226797,412975,828
P,1549226797,5125
O,1549226797,413079,269
O,1549226798,413833,1800
O,1549226798,413987,1061
O,1549226799,413723,567
O,1549226799,413870,594
O,1549226800,413567,553
O,1549226801,413250,402
O,1549226801,413710,725
O,1549226802,413807,661
O,1549226802,413652,707
O,1549226803,413714,592
O,1549226803,413579,351
O,1549226804,413947,449
O,1549226805,413918,549
O,1549226805,413739,420
O,1549226806,413033,1562
O,1549226806,414000,1287
O,1549226807,415781,911
O,1549226807,415382,1342
O,1549226808,415842,784
O,1549226809,414690,2629
O,1549226809,413664,1059
O,1549226810,413609,1879
O,1549226810,414229,2288
O,1549226811,414847,1038
O,1549226811,417157,2892
O,1549226812,418169,1279
O,1549226813,416413,717
O,1549226813,417046,904
O,1549226814,416026,1384
O,1549226814,416913,1472
O,1549226815,417193,1337
O,1549226815,415607,929
O,1549226816,414521,1409
O,1549226816,413787,511
O,1549226816,414528,651
O,1549226817,414899,1449
O,1549226817,416887,1281
O,1549226818,416140,1902
O,1549226818,414557,1107
O,1549226819,413425,1568
O,1549226819,413396,1739
O,1549226820,413147,584
O,1549226821,413794,2148
O,1549226821,413241,695
O,1549226822,414739,1960
T,1549226822,2743
P,1549226826,5133
P,1549226856,5134
P,1549226885,5134
P,1549226914,5134
P,1549226943,5133
P,1549226973,5134
P,1549227002,5134
P,1549227031,5131
P,1549227062,5134
P,1549227091,5134
P,1549227120,5134
P,1549227149,5133
P,1549227179,5134
P,1549227208,5134
P,1549227237,5134
P,1549227267,5134
P,1549227296,5135
P,1549227325,5133
P,1549227355,5133
P,1549227385,5134
P,1549227414,5133
P,1549227443,5134
P,1549227472,5134
P,1549227502,5134
P,1549227531,5133
P,1549227560,5134
P,1549227590,5132
P,1549227619,5133
P,1549227649,5133
P,1549227678,5134
P,1549227708,5132
P,1549227737,5133
P,1549227766,5132
P,1549227796,5133
P,1549227825,5133
P,1549227854,5133
P,1549227883,5133
P,1549227913,5132
P,1549227943,5134
P,1549227972,5134
P,1549228002,5133
P,1549228031,5134
P,1549228060,5134
P,1549228089,5135
P,1549228119,5134
P,1549228148,5134
P,1549228177,5133
P,1549228207,5132
P,1549228238,5134
P,1549228267,5134
P,1549228296,5133
P,1549228326,5134
P,1549228355,5133
P,1549228384,5133
P,1549228414,5132
P,1549228443,5133
P,1549228472,5133
P,1549228501,5134
P,1549228532,5132
P,1549228561,5133
P,1549228590,5134
