H,1548953369,379760
P,1548953369,5151
P,1548953399,5150
P,1548953428,5150
P,1548953457,5150
P,1548953487,5149
P,1548953516,5149
P,1548953545,5151
P,1548953574,5150
P,1548953604,5151
P,1548953633,5151
P,1548953663,5150
P,1548953693,5150
P,1548953722,5151
P,1548953751,5151
P,1548953780,5151
P,1548953810,5149
P,1548953839,5150
P,1548953868,5151
P,1548953898,5151
P,1548953927,5149
P,1548953957,5150
P,1548953986,5149
P,1548954016,5151
P,1548954045,5150
P,1548954074,5151
P,1548954104,5150
P,1548954133,5151
P,1548954162,5151
P,1548954191,5150
P,1548954221,5150
P,1548954251,5149
P,1548954280,5150
P,1548954309,5151
P,1548954339,5151
P,1548954368,5150
P,1548954397,5150
P,1548954427,5150
P,1548954456,5150
P,1548954485,5150
P,1548954514,5150
P,1548954545,5151
P,1548954574,5151
P,1548954603,5150
P,1548954633,5149
P,1548954662,5149
P,1548954691,5150
P,1548954720,5150
P,1548954750,5151
P,1548954779,5150
P,1548954808,5150
P,1548954839,5150
P,1548954868,5150
O,1548954896,402423,2785
O,1548954896,402573,781
O,1548954897,403761,1325
P,1548954897,5140
O,1548954897,403840,1275
O,1548954898,403915,2222
O,1548954898,402475,1477
O,1548954899,402506,1615
O,1548954900,400786,2073
O,1548954900,403101,2066
O,1548954901,403278,1292
O,1548954901,405883,3533
O,1548954902,405982,3048
O,1548954902,402728,2105
O,1548954903,402035,1657
O,1548954904,402189,1393
O,1548954904,402215,2413
O,1548954905,402499,1805
O,1548954905,402864,929
O,1548954906,402424,1670
O,1548954906,405073,3004
O,1548954907,404752,2882
O,1548954908,400813,1261
O,1548954908,401017,1009
O,1548954909,401480,809
O,1548954909,402055,660
O,1548954910,401771,844
O,1548954910,401629,1079
O,1548954911,402789,1067
O,1548954912,404613,3125
O,1548954912,404977,5671
O,1548954913,402746,641
O,1548954913,403372,1749
O,1548954914,402582,590
O,1548954914,403459,1229
O,1548954915,403206,897
O,1548954915,404134,2013
O,1548954916,402999,2738
O,1548954917,402355,1207
O,1548954917,402667,498
O,1548954918,402039,1139
O,1548954918,401262,1196
O,1548954919,401541,1418
O,1548954919,401256,1151
O,1548954920,400861,1016
O,1548954921,400632,552
O,1548954921,401195,553
O,1548954922,400080,1797
O,1548954922,401793,1381
O,1548954923,400250,2164
O,1548954923,400214,2029
O,1548954924,400767,2873
O,1548954924,401381,1714
O,1548954924,402739,2346
O,1548954925,402986,1699
O,1548954925,405306,4512
P,1548954926,5141
O,1548954926,405527,6664
O,1548954926,408558,3965
O,1548954927,405223,4185
O,1548954928,406280,2268
O,1548954928,407671,3946
O,1548954929,403834,3670
O,1548954929,403657,3740
O,1548954930,404779,2470
O,1548954930,405406,1974
O,1548954931,406667,2372
O,1548954932,405461,1973
O,1548954932,406299,2935
O,1548954933,406209,2545
O,1548954933,407283,2466
O,1548954934,406782,1674
O,1548954934,405371,2762
O,1548954935,405269,6970
O,1548954936,405167,1998
O,1548954936,406308,3535
O,1548954937,407100,2132
O,1548954937,404177,3310
O,1548954938,403953,2489
O,1548954938,402371,2327
O,1548954939,402873,1800
O,1548954939,403229,1762
O,1548954940,403809,1583
O,1548954941,404168,2100
O,1548954941,402804,2139
O,1548954942,402486,1694
O,1548954942,401844,1997
O,1548954943,401220,2501
O,1548954943,401135,2039
O,1548954944,401869,2470
O,1548954945,403487,3679
O,1548954945,405157,2165
O,1548954946,404729,1916
O,1548954946,404262,2697
O,1548954947,404635,2062
O,1548954947,406963,4611
O,1548954948,408552,2850
O,1548954949,405476,1893
O,1548954949,407255,1817
O,1548954950,405646,4575
O,1548954950,405073,1368
O,1548954951,403824,2412
O,1548954951,404171,4073
T,1548954952,2746
P,1548954956,5150
P,1548954985,5150
P,1548955014,5150
P,1548955044,5149
P,1548955073,5151
P,1548955102,5150
P,1548955132,5150
P,1548955162,5150
P,1548955191,5150
P,1548955220,5150
P,1548955250,5150
P,1548955279,5150
P,1548955308,5151
P,1548955337,5150
P,1548955367,5151
P,1548955396,5151
P,1548955426,5150
P,1548955456,5150
P,1548955485,5150
P,1548955515,5150
P,1548955544,5150
P,1548955574,5150
P,1548955603,5150
P,1548955632,5149
P,1548955662,5150
P,1548955691,5149
P,1548955721,5149
P,1548955750,5150
P,1548955780,5150
P,1548955809,5149
P,1548955838,5150
P,1548955868,5150
P,1548955897,5150
P,1548955926,5150
P,1548955955,5150
P,1548955985,5149
P,1548956015,5151
P,1548956044,5149
P,1548956073,5149
P,1548956103,5150
P,1548956132,5149
P,1548956161,5149
P,1548956191,5150
P,1548956220,5150
P,1548956249,5150
P,1548956278,5149
P,1548956309,5150
