H,1549171877,379760
P,1549171877,5130
P,1549171907,5130
P,1549171936,5130
P,1549171966,5130
P,1549171995,5130
P,1549172025,5130
P,1549172054,5131
P,1549172083,5131
P,1549172113,5131
P,1549172142,5129
P,1549172171,5130
P,1549172200,5130
P,1549172230,5130
P,1549172260,5130
P,1549172289,5130
P,1549172319,5129
P,1549172348,5130
P,1549172377,5131
P,1549172406,5131
P,1549172436,5131
P,1549172465,5131
P,1549172494,5130
P,1549172524,5131
P,1549172554,5131
P,1549172583,5131
P,1549172612,5130
P,1549172642,5131
P,1549172671,5131
P,1549172700,5131
P,1549172730,5131
P,1549172759,5132
P,1549172788,5130
P,1549172817,5131
P,1549172848,5131
P,1549172877,5130
P,1549172906,5130
P,1549172936,5130
O,1549172956,420389,2801
O,1549172957,421418,981
O,1549172957,420872,631
O,1549172958,421345,158
O,1549172958,421188,671
O,1549172959,420700,297
O,1549172959,420636,367
O,1549172960,420897,345
O,1549172961,421300,595
O,1549172961,421342,1557
O,1549172962,425812,4858
O,1549172962,424183,2142
O,1549172963,424212,2162
O,1549172963,423716,1573
O,1549172964,422737,336
O,1549172964,421641,1130
P,1549172965,5122
O,1549172965,420893,478
O,1549172966,420661,710
O,1549172966,420635,804
O,1549172967,420031,616
O,1549172967,419730,515
O,1549172968,419165,405
O,1549172968,419116,259
O,1549172969,418967,1435
O,1549172970,419289,375
O,1549172970,419248,526
O,1549172971,419234,162
O,1549172971,419259,384
O,1549172972,419753,469
O,1549172972,419183,766
O,1549172973,418924,628
O,1549172974,418454,533
O,1549172974,418441,954
O,1549172975,418431,661
O,1549172975,418095,710
O,1549172976,418278,668
O,1549172976,417770,413
O,1549172977,418030,601
O,1549172977,417952,479
O,1549172977,418022,423
O,1549172978,418485,716
O,1549172978,419308,1004
O,1549172979,419428,860
O,1549172979,420011,407
O,1549172980,420277,831
O,1549172981,420337,466
O,1549172981,419641,544
O,1549172982,419771,910
O,1549172982,420138,596
O,1549172983,420365,526
O,1549172983,420519,273
O,1549172984,420329,234
O,1549172985,420522,467
O,1549172985,420904,1002
O,1549172986,420991,1640
O,1549172986,421002,673
O,1549172987,421129,1467
O,1549172987,420218,839
O,1549172988,419343,1316
O,1549172988,418565,1235
O,1549172989,418998,1527
O,1549172990,419844,852
O,1549172990,419788,1381
O,1549172991,420435,1020
O,1549172991,422096,3042
O,1549172992,422138,2022
O,1549172992,420436,1242
O,1549172993,420093,946
O,1549172994,421025,750
P,1549172994,5119
O,1549172994,420924,670
O,1549172995,420172,978
O,1549172995,419046,638
O,1549172996,418495,641
O,1549172996,418477,651
O,1549172997,419107,1367
O,1549172998,419592,735
O,1549172998,419897,877
O,1549172999,419073,429
O,1549172999,419100,591
O,1549173000,419296,461
O,1549173000,419256,202
O,1549173001,419447,482
O,1549173002,419698,708
O,1549173002,419313,632
O,1549173003,418905,360
O,1549173003,418642,388
O,1549173004,418731,456
O,1549173004,418734,439
O,1549173005,418765,463
O,1549173006,418661,845
O,1549173006,418546,757
O,1549173007,418090,632
O,1549173007,418514,723
O,1549173008,418555,996
O,1549173008,418198,1041
O,1549173009,418620,677
O,1549173010,418635,422
O,1549173010,418658,681
O,1549173011,418746,599
O,1549173011,418520,446
O,1549173012,418060,428
T,1549173012,2749
P,1549173023,5130
P,1549173053,5131
P,1549173082,5129
P,1549173111,5131
P,1549173141,5131
P,1549173171,5131
P,1549173201,5130
P,1549173230,5130
P,1549173260,5130
P,1549173289,5130
P,1549173318,5129
P,1549173347,5130
P,1549173377,5130
P,1549173406,5130
P,1549173436,5130
P,1549173466,5131
P,1549173495,5129
P,1549173524,5131
P,1549173553,5131
P,1549173583,5130
P,1549173612,5131
P,1549173641,5131
P,1549173671,5130
P,1549173700,5131
P,1549173730,5129
P,1549173759,5130
P,1549173789,5130
P,1549173818,5130
P,1549173847,5131
P,1549173877,5131
P,1549173906,5130
P,1549173935,5131
P,1549173964,5131
P,1549173994,5130
P,1549174024,5131
P,1549174053,5131
P,1549174083,5130
P,1549174112,5131
P,1549174141,5131
P,1549174170,5131
P,1549174200,5130
P,1549174229,5130
P,1549174258,5131
P,1549174288,5130
P,1549174318,5131
P,1549174347,5129
P,1549174376,5129
P,1549174406,5129
P,1549174435,5130
P,1549174464,5130
P,1549174494,5130
P,1549174523,5131
P,1549174552,5130
P,1549174581,5131
P,1549174612,5131
P,1549174641,5131
P,1549174670,5130
P,1549174700,5131
P,1549174729,5130
P,1549174758,5131
P,1549174787,5131
P,1549174817,5130
P,1549174846,5131
P,1549174875,5131
