H,1549644570,379760
P,1549644570,5132
P,1549644599,5135
P,1549644628,5133
P,1549644657,5133
P,1549644687,5133
P,1549644716,5133
P,1549644745,5135
P,1549644775,5133
P,1549644804,5135
P,1549644833,5134
P,1549644863,5133
P,1549644893,5134
P,1549644922,5134
P,1549644951,5134
P,1549644981,5132
P,1549645010,5132
P,1549645039,5134
P,1549645068,5134
P,1549645098,5133
P,1549645128,5132
P,1549645158,5134
P,1549645188,5134
P,1549645217,5133
P,1549645246,5134
P,1549645275,5134
P,1549645305,5134
P,1549645334,5134
P,1549645363,5134
P,1549645393,5134
P,1549645422,5134
P,1549645452,5134
P,1549645481,5134
P,1549645511,5134
P,1549645540,5134
P,1549645569,5133
P,1549645599,5133
P,1549645628,5134
P,1549645657,5134
P,1549645686,5134
P,1549645716,5133
P,1549645746,5133
P,1549645775,5133
P,1549645804,5134
P,1549645834,5132
P,1549645863,5134
P,1549645892,5133
P,1549645922,5134
P,1549645951,5133
P,1549645980,5133
P,1549646009,5135
P,1549646040,5134
P,1549646069,5134
P,1549646098,5133
P,1549646128,5134
P,1549646157,5133
P,1549646186,5133
P,1549646215,5134
P,1549646245,5135
P,1549646274,5134
P,1549646303,5134
P,1549646334,5134
P,1549646363,5134
O,1549646378,399493,2817
O,1549646379,399647,443
O,1549646379,399615,442
O,1549646380,399509,397
O,1549646380,399137,314
O,1549646381,399216,1012
O,1549646382,399363,1702
O,1549646382,399344,1840
O,1549646383,399406,942
O,1549646383,399415,878
O,1549646384,399456,433
O,1549646384,399328,353
O,1549646385,398950,283
O,1549646386,398963,642
O,1549646386,399239,650
O,1549646387,399238,481
O,1549646387,399318,636
O,1549646388,399324,283
O,1549646388,399337,471
O,1549646389,399413,1224
O,1549646389,399617,700
O,1549646390,399639,565
O,1549646391,399601,511
O,1549646391,399674,462
P,1549646392,5123
O,1549646392,399752,543
O,1549646392,399795,658
O,1549646393,399872,2677
O,1549646393,399783,1669
O,1549646394,399697,1048
O,1549646395,399791,1026
O,1549646395,399831,1020
O,1549646396,399748,1505
O,1549646396,399723,1033
O,1549646397,399706,994
O,1549646397,399762,953
O,1549646398,399814,1029
O,1549646399,399896,1152
O,1549646399,399748,1086
O,1549646400,399663,878
O,1549646400,399671,1325
O,1549646401,399594,1248
O,1549646401,399700,936
O,1549646402,399815,1094
O,1549646403,399713,1324
O,1549646403,399639,1476
O,1549646404,399379,1129
O,1549646404,399579,1688
O,1549646405,399550,1289
O,1549646405,399428,1414
O,1549646406,399296,798
O,1549646407,399045,1461
O,1549646407,398952,1162
O,1549646408,398945,1379
O,1549646408,399279,1247
O,1549646409,399443,1466
O,1549646409,399362,1356
O,1549646410,399377,921
O,1549646411,399538,1192
O,1549646411,399749,1816
O,1549646412,399579,1231
O,1549646412,399582,908
O,1549646413,399512,1293
O,1549646413,399513,1192
O,1549646414,399565,1486
O,1549646414,399655,1789
O,1549646415,399740,1327
O,1549646416,399737,1350
O,1549646416,399522,1285
O,1549646417,399613,1463
O,1549646417,399552,1261
O,1549646418,399750,1951
O,1549646418,399637,1397
O,1549646419,399603,1516
O,1549646419,399690,1420
O,1549646419,399560,1411
O,1549646420,399379,1340
O,1549646420,399065,1011
P,1549646421,5126
O,1549646421,398668,1646
O,1549646421,399067,1767
O,1549646422,399449,968
O,1549646423,399549,1529
O,1549646423,399214,1638
O,1549646424,399468,1493
O,1549646424,399386,924
O,1549646425,399209,1176
O,1549646425,399353,834
O,1549646426,399529,952
O,1549646427,399507,1276
O,1549646427,399551,1412
O,1549646428,399491,4170
O,1549646428,399267,1301
O,1549646429,399316,2062
O,1549646429,399436,1172
O,1549646430,399457,1548
O,1549646431,399542,1412
O,1549646431,399622,1179
O,1549646432,399707,1462
O,1549646432,399662,1290
O,1549646433,399624,1158
O,1549646433,399576,1608
O,1549646434,399584,1562
T,1549646434,2777
P,1549646451,5133
P,1549646480,5132
P,1549646509,5133
P,1549646539,5133
P,1549646568,5133
P,1549646597,5134
P,1549646627,5133
P,1549646657,5132
P,1549646686,5133
P,1549646715,5133
P,1549646745,5133
P,1549646774,5133
P,1549646803,5132
P,1549646832,5135
P,1549646862,5133
P,1549646891,5132
P,1549646921,5133
P,1549646951,5132
P,1549646980,5133
P,1549647009,5133
P,1549647038,5132
P,1549647068,5133
P,1549647097,5134
P,1549647126,5134
P,1549647156,5134
P,1549647185,5134
P,1549647215,5134
P,1549647244,5133
P,1549647274,5134
P,1549647303,5134
P,1549647332,5132
P,1549647362,5133
P,1549647391,5133
P,1549647420,5134
P,1549647449,5133
P,1549647479,5134
P,1549647509,5133
