H,1548432000,423920
U,1548432000,0
E,1548432000,1
P,1548432000,5204
P,1548432030,5204
P,1548432059,5205
P,1548432088,5206
P,1548432118,5204
P,1548432148,5202
P,1548432177,5204
P,1548432206,5206
P,1548432236,5205
P,1548432265,5204
P,1548432294,5205
P,1548432324,5203
P,1548432353,5202
P,1548432382,5204
P,1548432411,5206
P,1548432442,5203
P,1548432471,5205
P,1548432500,5206
P,1548432530,5204
P,1548432559,5203
P,1548432588,5204
P,1548432617,5205
P,1548432647,5205
P,1548432676,5205
P,1548432705,5205
P,1548432736,5205
P,1548432765,5205
P,1548432794,5205
P,1548432823,5205
P,1548432853,5205
P,1548432882,5205
P,1548432911,5203
P,1548432941,5204
P,1548432970,5202
P,1548432999,5205
P,1548433029,5204
P,1548433059,5206
P,1548433088,5205
P,1548433117,5203
P,1548433147,5205
P,1548433176,5205
P,1548433205,5205
O,1548433227,430982,2858
O,1548433227,431200,110
O,1548433228,431154,174
O,1548433229,431170,154
O,1548433229,431190,174
O,1548433229,431173,200
O,1548433229,431291,192
O,1548433230,431345,117
O,1548433230,431365,84
O,1548433231,431394,162
O,1548433232,431427,78
O,1548433232,431426,101
O,1548433233,431362,80
O,1548433233,431389,141
O,1548433234,431434,121
P,1548433234,5196
O,1548433234,431403,108
O,1548433235,431436,101
O,1548433236,431404,72
O,1548433236,431441,89
O,1548433237,431443,108
O,1548433237,431445,61
O,1548433238,431470,57
O,1548433238,431450,116
O,1548433239,431435,116
O,1548433239,431422,118
O,1548433240,431391,146
O,1548433241,431389,109
O,1548433241,431365,121
O,1548433242,431360,87
O,1548433242,431409,141
O,1548433243,431390,128
O,1548433243,431433,136
O,1548433244,431494,82
O,1548433245,431522,44
O,1548433245,431500,136
O,1548433246,431485,94
O,1548433246,431460,111
O,1548433247,431509,134
O,1548433247,431526,94
O,1548433248,431540,74
O,1548433249,431540,173
O,1548433249,431595,95
O,1548433250,431619,140
O,1548433250,431616,128
O,1548433251,431664,79
O,1548433251,431690,144
O,1548433252,431625,94
O,1548433253,431610,105
O,1548433253,431472,277
O,1548433254,431228,174
O,1548433254,431437,83
O,1548433255,431602,180
O,1548433255,431430,194
O,1548433256,431223,444
O,1548433256,431239,401
O,1548433257,431340,211
O,1548433258,431054,484
O,1548433258,430839,314
O,1548433259,431025,504
O,1548433259,431261,206
O,1548433260,431306,131
O,1548433260,431227,125
O,1548433261,431375,150
O,1548433262,431335,109
O,1548433262,431286,265
O,1548433263,431089,232
O,1548433263,431006,317
O,1548433264,431002,118
P,1548433264,5198
O,1548433264,431064,295
O,1548433265,430963,302
O,1548433266,430972,126
O,1548433266,431157,278
O,1548433267,430955,185
O,1548433267,430972,180
O,1548433268,430998,159
O,1548433268,431338,169
O,1548433269,431327,107
O,1548433270,431097,235
O,1548433270,431022,215
O,1548433270,431106,298
O,1548433270,431155,141
O,1548433271,431274,140
O,1548433271,431436,136
O,1548433272,431466,162
O,1548433273,431403,74
O,1548433273,431381,149
O,1548433274,431359,109
O,1548433274,431331,126
O,1548433275,431256,89
O,1548433275,431321,89
O,1548433276,431259,179
O,1548433276,431193,174
O,1548433277,431329,191
O,1548433278,431454,78
O,1548433278,431469,67
O,1548433279,431492,99
O,1548433279,431510,138
O,1548433280,431517,87
O,1548433280,431532,101
O,1548433281,431556,131
O,1548433282,431554,131
T,1548433282,2795
P,1548433293,5204
P,1548433323,5204
P,1548433352,5203
P,1548433382,5205
P,1548433411,5205
P,1548433440,5204
P,1548433470,5204
P,1548433499,5204
P,1548433528,5203
P,1548433557,5205
P,1548433587,5203
P,1548433617,5203
P,1548433646,5205
P,1548433676,5205
P,1548433705,5203
P,1548433734,5205
P,1548433763,5203
P,1548433793,5205
P,1548433822,5205
P,1548433851,5202
P,1548433881,5203
P,1548433911,5205
P,1548433940,5204
P,1548433969,5205
P,1548433999,5205
P,1548434028,5204
P,1548434057,5203
P,1548434087,5205
P,1548434116,5204
P,1548434145,5204
P,1548434174,5205
P,1548434205,5205
P,1548434234,5205
P,1548434264,5205
P,1548434294,5203
P,1548434323,5205
P,1548434352,5202
P,1548434381,5205
P,1548434411,5205
P,1548434440,5204
P,1548434469,5205
P,1548434500,5205
P,1548434529,5203
P,1548434558,5204
P,1548434587,5203
P,1548434617,5205
P,1548434646,5205
P,1548434675,5204
P,1548434705,5202
P,1548434734,5205
P,1548434763,5204
P,1548434793,5205
P,1548434823,5202
P,1548434852,5204
P,1548434881,5204
P,1548434911,5205
P,1548434940,5203
