H,1548570957,423920
P,1548570957,5178
P,1548570987,5178
P,1548571017,5179
P,1548571046,5178
P,1548571076,5178
P,1548571105,5179
P,1548571134,5175
P,1548571163,5179
P,1548571193,5178
P,1548571222,5179
P,1548571251,5177
P,1548571281,5179
P,1548571311,5179
P,1548571340,5179
P,1548571369,5177
P,1548571399,5179
P,1548571428,5178
P,1548571457,5178
P,1548571487,5178
P,1548571516,5177
P,1548571545,5179
P,1548571574,5176
P,1548571605,5175
P,1548571634,5179
P,1548571663,5176
P,1548571693,5179
P,1548571722,5177
P,1548571751,5176
P,1548571780,5178
P,1548571810,5179
P,1548571839,5178
P,1548571868,5179
P,1548571899,5179
P,1548571928,5177
P,1548571957,5178
P,1548571986,5173
P,1548572016,5179
P,1548572045,5177
P,1548572074,5179
P,1548572104,5179
P,1548572133,5179
P,1548572162,5177
P,1548572192,5179
P,1548572222,5176
P,1548572251,5178
P,1548572280,5177
P,1548572310,5177
P,1548572339,5179
P,1548572368,5178
P,1548572397,5177
P,1548572427,5178
P,1548572456,5178
P,1548572486,5178
P,1548572515,5178
P,1548572545,5178
P,1548572574,5177
P,1548572603,5179
P,1548572633,5179
P,1548572662,5178
P,1548572691,5177
P,1548572720,5174
P,1548572750,5178
P,1548572780,5178
P,1548572809,5176
P,1548572839,5178
P,1548572868,5177
P,1548572897,5179
P,1548572926,5178
P,1548572956,5176
O,1548572984,433687,4942
O,1548572985,429858,11966
P,1548572985,5171
O,1548572985,438969,15164
O,1548572986,440752,23105
O,1548572987,435612,26626
O,1548572987,435131,10719
O,1548572988,435514,8224
O,1548572988,431354,11932
O,1548572989,435370,10441
O,1548572989,435395,10556
O,1548572990,442725,15905
O,1548572991,442041,6193
O,1548572991,431203,5699
O,1548572992,430607,6148
O,1548572992,434292,13151
O,1548572993,438555,5820
O,1548572993,433807,14365
O,1548572994,436660,9005
O,1548572995,443382,4454
O,1548572995,435804,11061
O,1548572996,436728,9790
O,1548572996,435476,8494
O,1548572997,436284,6014
O,1548572997,434161,6183
O,1548572998,428458,10087
O,1548572999,422466,21401
O,1548572999,432628,15782
O,1548573000,455009,19528
O,1548573000,456190,9252
O,1548573001,432696,23888
O,1548573001,427154,5154
O,1548573002,424438,7647
O,1548573003,424383,4692
O,1548573003,423560,7901
O,1548573004,427732,15886
O,1548573004,428510,7607
O,1548573005,428347,17871
O,1548573005,429278,7124
O,1548573006,433158,9379
O,1548573006,428750,4244
O,1548573007,431112,10046
O,1548573007,424581,8797
O,1548573007,432901,4068
O,1548573008,428280,4110
O,1548573008,430388,6425
O,1548573009,433587,10580
O,1548573009,429405,7611
O,1548573010,429937,7219
O,1548573011,432452,10929
O,1548573011,439153,4125
O,1548573012,438605,3972
O,1548573012,436945,2988
O,1548573013,438041,5762
O,1548573013,437642,14581
O,1548573014,433551,7052
P,1548573014,5170
O,1548573015,434159,4095
O,1548573015,434451,10393
O,1548573016,427235,8667
O,1548573016,430865,6275
O,1548573017,433920,6009
O,1548573017,435574,7087
O,1548573018,435473,5609
O,1548573019,440454,2496
O,1548573019,438913,3257
O,1548573020,439303,2937
O,1548573020,440747,5710
O,1548573021,438440,6080
O,1548573021,439192,6491
O,1548573022,435024,17435
O,1548573023,431080,11653
O,1548573023,436607,2164
O,1548573024,431454,5729
O,1548573024,428903,3582
O,1548573025,429402,3393
O,1548573025,430075,4788
O,1548573026,428867,10203
O,1548573026,427881,10745
O,1548573027,432730,5399
O,1548573028,433788,5989
O,1548573028,430914,6258
O,1548573029,427521,22404
O,1548573029,429597,7453
O,1548573030,438017,6182
O,1548573030,438022,4279
O,1548573031,436404,4149
O,1548573032,434224,2993
O,1548573032,434321,2780
O,1548573033,433243,4238
O,1548573033,436868,3567
O,1548573034,435624,6042
O,1548573034,436698,3275
O,1548573035,433588,3922
O,1548573036,434922,2452
O,1548573036,433324,3629
O,1548573037,434989,2767
O,1548573037,434052,2654
O,1548573038,433617,4408
O,1548573038,433429,2512
O,1548573039,433576,2829
O,1548573040,434529,2352
O,1548573040,432586,5958
T,1548573040,2757
P,1548573044,5177
P,1548573074,5178
P,1548573103,5179
P,1548573132,5178
P,1548573162,5179
P,1548573191,5176
P,1548573220,5178
P,1548573250,5178
P,1548573280,5178
P,1548573309,5178
P,1548573338,5177
P,1548573369,5178
P,1548573398,5177
P,1548573427,5178
P,1548573457,5178
P,1548573486,5178
P,1548573515,5178
P,1548573544,5179
P,1548573574,5176
P,1548573603,5176
P,1548573632,5177
P,1548573663,5177
P,1548573692,5178
P,1548573721,5178
P,1548573750,5178
P,1548573780,5175
P,1548573809,5178
P,1548573838,5178
P,1548573868,5178
P,1548573897,5179
P,1548573926,5177
P,1548573956,5179
