1548643365,5170
P,1548643394,5170
P,1548643423,5168
P,1548643453,5168
P,1548643482,5168
P,1548643511,5170
P,1548643541,5171
P,1548643571,5169
P,1548643600,5169
P,1548643629,5170
P,1548643659,5169
P,1548643688,5170
P,1548643717,5169
P,1548643746,5169
P,1548643776,5168
P,1548643805,5167
P,1548643834,5169
P,1548643865,5169
P,1548643894,5169
P,1548643923,5169
P,1548643952,5170
P,1548643982,5169
P,1548644011,5168
P,1548644041,5169
P,1548644071,5168
P,1548644100,5170
P,1548644129,5169
P,1548644159,5169
P,1548644189,5168
P,1548644218,5169
P,1548644247,5169
P,1548644277,5170
P,1548644306,5170
O,1548644312,476614,3158
T,1548644312,2726
P,1548644335,5169
P,1548644364,5170
P,1548644394,5169
P,1548644423,5170
P,1548644453,5168
P,1548644483,5171
P,1548644512,5170
P,1548644541,5169
P,1548644570,5170
P,1548644600,5170
P,1548644629,5169
P,1548644658,5167
P,1548644688,5169
P,1548644717,5170
P,1548644747,5168
P,1548644776,5169
P,1548644806,5170
P,1548644835,5167
P,1548644864,5169
P,1548644894,5168
P,1548644923,5168
P,1548644952,5169
P,1548644981,5170
P,1548645011,5170
P,1548645041,5167
P,1548645070,5170
P,1548645100,5169
P,1548645129,5168
P,1548645158,5170
P,1548645187,5169
P,1548645217,5169
P,1548645246,5168
P,1548645275,5168
P,1548645305,5169
P,1548645335,5168
P,1548645364,5170
P,1548645393,5170
P,1548645423,5169
P,1548645452,5170
P,1548645481,5169
P,1548645510,5170
P,1548645540,5169
P,1548645569,5170
P,1548645598,5169
P,1548645629,5168
P,1548645658,5170
P,1548645687,5166
P,1548645716,5169
P,1548645746,5170
P,1548645775,5169
P,1548645804,5169
P,1548645834,5168
P,1548645863,5169
P,1548645892,5169
P,1548645922,5169
P,1548645952,5170
P,1548645981,5168
P,1548646010,5170
P,1548646040,5168
P,1548646069,5169
P,1548646098,5167
P,1548646127,5169
P,1548646157,5169
P,1548646186,5167
P,1548646216,5169
P,1548646246,5169
P,1548646275,5169
P,1548646304,5170
P,1548646333,5168
P,1548646363,5169
P,1548646392,5170
P,1548646421,5169
P,1548646451,5169
P,1548646480,5169
P,1548646510,5168
P,1548646539,5169
P,1548646569,5169
P,1548646598,5169
P,1548646627,5169
P,1548646657,5168
P,1548646687,5170
P,1548646716,5169
P,1548646745,5170
P,1548646775,5169
P,1548646805,5169
P,1548646834,5169
P,1548646864,5167
P,1548646893,5169
P,1548646922,5169
P,1548646951,5168
P,1548646981,5170
P,1548647010,5170
P,1548647039,5170
P,1548647069,5169
P,1548647099,5169
P,1548647128,5167
P,1548647157,5168
P,1548647187,5168
P,1548647216,5168
P,1548647245,5169
P,1548647274,5167
P,1548647304,5168
P,1548647333,5166
P,1548647362,5168
P,1548647393,5168
P,1548647422,5169
P,1548647451,5169
P,1548647480,5168
P,1548647510,5169
P,1548647539,5169
P,1548647568,5168
P,1548647598,5169
P,1548647627,5170
P,1548647656,5169
P,1548647686,5170
P,1548647716,5168
P,1548647745,5169
P,1548647774,5169
P,1548647804,5168
P,1548647833,5168
O,1548647837,476878,3022
T,1548647837,2724
P,1548647862,5169
P,1548647891,5169
P,1548647921,5169
P,1548647950,5168
P,1548647980,5168
P,1548648010,5169
P,1548648039,5167
P,1548648068,5169
P,1548648097,5170
P,1548648127,5168
P,1548648156,5168
P,1548648185,5169
P,1548648215,5169
P,1548648244,5170
P,1548648274,5168
P,1548648303,5168
P,1548648333,5169
P,1548648362,5168
P,1548648391,5169
P,1548648421,5167
P,1548648450,5167
P,1548648479,5167
P,1548648508,5167
P,1548648538,5166
P,1548648568,5168
P,1548648597,5170
P,1548648627,5170
P,1548648656,5169
P,1548648685,5168
P,1548648714,5169
P,1548648744,5169
P,1548648773,5169
P,1548648802,5167
P,1548648832,5168
P,1548648862,5169
P,1548648891,5169
P,1548648920,5168
P,1548648950,5161
P,1548648979,5169
P,1548649008,5168
P,1548649037,5167
P,1548649067,5169
P,1548649096,5167
P,1548649125,5169
P,1548649156,5168
P,1548649185,5168
P,1548649214,5167
P,1548649243,5168
P,1548649273,5169
P,1548649303,5169
P,1548649332,5168
P,1548649362,5169
P,1548649391,5169
P,1548649420,5168
P,1548649450,5169
P,1548649480,5169
P,1548649509,5169
P,1548649538,5168
P,1548649568,5169
P,1548649597,5168
P,1548649626,5169
P,1548649655,5169
P,1548649685,5168
P,1548649714,5169
P,1548649744,5169
P,1548649774,5168
P,1548649803,5169
P,1548649832,5167
P,1548649861,5168
P,1548649891,5169
P,1548649920,5168
P,1548649949,5168
P,1548649979,5169
P,1548650008,5166
P,1548650038,5167
P,1548650067,5169
P,1548650097,5167
P,1548650126,5169
P,1548650155,5169
P,1548650185,5168
P,1548650214,5167
P,1548650243,5167
P,1548650272,5169
