H,1552857734,411581
X,1552857734,470752,1137
X,1552857734,470868,1228
X,1552857735,470466,1013
X,1552857735,469693,1495
X,1552857736,470406,1417
X,1552857737,470568,2993
X,1552857737,470289,1507
X,1552857738,470120,897
X,1552857738,469590,3152
X,1552857739,468272,2355
X,1552857739,467906,3577
X,1552857740,466772,5966
X,1552857740,468729,11858
X,1552857741,470897,8798
X,1552857742,467953,4276
P,1552857742,5129
X,1552857742,468369,6106
X,1552857743,468216,5685
X,1552857743,468466,2651
X,1552857744,467404,2378
X,1552857744,467555,2598
X,1552857745,466709,7665
X,1552857746,471511,1146
X,1552857746,470760,1674
X,1552857747,468928,1577
X,1552857747,469644,1837
X,1552857748,468250,2088
X,1552857748,466548,4176
X,1552857749,465137,7441
X,1552857750,465642,7847
X,1552857750,470149,6319
X,1552857751,469994,1687
X,1552857751,469604,3309
X,1552857752,469106,5366
X,1552857752,469817,3702
X,1552857753,470482,5198
X,1552857754,464428,6011
X,1552857754,466260,10943
X,1552857755,469812,2926
X,1552857755,470074,1553
X,1552857756,469928,1314
X,1552857756,468336,6068
X,1552857757,467147,5715
X,1552857758,465556,9556
X,1552857758,470735,5146
X,1552857759,470597,1725
X,1552857759,466269,4696
X,1552857760,468022,11039
X,1552857760,467101,9641
X,1552857761,464037,11590
X,1552857761,467938,10808
X,1552857762,466339,7855
X,1552857763,468757,2998
X,1552857763,467002,3545
X,1552857764,465091,4861
X,1552857764,467877,5050
X,1552857765,465584,4431
X,1552857765,468094,6939
X,1552857766,471298,2785
X,1552857767,468292,1767
X,1552857767,469156,3171
X,1552857768,470614,2124
X,1552857768,471246,2035
X,1552857769,470986,1564
X,1552857769,470152,2505
X,1552857770,471564,1760
X,1552857771,471160,944
X,1552857771,470714,659
X,1552857771,470336,1196
P,1552857771,5133
X,1552857771,469587,1850
X,1552857772,470484,1595
X,1552857772,469471,2891
X,1552857773,466641,7707
X,1552857774,469425,2605
X,1552857774,468062,3052
X,1552857775,469291,1913
X,1552857775,469992,2358
X,1552857776,470900,1484
X,1552857776,471092,1549
X,1552857777,471411,2145
X,1552857777,470879,2129
X,1552857778,470728,2776
X,1552857779,468402,1691
X,1552857779,468045,3565
X,1552857780,470019,881
X,1552857780,466706,4882
X,1552857781,466796,7430
X,1552857781,469558,3828
X,1552857782,470535,4912
X,1552857783,469968,3988
X,1552857783,470079,3685
X,1552857784,469752,7593
X,1552857784,472015,3939
X,1552857785,472386,3195
X,1552857785,471257,3734
X,1552857786,473355,7642
X,1552857787,476712,6349
X,1552857787,469941,8130
X,1552857788,473282,3861
X,1552857788,477136,7507
X,1552857789,478151,2787
X,1552857789,473548,5870
X,1552857790,468602,4399
X,1552857791,470188,3407
X,1552857791,471182,3477
X,1552857792,472987,1866
X,1552857792,474848,1652
X,1552857793,472372,881
X,1552857793,474570,2633
X,1552857794,472485,1988
X,1552857795,471739,3367
X,1552857795,470660,1700
X,1552857796,472796,1558
X,1552857796,470894,1082
X,1552857797,470850,773
X,1552857797,471664,1511
X,1552857798,471604,2789
X,1552857798,469158,2650
X,1552857799,470253,1239
X,1552857800,468412,1697
X,1552857800,469320,1698
X,1552857801,470787,1606
P,1552857801,5134
X,1552857801,470562,1093
X,1552857802,470099,1553
X,1552857802,469640,954
X,1552857803,470479,2235
X,1552857804,471566,1819
X,1552857804,471598,1263
X,1552857805,470693,1190
X,1552857805,470010,1694
X,1552857806,469567,2913
X,1552857806,469529,2172
X,1552857807,469868,1093
X,1552857808,470009,2306
X,1552857808,468584,1685
X,1552857809,469118,3809
X,1552857809,467162,4966
X,1552857810,472141,4282
X,1552857810,471168,1036
X,1552857811,470735,692
X,1552857812,468495,2657
X,1552857812,467977,1013
X,1552857812,467970,1071
X,1552857812,468362,4115
X,1552857813,468768,2573
X,1552857813,468909,1407
X,1552857814,470013,1753
X,1552857815,471319,1382
X,1552857815,470393,2467
X,1552857816,469592,8543
X,1552857816,468720,2565
X,1552857817,469758,2182
X,1552857817,470393,1502
X,1552857818,474031,5288
X,1552857818,471490,2456
X,1552857819,472872,2458
X,1552857820,473259,2690
X,1552857820,475210,1153
X,1552857821,474464,1559
X,1552857821,475511,1751
X,1552857822,472480,1951
X,1552857822,472669,4453
X,1552857823,471419,1504
X,1552857824,471870,503
X,1552857824,470282,3379
X,1552857825,470661,2234
X,1552857825,470589,1728
X,1552857826,470692,1671
