8,467276,2561
X,1552863319,468709,1227
X,1552863319,470563,1041
X,1552863320,470003,661
X,1552863320,469361,5462
X,1552863321,467880,2807
X,1552863322,467411,4195
X,1552863322,465913,957
X,1552863323,466635,1616
X,1552863323,467088,2454
X,1552863324,469021,6449
X,1552863324,469035,1508
X,1552863325,468228,3237
X,1552863326,467640,1918
X,1552863326,468271,2893
X,1552863327,469797,2147
P,1552863327,5116
X,1552863327,469872,1233
X,1552863328,468864,1042
X,1552863328,468328,1818
X,1552863329,468817,1432
X,1552863329,468734,727
X,1552863330,468481,2124
X,1552863331,469670,3418
X,1552863331,468085,3413
X,1552863332,468715,2333
X,1552863332,468988,1776
X,1552863333,467721,3062
X,1552863333,467680,1701
X,1552863334,467425,1558
X,1552863335,467112,2704
X,1552863335,468432,1208
X,1552863336,468997,885
X,1552863336,468862,514
X,1552863337,468988,586
X,1552863337,468873,1237
X,1552863338,468736,626
X,1552863339,468850,1471
X,1552863339,468080,822
X,1552863340,469379,1116
X,1552863340,469849,2151
X,1552863341,469562,3210
X,1552863341,468810,2226
X,1552863342,468869,1618
X,1552863343,469464,1545
X,1552863343,469253,2807
X,1552863344,471146,2305
X,1552863344,468623,4530
X,1552863345,467215,3258
X,1552863345,470884,6208
X,1552863346,471581,4063
X,1552863346,469686,6424
X,1552863347,469907,835
X,1552863348,467675,3242
X,1552863348,468397,4119
X,1552863349,466551,1959
X,1552863349,467323,860
X,1552863349,467442,1747
X,1552863349,466623,3451
X,1552863350,466957,1159
X,1552863351,468206,2267
X,1552863351,466652,1778
X,1552863352,467476,1893
X,1552863352,469173,4524
X,1552863353,467343,895
X,1552863353,466618,1224
X,1552863354,466962,1999
X,1552863355,467257,1650
X,1552863355,467758,1215
X,1552863356,468382,1305
P,1552863356,5115
X,1552863356,469900,859
X,1552863357,469732,629
A,1552863357,468639,4557
T,1552863357,2754
U,1552863357,64566
X,1552863359,466947,1859
X,1552863359,467871,1972
X,1552863360,465154,7375
X,1552863361,465799,847
X,1552863361,466257,2083
X,1552863362,466625,1903
X,1552863362,466278,2018
X,1552863363,466322,1327
X,1552863363,467161,2115
X,1552863364,467372,1012
X,1552863364,468943,1236
X,1552863365,470078,950
X,1552863366,470706,1680
X,1552863366,469805,3115
X,1552863367,468926,1860
X,1552863367,468695,1589
X,1552863368,469200,1172
X,1552863368,468928,1085
X,1552863369,467801,1733
X,1552863370,467909,1226
X,1552863370,468781,1272
X,1552863371,469036,2327
X,1552863371,470398,2414
X,1552863372,472282,1395
X,1552863372,472275,1131
X,1552863373,475919,3723
X,1552863374,473926,5174
X,1552863374,469751,2701
X,1552863375,470647,4241
X,1552863375,468113,2262
X,1552863376,465160,3021
X,1552863376,466057,885
X,1552863377,466460,1270
X,1552863378,467359,1003
X,1552863378,466169,1609
X,1552863379,466673,1691
X,1552863379,467477,1265
X,1552863380,466177,1858
X,1552863380,467297,2810
X,1552863381,466751,2133
X,1552863382,464914,3275
X,1552863382,465502,2916
X,1552863383,464301,1846
X,1552863383,467045,1892
X,1552863384,466616,6780
X,1552863384,464916,6387
X,1552863385,467440,1188
X,1552863385,467366,1448
X,1552863386,467482,2335
P,1552863386,5113
X,1552863387,467348,2649
X,1552863387,467109,2968
X,1552863388,465447,3679
X,1552863388,466162,2614
X,1552863389,466118,3084
X,1552863389,467151,1648
X,1552863390,469220,1836
X,1552863390,471539,4185
X,1552863390,467684,1923
X,1552863391,466262,2666
X,1552863391,467635,2089
X,1552863392,469222,3594
X,1552863392,468794,1732
X,1552863393,469416,1239
X,1552863394,467868,3358
X,1552863394,467677,1509
X,1552863395,467132,2929
X,1552863395,467520,1637
X,1552863396,467587,2330
X,1552863396,468275,2239
X,1552863397,469795,2758
X,1552863398,466210,3864
X,1552863398,467100,1909
X,1552863399,467646,2392
X,1552863399,468330,1311
X,1552863400,468502,1248
X,1552863400,468761,1611
X,1552863401,467945,1420
X,1552863401,468185,1109
X,1552863402,466287,1797
X,1552863403,464994,1799
X,1552863403,464187,3365
X,1552863404,464320,1950
X,1552863404,465972,3253
X,1552863405,466319,2250
X,1552863405,467428,3300
