H,1553618969,411581
P,1553618969,5140
P,1553618998,5139
P,1553619028,5141
P,1553619058,5140
P,1553619087,5140
P,1553619116,5138
P,1553619146,5140
P,1553619175,5140
P,1553619204,5137
P,1553619233,5140
P,1553619263,5139
P,1553619292,5139
P,1553619322,5140
P,1553619352,5140
P,1553619381,5136
P,1553619410,5140
P,1553619439,5138
P,1553619469,5140
P,1553619498,5140
P,1553619527,5138
P,1553619557,5139
P,1553619586,5140
P,1553619616,5138
P,1553619645,5139
P,1553619675,5138
P,1553619704,5140
P,1553619733,5137
P,1553619763,5138
P,1553619792,5139
P,1553619821,5141
P,1553619850,5138
P,1553619880,5140
P,1553619910,5138
P,1553619939,5140
P,1553619969,5141
P,1553619998,5139
P,1553620027,5138
P,1553620056,5140
P,1553620086,5137
P,1553620115,5139
P,1553620144,5139
P,1553620174,5139
P,1553620205,5137
P,1553620234,5141
P,1553620263,5139
P,1553620293,5138
P,1553620322,5138
P,1553620351,5137
P,1553620381,5140
P,1553620410,5140
P,1553620439,5140
P,1553620468,5140
P,1553620499,5140
O,1553620516,406748,2695
O,1553620517,407043,192
O,1553620517,406926,400
O,1553620518,406655,483
O,1553620518,406274,951
O,1553620519,406153,535
O,1553620519,406598,546
O,1553620520,406572,1211
O,1553620520,406924,414
O,1553620521,406422,761
O,1553620522,406693,328
O,1553620522,406823,288
O,1553620523,406851,487
O,1553620523,406753,549
O,1553620524,406940,418
O,1553620524,406976,147
O,1553620525,407032,138
O,1553620526,407119,156
O,1553620526,407193,92
O,1553620527,407103,176
O,1553620527,407053,288
P,1553620528,5134
O,1553620528,406823,197
O,1553620528,406537,239
O,1553620529,406282,414
O,1553620530,405985,412
O,1553620530,405884,1030
O,1553620531,406530,873
O,1553620531,406356,442
O,1553620532,406922,719
O,1553620532,407591,417
O,1553620533,407931,323
O,1553620534,408102,182
O,1553620534,407874,551
O,1553620535,407767,285
O,1553620535,407562,138
O,1553620536,407526,235
O,1553620536,407480,126
O,1553620537,407212,335
O,1553620537,406913,245
O,1553620538,406863,241
O,1553620539,406927,113
O,1553620539,406975,260
O,1553620540,406896,241
O,1553620540,406868,371
O,1553620541,406727,345
O,1553620541,406797,244
O,1553620542,406703,368
O,1553620543,406560,113
O,1553620543,406581,342
O,1553620544,406706,204
O,1553620544,406917,302
O,1553620545,406761,183
O,1553620545,406822,369
O,1553620545,406783,103
O,1553620546,406972,236
O,1553620546,407046,187
O,1553620547,407326,190
O,1553620547,407380,192
O,1553620548,407378,226
O,1553620548,407165,371
O,1553620549,406909,293
O,1553620550,406825,197
O,1553620550,406704,271
O,1553620551,407191,435
O,1553620551,407173,344
O,1553620552,406473,986
O,1553620552,405816,507
O,1553620553,406151,424
O,1553620554,406518,410
O,1553620554,406841,210
O,1553620555,407015,237
O,1553620555,406976,75
O,1553620556,406452,770
O,1553620556,406110,303
P,1553620557,5131
O,1553620557,406016,735
O,1553620557,406217,434
O,1553620558,406465,669
O,1553620559,405989,956
O,1553620559,406326,533
O,1553620560,406701,850
O,1553620560,406987,1354
O,1553620561,406853,689
O,1553620561,406033,775
O,1553620562,406402,322
O,1553620563,406378,763
O,1553620563,406996,452
O,1553620564,406526,1108
O,1553620564,406421,855
O,1553620565,406798,236
O,1553620565,406883,188
O,1553620566,406832,158
O,1553620567,406811,266
O,1553620567,406883,199
O,1553620568,406991,280
O,1553620568,406900,350
O,1553620569,406892,279
O,1553620569,407120,227
O,1553620570,407150,125
O,1553620571,406787,426
O,1553620571,406588,226
O,1553620572,405795,1299
T,1553620572,2854
P,1553620586,5139
P,1553620616,5140
P,1553620645,5138
P,1553620674,5134
P,1553620704,5140
P,1553620733,5140
P,1553620762,5140
P,1553620792,5139
P,1553620822,5140
P,1553620851,5138
P,1553620880,5140
P,1553620910,5140
P,1553620939,5139
P,1553620968,5140
P,1553620997,5140
P,1553621027,5137
P,1553621056,5140
P,1553621086,5139
P,1553621116,5139
P,1553621145,5138
P,1553621174,5140
P,1553621203,5140
P,1553621233,5140
P,1553621262,5140
P,1553621291,5138
P,1553621321,5140
P,1553621350,5140
P,1553621380,5139
P,1553621409,5140
P,1553621439,5138
P,1553621468,5139
P,1553621497,5140
P,1553621527,5140
P,1553621556,5140
P,1553621585,5140
P,1553621614,5138
P,1553621644,5139
P,1553621674,5141
P,1553621703,5138
P,1553621733,5137
P,1553621762,5139
P,1553621791,5140
P,1553621820,5140
P,1553621850,5138
P,1553621879,5140
P,1553621908,5140
