H,1554703895,411581
D,1554703895,433152
D,1554703897,436992
D,1554703899,433920
D,1554703901,432128
D,1554703904,433920
D,1554703905,435456
D,1554703907,434688
D,1554703909,433152
D,1554703911,435200
D,1554703914,434176
D,1554703916,434688
D,1554703918,434688
P,1554703918,5102
D,1554703920,434176
D,1554703922,434176
D,1554703925,432640
D,1554703927,433664
D,1554703929,434944
D,1554703931,433920
D,1554703933,440320
D,1554703936,435968
D,1554703938,433152
D,1554703940,437504
D,1554703942,433920
D,1554703944,434944
D,1554703946,434944
P,1554703948,5103
D,1554703948,434432
D,1554703950,433152
D,1554703952,434944
D,1554703954,436992
D,1554703957,435968
D,1554703959,436224
D,1554703961,434944
D,1554703963,434688
D,1554703965,436224
D,1554703968,434944
D,1554703970,435456
P,1554703978,5101
P,1554704007,5102
P,1554704036,5103
P,1554704066,5101
P,1554704095,5100
P,1554704124,5101
P,1554704153,5104
P,1554704183,5103
P,1554704212,5101
P,1554704242,5104
P,1554704272,5101
P,1554704301,5103
P,1554704330,5104
P,1554704359,5101
P,1554704389,5104
P,1554704418,5103
P,1554704447,5104
P,1554704477,5101
O,1554704498,434882,2941
O,1554704498,435223,252
O,1554704499,435883,767
O,1554704499,435919,1007
O,1554704500,436335,1730
O,1554704500,435738,503
O,1554704501,436342,796
O,1554704502,436712,626
O,1554704502,435861,464
O,1554704503,435880,747
O,1554704503,435957,993
O,1554704504,435791,823
O,1554704504,435981,648
O,1554704505,435831,820
O,1554704506,435859,761
O,1554704506,435966,451
P,1554704506,5097
O,1554704507,435757,882
O,1554704507,436151,902
O,1554704508,435684,652
O,1554704508,434911,424
O,1554704509,435114,403
O,1554704510,435520,905
O,1554704510,436184,469
O,1554704511,436666,1252
O,1554704511,437043,1234
O,1554704512,436470,748
O,1554704512,436520,516
O,1554704513,435135,1051
O,1554704514,436072,1313
O,1554704514,436620,1046
O,1554704515,437257,1249
O,1554704515,437277,954
O,1554704516,436639,962
O,1554704516,434836,1268
O,1554704517,434916,1400
O,1554704518,435139,880
O,1554704518,435427,339
O,1554704519,435506,1272
O,1554704519,434358,2123
O,1554704519,435939,927
O,1554704519,435803,551
O,1554704520,436233,918
O,1554704520,436457,583
O,1554704521,435841,2806
O,1554704522,437716,1447
O,1554704522,437455,1572
O,1554704523,436505,1206
O,1554704523,436029,1460
O,1554704524,437196,1790
O,1554704524,436290,1393
O,1554704525,435570,477
O,1554704526,435398,367
O,1554704526,435409,554
O,1554704527,435409,798
O,1554704527,435314,504
O,1554704528,436300,1002
O,1554704528,437118,892
O,1554704529,436890,651
O,1554704530,436517,1317
O,1554704530,435670,562
O,1554704531,435661,392
O,1554704531,436212,1104
O,1554704532,436839,1324
O,1554704532,436508,944
O,1554704533,437230,1080
O,1554704534,437459,1663
O,1554704534,436917,927
O,1554704535,437902,1508
O,1554704535,438664,962
P,1554704536,5094
O,1554704536,438918,473
O,1554704536,438162,514
O,1554704537,437370,600
O,1554704538,436787,418
O,1554704538,436785,222
O,1554704539,436870,197
O,1554704539,436691,243
O,1554704540,436872,217
O,1554704540,436547,360
O,1554704541,436230,1916
O,1554704541,434703,1205
O,1554704542,436244,2567
O,1554704543,436274,1864
O,1554704543,435363,524
O,1554704544,435289,539
O,1554704544,435913,1299
O,1554704545,436083,581
O,1554704545,435959,702
O,1554704546,436754,668
O,1554704547,436969,670
O,1554704547,435622,543
O,1554704548,435552,222
O,1554704548,436258,1259
O,1554704549,436053,671
O,1554704549,436360,305
O,1554704550,436299,559
O,1554704551,436113,307
O,1554704551,436174,344
O,1554704552,436095,475
O,1554704552,436348,679
O,1554704553,436562,782
O,1554704553,435925,508
T,1554704554,2781
P,1554704565,5104
P,1554704595,5101
P,1554704624,5103
D,1554704651,457216
P,1554704653,5104
D,1554704653,423168
D,1554704664,432640
D,1554704667,432640
D,1554704669,433408
D,1554704671,431360
D,1554704673,430592
D,1554704675,432128
D,1554704678,431360
D,1554704680,432128
D,1554704682,430592
P,1554704683,5102
D,1554704683,431104
D,1554704685,431104
D,1554704688,431360
D,1554704690,431360
D,1554704692,432128
D,1554704694,434944
D,1554704696,433664
D,1554704699,434432
D,1554704701,434176
D,1554704703,434176
D,1554704705,433664
D,1554704707,433920
D,1554704710,434176
D,1554704712,433152
P,1554704712,5102
D,1554704714,434432
D,1554704716,435456
D,1554704718,434432
D,1554704721,434432
D,1554704723,434944
D,1554704724,433664
D,1554704726,434176
D,1554704728,434176
D,1554704731,433664
D,1554704733,434176
D,1554704735,434176
D,1554704737,433920
