H,1559853320,278906
P,1559853320,5230
P,1559853349,5230
P,1559853378,5231
P,1559853408,5230
P,1559853437,5230
P,1559853466,5229
P,1559853496,5231
P,1559853525,5231
P,1559853554,5231
P,1559853583,5230
P,1559853614,5229
P,1559853643,5229
P,1559853672,5230
P,1559853702,5229
P,1559853731,5230
P,1559853760,5231
P,1559853789,5230
P,1559853819,5229
P,1559853848,5230
P,1559853877,5229
P,1559853908,5231
P,1559853937,5231
P,1559853966,5231
P,1559853995,5230
P,1559854025,5228
P,1559854055,5230
P,1559854084,5228
P,1559854114,5230
P,1559854143,5231
P,1559854172,5227
P,1559854202,5229
P,1559854232,5231
D,1559854243,421376
D,1559854245,421376
D,1559854247,424704
D,1559854250,419840
D,1559854252,426496
D,1559854254,422656
P,1559854261,5229
P,1559854290,5229
P,1559854320,5229
P,1559854349,5229
P,1559854378,5230
O,1559854404,295562,2042
O,1559854405,295127,921
O,1559854405,294602,1232
O,1559854406,295055,481
O,1559854406,294973,541
O,1559854407,295197,573
P,1559854407,5221
O,1559854408,295221,293
O,1559854408,295134,215
O,1559854409,295233,328
O,1559854409,295472,180
O,1559854410,295333,270
O,1559854410,295445,284
O,1559854411,295443,333
O,1559854412,295209,259
O,1559854412,294905,877
O,1559854413,294652,757
O,1559854413,295079,370
O,1559854414,295245,321
O,1559854414,295209,482
O,1559854415,295081,409
O,1559854415,295303,225
O,1559854416,295167,343
O,1559854417,295151,447
O,1559854417,294871,350
O,1559854418,295038,584
O,1559854418,295360,233
O,1559854419,295549,302
O,1559854419,295789,188
O,1559854420,295932,266
O,1559854421,295700,252
O,1559854421,295527,149
O,1559854422,295800,262
O,1559854422,295814,235
O,1559854423,295765,283
O,1559854423,296427,1265
O,1559854424,295939,1714
O,1559854425,295915,940
O,1559854425,296492,967
O,1559854426,296964,1573
O,1559854426,296601,726
O,1559854427,295604,649
O,1559854427,295421,548
O,1559854428,295654,902
O,1559854428,295480,1146
O,1559854429,296297,1956
O,1559854430,295564,568
O,1559854430,295224,255
O,1559854431,294696,810
O,1559854431,294124,880
O,1559854432,294346,997
O,1559854432,295042,502
O,1559854433,295411,288
O,1559854434,295165,610
O,1559854434,294920,682
O,1559854435,295691,739
O,1559854435,295414,379
O,1559854436,295317,212
O,1559854436,295421,373
O,1559854437,295446,260
P,1559854437,5220
O,1559854438,295519,129
O,1559854438,295465,343
O,1559854439,295407,835
O,1559854439,295668,1243
O,1559854440,295186,2374
O,1559854440,294366,947
O,1559854441,294622,1225
O,1559854442,294866,1503
O,1559854442,295398,397
O,1559854443,294692,1223
O,1559854443,294658,976
O,1559854444,295094,361
O,1559854444,295311,470
O,1559854445,295241,187
O,1559854445,295196,482
O,1559854445,295213,485
O,1559854446,295157,409
O,1559854446,295388,255
O,1559854447,294966,480
O,1559854447,294250,3284
O,1559854448,294217,1270
O,1559854448,295029,971
O,1559854449,295175,251
O,1559854450,295280,744
O,1559854450,294374,1010
O,1559854451,294440,1006
O,1559854451,294953,373
O,1559854452,295100,214
O,1559854452,295066,178
O,1559854453,295184,217
O,1559854454,295395,186
O,1559854454,295391,114
O,1559854455,295520,105
O,1559854455,295559,169
O,1559854456,295531,103
O,1559854456,295280,309
O,1559854457,295374,153
O,1559854457,295270,370
O,1559854458,295115,415
O,1559854459,295023,745
O,1559854459,295087,1466
O,1559854460,295107,937
T,1559854460,2856
P,1559854466,5229
P,1559854496,5230
P,1559854526,5229
P,1559854555,5229
P,1559854584,5228
P,1559854613,5229
P,1559854643,5229
P,1559854672,5228
P,1559854701,5230
P,1559854731,5229
P,1559854760,5230
P,1559854790,5228
P,1559854819,5230
P,1559854849,5230
P,1559854878,5230
P,1559854907,5229
P,1559854937,5230
P,1559854966,5230
P,1559854995,5230
P,1559855024,5228
P,1559855054,5229
P,1559855084,5229
P,1559855113,5229
P,1559855142,5229
P,1559855172,5229
P,1559855201,5229
P,1559855230,5230
P,1559855260,5229
P,1559855289,5229
P,1559855318,5230
P,1559855347,5230
P,1559855378,5229
P,1559855407,5230
P,1559855436,5229
P,1559855466,5228
P,1559855495,5228
P,1559855524,5229
P,1559855553,5230
P,1559855583,5229
P,1559855612,5230
P,1559855641,5229
P,1559855672,5230
P,1559855701,5230
P,1559855730,5230
P,1559855759,5229
P,1559855789,5230
P,1559855818,5229
P,1559855847,5230
P,1559855877,5230
P,1559855906,5230
P,1559855935,5229
P,1559855965,5229
P,1559855995,5229
P,1559856024,5229
P,1559856053,5229
P,1559856083,5229
P,1559856112,5230
