H,1561774785,278906
P,1561774785,5172
P,1561774814,5172
P,1561774843,5173
P,1561774872,5173
P,1561774902,5173
P,1561774931,5172
P,1561774960,5173
P,1561774990,5173
P,1561775019,5172
P,1561775048,5173
P,1561775078,5174
P,1561775108,5173
P,1561775137,5173
P,1561775166,5173
P,1561775195,5171
P,1561775225,5173
P,1561775254,5173
P,1561775283,5173
P,1561775313,5173
P,1561775342,5173
P,1561775372,5173
P,1561775401,5174
P,1561775431,5171
P,1561775460,5173
P,1561775489,5173
P,1561775519,5173
P,1561775548,5173
P,1561775577,5173
P,1561775606,5173
P,1561775636,5174
P,1561775666,5172
P,1561775695,5173
P,1561775725,5172
P,1561775754,5172
P,1561775783,5172
P,1561775812,5171
P,1561775842,5172
P,1561775871,5172
P,1561775900,5172
P,1561775930,5173
P,1561775960,5172
P,1561775990,5173
P,1561776019,5173
P,1561776049,5172
P,1561776078,5173
P,1561776107,5173
P,1561776137,5173
P,1561776166,5173
P,1561776195,5174
P,1561776224,5173
P,1561776255,5172
P,1561776284,5155
P,1561776313,5173
P,1561776343,5173
P,1561776372,5173
P,1561776401,5173
P,1561776430,5173
P,1561776460,5172
P,1561776489,5171
P,1561776518,5171
P,1561776549,5171
P,1561776578,5173
P,1561776607,5173
P,1561776636,5172
P,1561776666,5174
O,1561776695,291331,2103
P,1561776695,5167
O,1561776696,291464,151
O,1561776696,291632,171
O,1561776697,291537,84
O,1561776697,291870,530
O,1561776698,292304,671
O,1561776698,292184,626
O,1561776699,292020,283
O,1561776700,292165,415
O,1561776700,291891,435
O,1561776701,291742,239
O,1561776701,292123,725
O,1561776702,292448,364
O,1561776702,292299,349
O,1561776703,292086,405
O,1561776703,291774,1528
O,1561776704,291617,523
O,1561776705,291450,913
O,1561776705,291395,798
O,1561776706,291625,641
O,1561776706,291768,290
O,1561776707,291963,352
O,1561776707,292261,964
O,1561776708,292102,1063
O,1561776709,292296,569
O,1561776709,291872,513
O,1561776710,291553,275
O,1561776710,291445,289
O,1561776711,291401,267
O,1561776711,291339,196
O,1561776712,291315,123
O,1561776713,291345,197
O,1561776713,291331,120
O,1561776713,291303,294
O,1561776713,291496,697
O,1561776714,291662,343
O,1561776714,291698,417
O,1561776715,291790,354
O,1561776715,291963,385
O,1561776716,291749,162
O,1561776717,291622,229
O,1561776717,291706,122
O,1561776718,291931,232
O,1561776718,292180,178
O,1561776719,292294,222
O,1561776719,292220,315
O,1561776720,291803,208
O,1561776721,291692,89
O,1561776721,291744,85
O,1561776722,291737,94
O,1561776722,291667,84
O,1561776723,291613,106
O,1561776723,291804,220
O,1561776724,291904,162
P,1561776724,5164
O,1561776725,292007,157
O,1561776725,292013,88
O,1561776726,292065,184
O,1561776726,292114,216
O,1561776727,291995,79
O,1561776727,291915,133
O,1561776728,291860,1022
O,1561776729,291919,394
O,1561776729,292096,346
O,1561776730,292011,129
O,1561776730,292027,250
O,1561776731,291943,81
O,1561776731,291904,133
O,1561776732,291897,146
O,1561776732,291850,65
O,1561776733,291854,85
O,1561776734,291829,76
O,1561776734,291820,86
O,1561776735,291856,171
O,1561776735,291899,86
O,1561776736,291892,42
O,1561776736,291903,143
O,1561776737,291916,126
O,1561776738,291910,104
O,1561776738,291916,91
O,1561776739,291950,69
O,1561776739,291973,107
O,1561776740,291978,115
O,1561776740,291947,203
O,1561776741,291961,127
O,1561776742,291978,74
O,1561776742,291928,83
O,1561776743,291934,121
O,1561776743,291922,126
O,1561776744,291904,73
O,1561776744,291907,109
O,1561776745,291905,104
O,1561776745,291933,92
O,1561776746,291924,124
O,1561776747,291894,151
O,1561776747,291894,77
O,1561776748,291886,73
O,1561776748,291864,130
O,1561776749,291908,122
O,1561776749,291973,133
O,1561776750,291901,416
O,1561776751,291974,146
T,1561776751,2924
P,1561776754,5172
P,1561776783,5172
P,1561776812,5173
P,1561776842,5173
P,1561776872,5172
P,1561776901,5172
P,1561776930,5172
P,1561776959,5173
P,1561776989,5171
P,1561777018,5173
P,1561777047,5173
P,1561777077,5172
P,1561777106,5172
P,1561777136,5171
P,1561777165,5173
P,1561777195,5173
P,1561777224,5173
P,1561777253,5172
P,1561777283,5173
P,1561777312,5172
P,1561777341,5173
P,1561777370,5173
P,1561777400,5171
P,1561777430,5171
P,1561777459,5172
P,1561777489,5173
P,1561777518,5173
P,1561777547,5171
P,1561777576,5172
P,1561777606,5173
P,1561777635,5173
P,1561777664,5171
P,1561777694,5172
P,1561777724,5172
