H,1564850969,278906
P,1564850969,5060
P,1564850998,5068
P,1564851028,5068
P,1564851057,5068
P,1564851086,5069
P,1564851115,5068
P,1564851146,5068
P,1564851175,5066
P,1564851204,5067
P,1564851234,5068
P,1564851263,5069
P,1564851292,5068
P,1564851321,5069
P,1564851351,5067
P,1564851380,5066
P,1564851409,5067
P,1564851440,5068
P,1564851469,5069
P,1564851498,5067
P,1564851527,5068
P,1564851557,5068
P,1564851586,5069
P,1564851615,5067
P,1564851645,5069
P,1564851674,5067
P,1564851703,5059
P,1564851733,5067
P,1564851763,5067
P,1564851792,5069
P,1564851821,5068
P,1564851851,5067
P,1564851880,5069
P,1564851909,5068
P,1564851938,5067
P,1564851968,5068
P,1564851997,5067
P,1564852027,5067
P,1564852057,5068
P,1564852086,5068
P,1564852115,5068
P,1564852144,5067
P,1564852174,5069
O,1564852185,270160,1604
O,1564852186,270358,296
O,1564852186,270322,194
O,1564852187,270301,134
O,1564852187,270344,305
O,1564852188,270237,550
O,1564852188,270340,162
O,1564852189,270482,300
O,1564852189,270590,233
O,1564852190,270419,287
O,1564852191,270268,378
O,1564852191,269986,364
O,1564852192,269787,406
O,1564852192,269807,617
O,1564852193,269022,865
O,1564852193,269268,1648
O,1564852194,269158,793
O,1564852195,269216,1489
O,1564852195,269764,656
O,1564852196,269236,979
O,1564852196,269923,385
O,1564852197,270062,1632
O,1564852197,269029,1245
O,1564852198,268846,1034
O,1564852199,269314,716
O,1564852199,269553,522
O,1564852200,269972,1062
O,1564852200,269637,681
O,1564852201,270070,403
O,1564852201,270208,473
O,1564852202,270387,234
O,1564852203,270514,164
O,1564852203,270252,702
P,1564852203,5058
O,1564852204,270297,263
O,1564852204,270472,397
O,1564852205,270148,632
O,1564852205,270314,381
O,1564852206,270421,321
O,1564852206,269378,3764
O,1564852207,269914,457
O,1564852208,270318,756
O,1564852208,270477,213
O,1564852209,270483,233
O,1564852209,270287,237
O,1564852210,270364,1039
O,1564852210,270050,704
O,1564852211,269556,1063
O,1564852212,269410,3484
O,1564852212,269966,634
O,1564852213,269765,1425
O,1564852213,269924,645
O,1564852214,269163,1041
O,1564852214,269343,2547
O,1564852215,269638,1362
O,1564852216,269673,685
O,1564852216,269286,1266
O,1564852217,268804,1439
O,1564852217,268718,1778
O,1564852218,268229,1827
O,1564852218,268873,2074
O,1564852219,268926,2851
O,1564852219,268949,1045
O,1564852220,268391,2212
O,1564852221,268134,1455
O,1564852221,268582,609
O,1564852221,268557,1102
O,1564852221,268748,744
O,1564852222,269005,1160
O,1564852222,268634,554
O,1564852223,268831,431
O,1564852224,269044,901
O,1564852224,269390,392
O,1564852225,269490,735
O,1564852225,269493,723
O,1564852226,270027,440
O,1564852226,270075,186
O,1564852227,270180,138
O,1564852228,270035,462
O,1564852228,270046,803
O,1564852229,269608,1137
O,1564852229,269933,241
O,1564852230,269774,331
O,1564852230,269946,486
O,1564852231,270300,214
O,1564852232,270383,139
O,1564852232,270328,320
P,1564852232,5060
O,1564852233,270382,368
O,1564852233,270409,285
O,1564852234,270307,175
O,1564852234,270390,211
O,1564852235,270377,293
O,1564852235,270326,659
O,1564852236,269952,156
O,1564852237,269914,280
O,1564852237,269764,207
O,1564852238,269975,249
O,1564852238,269916,245
O,1564852239,270120,143
O,1564852239,270143,310
O,1564852240,269904,603
O,1564852241,269919,405
T,1564852241,2988
P,1564852262,5068
P,1564852291,5068
P,1564852321,5067
P,1564852350,5067
P,1564852380,5068
P,1564852409,5067
P,1564852438,5067
P,1564852467,5068
P,1564852497,5068
P,1564852526,5068
P,1564852555,5067
P,1564852585,5067
P,1564852615,5069
P,1564852644,5068
P,1564852673,5067
P,1564852703,5068
P,1564852732,5067
P,1564852761,5068
P,1564852791,5067
P,1564852820,5068
P,1564852849,5067
P,1564852878,5068
P,1564852909,5068
P,1564852938,5067
P,1564852967,5068
P,1564852997,5067
P,1564853026,5068
P,1564853055,5067
P,1564853084,5068
P,1564853114,5068
P,1564853143,5069
P,1564853172,5067
P,1564853203,5068
P,1564853232,5067
P,1564853262,5068
P,1564853291,5068
P,1564853321,5068
P,1564853350,5068
P,1564853379,5068
P,1564853409,5069
P,1564853438,5068
P,1564853467,5069
P,1564853497,5068
P,1564853527,5068
P,1564853556,5066
P,1564853585,5068
P,1564853615,5067
P,1564853644,5067
P,1564853673,5068
P,1564853702,5069
P,1564853732,5069
P,1564853761,5068
P,1564853791,5069
P,1564853821,5068
P,1564853850,5069
P,1564853879,5068
P,1564853908,5068
