H,1565044276,278906
X,1565044276,625568,1090
X,1565044277,625760,1193
X,1565044277,625709,1305
X,1565044278,625853,1207
X,1565044279,625859,740
X,1565044279,625792,1220
X,1565044280,625686,1637
X,1565044280,625876,1071
X,1565044280,625936,870
X,1565044280,625788,961
X,1565044281,625849,1103
X,1565044282,626053,978
X,1565044282,626169,2442
X,1565044283,625905,4638
X,1565044283,626211,803
X,1565044284,625941,1101
X,1565044284,625693,915
X,1565044285,625663,942
X,1565044286,625873,1017
X,1565044286,626159,1121
P,1565044286,5012
X,1565044287,625777,3662
X,1565044287,626648,2392
X,1565044288,626009,1111
X,1565044288,626279,1286
X,1565044289,626129,893
X,1565044289,625995,4138
X,1565044290,626129,1501
X,1565044291,625883,18288
X,1565044291,626011,13957
X,1565044292,625802,2307
X,1565044292,625526,1490
X,1565044293,625582,1174
X,1565044293,625595,1267
X,1565044294,625735,1309
X,1565044295,625834,2896
X,1565044295,625615,2175
X,1565044296,625778,841
X,1565044296,625751,611
X,1565044297,625674,1120
X,1565044297,626048,873
X,1565044298,626134,1411
X,1565044299,625936,1284
X,1565044299,625951,1375
X,1565044300,625920,3382
X,1565044300,626143,1428
X,1565044301,626143,1275
X,1565044301,625962,983
X,1565044302,626183,1067
X,1565044302,626089,997
X,1565044303,625883,1652
X,1565044304,626008,1631
X,1565044304,626050,958
X,1565044305,626151,922
X,1565044305,626050,989
X,1565044306,626169,3656
X,1565044306,625741,20005
X,1565044307,626727,19232
X,1565044308,623147,15714
X,1565044308,626243,15444
X,1565044309,625403,14797
X,1565044309,625909,10332
X,1565044310,625799,2991
X,1565044310,625355,1587
X,1565044311,625709,1448
X,1565044312,625863,3612
X,1565044312,625066,2573
X,1565044313,625738,21470
X,1565044313,625159,8410
X,1565044314,625556,6332
X,1565044314,625719,1174
X,1565044315,625720,1332
X,1565044316,625867,995
X,1565044316,625917,1018
P,1565044316,5044
X,1565044317,625430,2914
X,1565044317,626230,18418
X,1565044318,625650,13709
X,1565044318,625943,4901
X,1565044319,625705,1497
X,1565044319,625604,9540
X,1565044320,625255,1077
X,1565044321,625505,11166
X,1565044321,626102,20410
X,1565044321,625180,27488
X,1565044321,626598,27416
X,1565044322,625247,15722
X,1565044322,625804,21777
X,1565044323,625837,21006
X,1565044324,626393,19576
X,1565044324,626048,16497
X,1565044325,624805,15387
X,1565044325,625563,12975
X,1565044326,624695,21381
X,1565044326,625224,17153
X,1565044327,625564,14698
X,1565044328,625027,10446
X,1565044328,626433,15506
X,1565044329,625605,15616
X,1565044329,626018,17157
X,1565044330,625752,9467
X,1565044330,626046,13241
X,1565044331,626992,9754
X,1565044332,625155,19339
X,1565044332,626014,2262
X,1565044333,625931,1074
X,1565044333,625828,2600
X,1565044334,625750,1360
X,1565044334,625835,1513
X,1565044335,625851,1091
X,1565044335,625480,2130
X,1565044336,625589,1860
X,1565044337,625596,1826
X,1565044337,625559,2379
X,1565044338,625362,2520
X,1565044338,625928,2498
X,1565044339,625651,19136
X,1565044339,625710,2306
X,1565044340,625507,25644
X,1565044341,625759,2589
X,1565044341,626293,1417
X,1565044342,626118,1317
X,1565044342,625812,1343
X,1565044343,626667,2940
X,1565044343,626216,2365
X,1565044344,626272,1176
X,1565044345,625963,1271
X,1565044345,625988,1047
P,1565044346,5044
X,1565044346,625788,1210
X,1565044346,626256,19721
X,1565044347,626500,18990
X,1565044347,626331,2225
X,1565044348,625839,12258
X,1565044348,625932,2399
X,1565044349,625477,5940
X,1565044350,625548,9632
X,1565044350,625525,1740
X,1565044351,625943,1118
X,1565044351,625934,1432
X,1565044352,625928,1299
X,1565044352,625900,1527
X,1565044353,625871,980
A,1565044353,625941,548
T,1565044353,2967
R,1565044353,700D9B73C
X,1565044355,626281,1203
X,1565044356,626119,1028
X,1565044356,625591,3567
X,1565044357,626210,2192
X,1565044357,626045,855
X,1565044358,625886,1316
X,1565044358,626021,789
X,1565044359,625984,688
X,1565044360,625961,1183
X,1565044360,625882,2607
X,1565044361,626073,1505
X,1565044361,626233,2229
X,1565044362,626303,1276
X,1565044362,626109,1020
X,1565044362,626202,929
X,1565044362,626262,2211
X,1565044363,626119,1082
X,1565044364,625897,1339
X,1565044364,625791,917
X,1565044365,625662,829
X,1565044365,625546,1834
X,1565044366,625665,1244
X,1565044366,625522,1968
X,1565044367,625851,1304
X,1565044368,625690,930
X,1565044368,625731,1489
