H,1565472235,278906
T,1565472235,2937
U,1565472235,0
X,1565472236,634360,657
X,1565472237,634446,1288
X,1565472237,634373,983
X,1565472238,634469,750
X,1565472239,634441,947
X,1565472239,634361,803
X,1565472240,634525,1785
X,1565472240,634480,1095
X,1565472241,635344,10560
X,1565472241,633898,5987
X,1565472242,634133,14877
X,1565472243,634495,1178
X,1565472243,634469,1184
X,1565472244,634296,701
X,1565472244,634396,788
X,1565472245,634465,1909
X,1565472245,634413,514
X,1565472246,634255,19231
X,1565472247,633892,9777
X,1565472247,633923,4564
X,1565472248,634276,1362
X,1565472248,634195,752
X,1565472249,634137,921
X,1565472249,634435,789
X,1565472250,634400,1111
X,1565472251,634305,741
X,1565472251,634367,606
X,1565472252,634380,813
X,1565472252,634397,766
X,1565472253,634464,719
X,1565472253,634553,939
X,1565472254,634599,6891
X,1565472254,634529,1070
X,1565472255,634378,4005
X,1565472256,634498,24191
X,1565472256,633678,6658
X,1565472257,634258,4579
X,1565472257,634478,1240
X,1565472258,634260,805
X,1565472258,634109,1350
X,1565472259,634584,1074
P,1565472260,5015
X,1565472260,634546,14449
X,1565472260,634207,2973
X,1565472260,634382,18464
X,1565472260,634349,1660
X,1565472261,634330,1223
X,1565472261,634403,854
X,1565472262,634054,13322
X,1565472263,635669,13972
X,1565472263,631786,10492
X,1565472264,635811,51636
X,1565472264,636290,28049
X,1565472265,636426,27079
X,1565472265,633600,24277
X,1565472266,633673,22299
X,1565472267,635656,7584
X,1565472267,634413,4265
X,1565472268,634551,2095
X,1565472268,635177,34690
X,1565472269,635101,39911
X,1565472269,635011,2225
X,1565472270,635256,9492
X,1565472270,634737,1732
X,1565472271,634565,1266
X,1565472272,634474,1694
X,1565472272,634621,1398
X,1565472273,634591,2104
X,1565472273,634474,1404
X,1565472274,634457,1045
X,1565472274,633276,11111
X,1565472275,634311,20203
X,1565472276,634822,6872
X,1565472276,634048,5889
X,1565472277,634504,19856
X,1565472277,634306,2680
X,1565472278,634235,9842
X,1565472278,634455,1517
X,1565472279,634306,952
A,1565472279,634365,416
T,1565472279,2937
U,1565472279,0
X,1565472281,634353,24201
X,1565472281,634393,17198
X,1565472282,634284,1584
X,1565472283,634468,1109
X,1565472283,634602,1412
X,1565472284,634578,1944
X,1565472284,634924,19169
X,1565472285,634802,2646
X,1565472285,634473,12597
X,1565472286,634896,1163
X,1565472287,634676,1316
X,1565472287,634623,1040
X,1565472288,634750,1453
X,1565472288,634662,1150
P,1565472289,5014
X,1565472289,634583,863
X,1565472289,634546,1065
X,1565472290,634447,1565
X,1565472291,634494,820
X,1565472291,634589,1157
X,1565472292,634625,985
X,1565472292,634600,818
X,1565472293,634507,2360
X,1565472293,634555,507
X,1565472294,634697,1605
X,1565472295,634580,980
X,1565472295,634650,1097
X,1565472296,634641,1476
X,1565472296,634672,559
X,1565472297,634715,1235
X,1565472297,634606,691
X,1565472298,634504,935
X,1565472298,634598,1073
X,1565472299,634668,624
X,1565472300,634596,536
X,1565472300,634571,1365
X,1565472301,634483,1306
X,1565472301,634871,15600
X,1565472301,634718,28386
X,1565472301,634053,13104
X,1565472302,634239,1845
X,1565472303,634292,2012
X,1565472303,634641,16828
X,1565472304,633993,17989
X,1565472304,634067,1289
X,1565472305,634153,16912
X,1565472305,634319,11421
X,1565472306,634519,7724
X,1565472307,634592,1309
X,1565472307,634637,1162
X,1565472308,634515,1010
X,1565472308,633984,13428
X,1565472309,634546,3450
X,1565472309,634430,1075
X,1565472310,634536,1883
X,1565472311,634623,1681
X,1565472311,634423,953
X,1565472312,634478,865
X,1565472312,634497,2024
X,1565472313,634416,1453
X,1565472313,633387,13992
X,1565472314,634007,8219
X,1565472314,634443,1967
X,1565472315,634395,1277
X,1565472316,634423,1493
X,1565472316,634548,1840
X,1565472317,634672,1060
X,1565472317,634571,17331
P,1565472318,5013
X,1565472318,634226,9951
X,1565472318,634244,3111
X,1565472319,634552,1274
X,1565472320,634337,18902
X,1565472320,634489,11094
X,1565472321,634590,1594
X,1565472321,634455,1269
X,1565472322,634448,925
X,1565472322,633194,6842
X,1565472323,635354,12620
X,1565472324,634581,9160
X,1565472324,634510,2707
X,1565472325,634519,2147
X,1565472325,634524,1311
X,1565472326,634461,958
X,1565472326,634413,1048
X,1565472327,634403,1312
X,1565472327,634425,1371
