H,1548434969,45499
P,1548434969,5180
P,1548434998,5179
P,1548435027,5181
P,1548435056,5179
P,1548435086,5179
P,1548435116,5179
P,1548435145,5181
P,1548435175,5181
P,1548435204,5178
P,1548435233,5182
P,1548435262,5180
P,1548435292,5180
P,1548435321,5180
P,1548435350,5179
P,1548435380,5182
P,1548435410,5177
P,1548435439,5181
P,1548435468,5179
P,1548435498,5181
P,1548435527,5180
P,1548435556,5179
P,1548435586,5179
P,1548435615,5180
P,1548435644,5178
P,1548435673,5180
P,1548435704,5179
P,1548435733,5181
P,1548435762,5181
P,1548435792,5180
P,1548435821,5179
P,1548435850,5180
P,1548435879,5179
P,1548435909,5180
P,1548435938,5179
P,1548435967,5177
P,1548435998,5180
P,1548436027,5178
P,1548436056,5180
P,1548436085,5180
P,1548436115,5181
P,1548436144,5178
P,1548436173,5181
P,1548436203,5178
P,1548436232,5178
O,1548436259,56447,406
O,1548436259,56459,121
O,1548436260,56439,125
O,1548436260,56445,137
O,1548436261,56481,323
P,1548436261,5172
O,1548436262,56521,133
O,1548436262,56497,121
O,1548436263,56433,280
O,1548436263,56473,309
O,1548436264,56540,309
O,1548436264,56524,436
O,1548436265,56512,218
O,1548436266,56505,251
O,1548436266,56471,150
O,1548436267,56541,152
O,1548436267,56455,152
O,1548436268,56483,104
O,1548436268,56457,188
O,1548436269,56510,306
O,1548436270,56505,336
O,1548436270,56531,233
O,1548436271,56560,100
O,1548436271,56536,217
O,1548436272,56633,184
O,1548436272,56541,313
O,1548436273,56497,226
O,1548436273,56510,249
O,1548436274,56491,81
O,1548436275,56417,164
O,1548436275,56354,208
O,1548436276,56478,170
O,1548436276,56493,283
O,1548436277,56457,228
O,1548436277,56505,173
O,1548436278,56501,151
O,1548436279,56494,170
O,1548436279,56521,75
O,1548436280,56562,119
O,1548436280,56548,138
O,1548436281,56591,151
O,1548436281,56614,121
O,1548436282,56574,143
O,1548436283,56645,291
O,1548436283,56628,322
O,1548436284,56638,244
O,1548436284,56562,410
O,1548436285,56576,336
O,1548436285,56641,272
O,1548436285,56496,246
O,1548436286,56434,276
O,1548436286,56401,205
O,1548436287,56443,100
O,1548436287,56383,219
O,1548436288,56395,297
O,1548436288,56333,212
O,1548436289,56386,305
O,1548436289,56490,299
O,1548436290,56512,221
P,1548436291,5170
O,1548436291,56407,138
O,1548436291,56445,99
O,1548436292,56361,266
O,1548436292,56218,74
O,1548436293,56199,121
O,1548436293,56200,176
O,1548436294,56224,224
O,1548436295,56357,250
O,1548436295,56382,325
O,1548436296,56329,160
O,1548436296,56355,240
O,1548436297,56335,549
O,1548436297,56253,175
O,1548436298,56314,133
O,1548436299,56358,281
O,1548436299,56409,265
O,1548436300,56413,172
O,1548436300,56347,170
O,1548436301,56275,166
O,1548436301,56275,335
O,1548436302,56404,152
O,1548436302,56393,250
O,1548436303,56241,271
O,1548436304,56304,164
O,1548436304,56475,348
O,1548436305,56507,126
O,1548436305,56465,96
O,1548436306,56446,160
O,1548436306,56407,78
O,1548436307,56429,140
O,1548436308,56382,190
O,1548436308,56402,228
O,1548436309,56416,280
O,1548436309,56425,447
O,1548436310,56469,404
O,1548436310,56393,222
O,1548436311,56461,215
O,1548436312,56467,139
O,1548436312,56458,259
O,1548436313,56416,240
O,1548436313,56392,145
O,1548436314,56410,130
O,1548436314,56418,146
T,1548436315,2743
P,1548436321,5180
P,1548436350,5178
P,1548436379,5178
P,1548436408,5180
P,1548436438,5178
P,1548436467,5178
P,1548436496,5180
P,1548436526,5178
P,1548436555,5180
P,1548436585,5177
P,1548436614,5177
P,1548436644,5178
P,1548436673,5180
P,1548436702,5178
P,1548436732,5178
P,1548436761,5180
P,1548436790,5176
P,1548436819,5179
P,1548436849,5180
P,1548436880,5177
P,1548436909,5179
P,1548436939,5178
P,1548436968,5178
P,1548436997,5180
P,1548437026,5180
P,1548437056,5178
P,1548437085,5179
P,1548437114,5179
P,1548437144,5178
P,1548437174,5176
P,1548437203,5180
P,1548437232,5177
P,1548437262,5179
P,1548437291,5179
P,1548437320,5178
P,1548437350,5180
P,1548437379,5178
P,1548437408,5180
P,1548437437,5178
P,1548437468,5178
P,1548437497,5177
P,1548437526,5178
P,1548437556,5179
P,1548437585,5178
P,1548437614,5180
P,1548437643,5177
P,1548437673,5177
P,1548437702,5179
P,1548437731,5178
P,1548437762,5178
P,1548437791,5177
P,1548437820,5177
P,1548437849,5179
P,1548437879,5180
P,1548437908,5179
