H,1548697138,45499
P,1548697138,5148
P,1548697168,5149
P,1548697197,5149
P,1548697227,5149
P,1548697256,5149
P,1548697285,5148
P,1548697314,5150
P,1548697344,5148
P,1548697373,5149
P,1548697402,5151
P,1548697432,5148
P,1548697462,5150
P,1548697491,5149
P,1548697520,5149
P,1548697550,5149
P,1548697579,5149
P,1548697608,5150
P,1548697637,5147
P,1548697667,5149
P,1548697696,5149
P,1548697725,5148
P,1548697756,5147
P,1548697785,5149
P,1548697814,5149
P,1548697843,5149
P,1548697873,5148
P,1548697902,5148
P,1548697931,5150
P,1548697961,5150
P,1548697990,5147
P,1548698019,5150
P,1548698049,5149
P,1548698079,5147
P,1548698108,5149
P,1548698137,5149
P,1548698167,5149
P,1548698196,5150
P,1548698225,5148
P,1548698254,5150
P,1548698284,5147
P,1548698313,5149
P,1548698343,5149
P,1548698373,5150
P,1548698402,5149
P,1548698431,5150
P,1548698460,5148
P,1548698490,5148
P,1548698519,5143
O,1548698519,64942,357
O,1548698520,64983,86
O,1548698521,64968,173
O,1548698521,64853,206
O,1548698522,64948,112
O,1548698522,65021,197
O,1548698523,65083,99
O,1548698523,64996,178
O,1548698524,64978,158
O,1548698525,64982,165
O,1548698525,64969,94
O,1548698526,64864,202
O,1548698526,64832,127
O,1548698527,64798,211
O,1548698527,64703,223
O,1548698528,64424,360
O,1548698528,64195,175
O,1548698529,64350,100
O,1548698530,64386,273
O,1548698530,64573,421
O,1548698531,64567,324
O,1548698531,64787,227
O,1548698532,64815,174
O,1548698532,64889,112
O,1548698533,64921,274
O,1548698534,64819,228
O,1548698534,64878,46
O,1548698535,64952,147
O,1548698535,64974,154
O,1548698536,64976,178
O,1548698536,64999,224
O,1548698537,64968,264
O,1548698538,64941,186
O,1548698538,64780,232
O,1548698539,64734,157
O,1548698539,64788,95
O,1548698539,64774,206
O,1548698539,64869,185
O,1548698540,64827,97
O,1548698541,64766,155
O,1548698541,64770,50
O,1548698542,64792,130
O,1548698542,64841,154
O,1548698543,64960,180
O,1548698543,64912,239
O,1548698544,64574,510
O,1548698544,64658,231
O,1548698545,64705,210
O,1548698546,64737,182
O,1548698546,64726,144
O,1548698547,64716,187
O,1548698547,64736,301
O,1548698548,64873,177
P,1548698548,5142
O,1548698548,64859,96
O,1548698549,64874,124
O,1548698550,64799,79
O,1548698550,64894,128
O,1548698551,64836,103
O,1548698551,64866,100
O,1548698552,64832,137
O,1548698552,64871,64
O,1548698553,64873,74
O,1548698554,64858,108
O,1548698554,64811,152
O,1548698555,64864,129
O,1548698555,64894,129
O,1548698556,64849,158
O,1548698556,64883,151
O,1548698557,64816,99
O,1548698557,64866,188
O,1548698558,64909,231
O,1548698559,64941,185
O,1548698559,64954,109
O,1548698560,64868,132
O,1548698560,64900,187
O,1548698561,64905,148
O,1548698561,64832,297
O,1548698562,64925,119
O,1548698563,64835,220
O,1548698563,64850,357
O,1548698564,64779,236
O,1548698564,64791,133
O,1548698565,64895,156
O,1548698565,64921,134
O,1548698566,64955,86
O,1548698567,64962,303
O,1548698567,64900,137
O,1548698568,64976,100
O,1548698568,64866,242
O,1548698569,64931,116
O,1548698569,64876,76
O,1548698570,64853,134
O,1548698571,64932,153
O,1548698571,64897,212
O,1548698572,64990,173
O,1548698572,64906,109
O,1548698573,64828,161
O,1548698573,64853,95
O,1548698574,64827,200
O,1548698574,64820,146
O,1548698575,64878,173
T,1548698575,2750
P,1548698578,5149
P,1548698607,5149
P,1548698637,5149
P,1548698666,5149
P,1548698696,5150
P,1548698725,5149
P,1548698754,5147
P,1548698784,5149
P,1548698813,5148
P,1548698842,5148
P,1548698871,5148
P,1548698901,5148
P,1548698931,5149
P,1548698960,5150
P,1548698990,5148
P,1548699019,5150
P,1548699048,5148
P,1548699078,5149
P,1548699108,5147
P,1548699137,5148
P,1548699166,5148
P,1548699196,5147
P,1548699226,5149
P,1548699255,5147
P,1548699284,5150
P,1548699314,5150
P,1548699343,5150
P,1548699372,5149
P,1548699401,5149
P,1548699431,5149
P,1548699460,5150
P,1548699489,5149
P,1548699520,5150
P,1548699549,5148
P,1548699578,5149
P,1548699607,5150
P,1548699637,5148
P,1548699666,5150
P,1548699695,5149
P,1548699725,5149
P,1548699754,5149
P,1548699783,5146
P,1548699813,5148
P,1548699843,5149
P,1548699872,5145
P,1548699901,5148
P,1548699931,5150
P,1548699960,5149
P,1548699989,5149
P,1548700018,5149
P,1548700048,5150
P,1548700077,5148
P,1548700107,5148
P,1548700137,5149
