H,1548990819,45499
P,1548990819,5135
P,1548990848,5132
P,1548990877,5131
P,1548990906,5132
P,1548990936,5135
P,1548990966,5134
P,1548990995,5133
P,1548991025,5132
P,1548991054,5133
P,1548991083,5134
P,1548991112,5133
P,1548991142,5134
P,1548991171,5134
P,1548991200,5134
P,1548991230,5134
P,1548991260,5131
P,1548991289,5134
P,1548991318,5134
P,1548991348,5133
P,1548991377,5132
P,1548991406,5131
P,1548991435,5133
P,1548991465,5132
P,1548991494,5133
P,1548991523,5131
P,1548991554,5132
P,1548991583,5133
P,1548991612,5133
P,1548991641,5134
P,1548991671,5133
P,1548991700,5132
P,1548991729,5132
P,1548991759,5133
P,1548991788,5134
P,1548991817,5133
P,1548991847,5134
P,1548991877,5133
P,1548991906,5134
P,1548991935,5133
P,1548991965,5133
P,1548991994,5134
P,1548992023,5135
P,1548992052,5134
P,1548992082,5134
P,1548992111,5134
P,1548992141,5130
P,1548992171,5135
P,1548992200,5131
P,1548992229,5133
P,1548992258,5134
P,1548992288,5134
P,1548992317,5133
P,1548992346,5133
P,1548992376,5134
P,1548992405,5134
P,1548992435,5134
P,1548992464,5132
P,1548992494,5134
P,1548992523,5134
P,1548992552,5134
P,1548992582,5133
P,1548992611,5134
P,1548992640,5134
P,1548992669,5134
P,1548992699,5133
P,1548992729,5134
P,1548992758,5134
P,1548992788,5131
P,1548992818,5135
P,1548992847,5131
P,1548992876,5132
P,1548992906,5128
O,1548992908,61703,4054
O,1548992908,62276,2434
O,1548992909,61057,1940
O,1548992909,58081,8877
O,1548992910,56187,6091
O,1548992910,59065,4336
O,1548992911,58985,3432
O,1548992912,58123,7848
O,1548992912,58393,3203
O,1548992912,60503,3716
O,1548992912,61640,5935
O,1548992913,62392,2560
O,1548992913,61922,674
O,1548992914,62272,2678
O,1548992915,58929,3807
O,1548992915,57140,2925
O,1548992916,57362,2940
O,1548992916,58676,2758
O,1548992917,57494,3676
O,1548992917,59651,4296
O,1548992918,62249,2260
O,1548992919,61827,2723
O,1548992919,62359,4160
O,1548992920,63923,3617
O,1548992920,59254,4473
O,1548992921,59818,4672
O,1548992921,59112,1734
O,1548992922,58313,5614
O,1548992923,56166,8523
O,1548992923,58670,9034
O,1548992924,62834,1451
O,1548992924,61630,3068
O,1548992925,61755,1460
O,1548992925,60167,4476
O,1548992926,59370,3286
O,1548992926,60175,4039
O,1548992927,60692,5139
O,1548992928,59154,3400
O,1548992928,56304,6482
O,1548992929,52700,4672
O,1548992929,53669,5232
O,1548992930,59621,4752
O,1548992930,62382,2762
O,1548992931,60279,7015
O,1548992932,59354,5763
O,1548992932,59989,6321
O,1548992933,58871,2527
O,1548992933,60021,4914
O,1548992934,58884,3387
O,1548992934,59082,3389
O,1548992935,59710,3778
P,1548992935,5124
O,1548992936,60861,1757
O,1548992936,62337,2843
O,1548992937,63244,2592
O,1548992937,64622,1886
O,1548992938,61337,5236
O,1548992938,59232,5188
O,1548992939,62847,2088
O,1548992940,63546,1537
O,1548992940,63106,1701
O,1548992941,62944,2841
O,1548992941,62716,2951
O,1548992942,60349,1829
O,1548992942,60641,1345
O,1548992943,62344,4309
O,1548992943,61886,4888
O,1548992944,60459,3147
O,1548992945,60549,3572
O,1548992945,59944,4062
O,1548992946,60760,1393
O,1548992946,62112,1654
O,1548992947,61602,2608
O,1548992947,60791,3218
O,1548992948,63671,3395
O,1548992949,64098,2410
O,1548992949,64841,2197
O,1548992950,65987,437
O,1548992950,65372,813
O,1548992951,65619,1922
O,1548992951,63716,2118
O,1548992952,61094,3164
O,1548992953,63155,1002
O,1548992953,63811,2565
O,1548992953,64949,832
O,1548992953,62917,3432
O,1548992954,63317,1422
O,1548992954,62835,1581
O,1548992955,63076,3812
O,1548992955,62969,3669
O,1548992956,63871,2065
O,1548992957,60391,4186
O,1548992957,61166,2078
O,1548992958,60437,2028
O,1548992958,57197,5337
O,1548992959,61130,4303
O,1548992959,64238,2943
O,1548992960,60135,2340
O,1548992961,59413,2767
O,1548992961,59593,5461
O,1548992962,58468,3675
O,1548992962,61142,3921
T,1548992962,2762
P,1548992964,5132
P,1548992994,5132
P,1548993024,5133
P,1548993053,5133
P,1548993082,5133
P,1548993112,5134
P,1548993141,5130
P,1548993170,5133
P,1548993199,5134
P,1548993229,5130
P,1548993258,5133
P,1548993287,5133
P,1548993318,5133
P,1548993347,5134
P,1548993376,5134
P,1548993405,5133
P,1548993435,5134
P,1548993464,5132
P,1548993493,5134
P,1548993523,5133
P,1548993552,5133
P,1548993581,5133
P,1548993611,5133
P,1548993641,5133
P,1548993670,5134
P,1548993699,5133
P,1548993729,5133
P,1548993758,5134
P,1548993787,5134
P,1548993816,5132
