H,1549933783,45499
X,1549933783,440392,839
X,1549933783,440256,1279
X,1549933784,440281,871
X,1549933784,440315,904
X,1549933785,440250,825
X,1549933786,440382,543
X,1549933786,440265,1374
X,1549933787,440355,704
X,1549933787,440338,670
X,1549933788,440316,1281
X,1549933788,440384,1101
X,1549933789,440353,2342
X,1549933790,440358,763
X,1549933790,440267,1441
X,1549933790,440392,1034
X,1549933790,440261,1303
X,1549933791,440522,6954
X,1549933791,440309,2175
X,1549933792,440317,763
X,1549933793,440327,1036
X,1549933793,440338,810
X,1549933794,440259,971
X,1549933794,440123,3161
X,1549933795,440511,2047
X,1549933795,440376,902
X,1549933796,440334,675
X,1549933796,440361,1167
X,1549933797,440421,770
A,1549933797,440320,171
T,1549933797,2754
U,1549933797,46945
X,1549933799,440378,1348
X,1549933800,440460,999
X,1549933800,440383,1249
X,1549933801,440446,549
X,1549933801,440237,1015
X,1549933802,440453,663
X,1549933802,440345,707
X,1549933803,440416,554
X,1549933804,440390,1117
X,1549933804,440273,1339
X,1549933805,440348,983
X,1549933805,440362,817
X,1549933806,440315,711
X,1549933806,440333,1616
X,1549933807,440351,1541
X,1549933808,440286,1633
X,1549933808,440332,874
X,1549933809,440135,908
P,1549933809,5110
X,1549933809,440404,1186
X,1549933810,440304,1117
X,1549933810,440437,1044
X,1549933811,440353,2789
X,1549933811,440404,1612
X,1549933812,440452,973
X,1549933813,440293,1166
X,1549933813,440398,610
X,1549933814,440352,760
X,1549933814,440313,563
X,1549933815,440368,1021
X,1549933815,440242,1009
X,1549933816,440329,549
X,1549933817,440281,1165
X,1549933817,440334,629
X,1549933818,440263,1860
X,1549933818,440318,397
X,1549933819,440167,1136
X,1549933819,440304,754
X,1549933820,440262,818
X,1549933821,440269,676
A,1549933821,440347,325
T,1549933821,2754
U,1549933821,46945
X,1549933823,440304,6070
X,1549933823,440406,874
X,1549933824,440203,1785
X,1549933824,440252,851
X,1549933825,440151,1120
X,1549933825,440140,1214
X,1549933826,440175,486
X,1549933826,440200,2694
X,1549933827,440191,622
X,1549933828,440387,869
X,1549933828,440354,754
X,1549933829,440246,1200
X,1549933829,440303,917
X,1549933830,440311,801
X,1549933830,440344,751
X,1549933831,440190,899
X,1549933831,440404,514
X,1549933831,440290,765
X,1549933832,440154,852
X,1549933832,440422,1663
X,1549933833,440120,1094
X,1549933833,440260,768
X,1549933834,440252,1114
X,1549933835,440285,488
X,1549933835,440273,370
X,1549933836,440203,1348
X,1549933836,440265,913
X,1549933837,440224,1133
X,1549933837,440307,604
X,1549933838,440222,541
P,1549933838,5110
X,1549933838,440136,743
A,1549933838,440275,270
T,1549933839,2754
U,1549933839,46945
X,1549933840,440075,794
X,1549933841,440107,791
X,1549933842,440222,1014
X,1549933842,440187,1379
X,1549933843,440300,991
X,1549933843,440200,821
X,1549933844,440200,1105
X,1549933844,440187,727
X,1549933845,440238,1233
X,1549933846,440216,774
X,1549933846,440074,1028
X,1549933847,440300,571
X,1549933847,440131,1851
X,1549933848,440121,1809
X,1549933848,440177,12163
X,1549933849,440318,1685
X,1549933850,440181,1209
X,1549933850,440113,799
X,1549933851,440295,931
X,1549933851,440196,599
X,1549933852,440152,912
X,1549933852,440285,941
X,1549933853,440142,1510
X,1549933853,440244,955
X,1549933854,440221,1202
X,1549933855,440238,636
X,1549933855,440126,940
X,1549933856,440370,1227
X,1549933856,440194,827
X,1549933857,440175,925
X,1549933857,440165,620
X,1549933858,440154,1172
X,1549933859,440322,1243
X,1549933859,440271,1187
X,1549933860,440272,855
X,1549933860,440226,946
A,1549933860,440203,225
T,1549933860,2754
U,1549933861,46945
X,1549933862,440342,810
X,1549933863,440144,730
X,1549933863,440225,949
X,1549933864,440243,740
X,1549933865,440368,743
X,1549933865,440258,957
X,1549933866,440179,882
X,1549933866,440304,1236
X,1549933867,440329,1671
X,1549933867,440254,1068
X,1549933868,440188,638
P,1549933868,5111
X,1549933868,440060,715
X,1549933869,440165,458
X,1549933870,440120,1314
X,1549933870,440306,628
X,1549933871,440191,879
X,1549933871,440122,1456
X,1549933872,440236,666
X,1549933872,440240,1612
X,1549933872,440189,908
X,1549933873,440154,969
X,1549933873,440250,1095
X,1549933874,440314,1022
X,1549933874,440276,749
X,1549933875,440216,1048
