H,1548543165,428173
X,1548543165,702065,548
X,1548543165,701598,1597
X,1548543166,702379,1113
X,1548543166,702386,721
X,1548543167,702625,1149
X,1548543167,702237,795
X,1548543168,701897,1386
X,1548543169,702793,1218
X,1548543169,702758,580
X,1548543170,702968,581
X,1548543170,702616,755
X,1548543171,702164,1230
X,1548543171,702782,1619
X,1548543172,702741,564
X,1548543173,702964,640
X,1548543173,702717,1049
X,1548543174,702183,1400
X,1548543174,702221,2036
X,1548543175,702282,634
X,1548543175,702388,617
X,1548543176,701995,1316
X,1548543177,701472,957
X,1548543177,701922,2441
X,1548543178,702087,672
A,1548543178,702389,1496
T,1548543178,2745
P,1548543179,5105
X,1548543179,701514,1790
X,1548543179,702425,1286
X,1548543180,702286,567
X,1548543180,702157,2008
X,1548543181,701627,1428
X,1548543182,700989,1639
X,1548543182,701560,834
X,1548543183,701601,784
X,1548543183,701916,1409
X,1548543184,700932,1222
X,1548543184,701220,2575
X,1548543185,701207,1059
X,1548543185,701049,889
X,1548543186,701741,1397
X,1548543187,701438,2018
X,1548543187,701325,3455
X,1548543188,701381,1484
X,1548543188,700955,719
X,1548543189,701470,717
X,1548543189,701347,1272
X,1548543190,700925,3538
X,1548543191,702233,803
X,1548543191,702437,618
X,1548543192,702716,1145
X,1548543192,702571,602
X,1548543193,701978,1521
X,1548543193,702788,1139
X,1548543194,702572,531
X,1548543195,702767,845
X,1548543195,702412,870
X,1548543196,701664,1596
X,1548543196,702073,1029
X,1548543197,701891,724
X,1548543197,701605,916
X,1548543198,701240,790
X,1548543199,700723,1654
X,1548543199,701805,1438
X,1548543200,701533,832
X,1548543200,701579,620
X,1548543201,700822,1170
X,1548543201,699024,1519
X,1548543202,700360,1525
X,1548543203,700819,2382
X,1548543203,701402,1086
X,1548543204,701596,1084
X,1548543204,700866,1698
X,1548543205,701182,2371
X,1548543205,700657,1208
X,1548543206,701139,1318
X,1548543207,700464,1081
X,1548543207,700252,2017
X,1548543208,700850,861
X,1548543208,701288,1156
P,1548543208,5117
X,1548543209,701377,978
X,1548543209,701443,1753
X,1548543210,700713,640
A,1548543210,701735,2054
T,1548543210,2745
X,1548543212,701690,1079
X,1548543212,701689,557
X,1548543213,700994,675
X,1548543214,701702,1603
X,1548543214,701782,778
X,1548543215,702071,580
X,1548543215,702171,1035
X,1548543216,701973,471
X,1548543216,702004,2157
X,1548543217,701873,521
X,1548543218,701899,803
X,1548543218,702046,1053
X,1548543219,701768,562
X,1548543219,701191,2152
X,1548543220,701427,643
X,1548543220,701383,998
X,1548543220,701646,1116
X,1548543221,701524,1168
X,1548543221,700232,1478
X,1548543222,701407,1472
X,1548543222,701569,708
X,1548543223,702185,1291
X,1548543223,702070,462
X,1548543224,701469,1328
X,1548543225,701730,1053
X,1548543225,701291,750
X,1548543226,701163,949
X,1548543226,700598,611
X,1548543227,700312,2101
X,1548543227,700769,2002
X,1548543228,701034,1220
X,1548543228,701938,1784
X,1548543229,701815,378
X,1548543230,701147,2033
X,1548543230,701392,1603
X,1548543231,701637,1240
X,1548543231,701825,1349
X,1548543232,701758,667
X,1548543232,701523,751
X,1548543233,701943,1950
X,1548543234,702129,809
X,1548543234,702385,410
A,1548543234,701658,1787
T,1548543234,2745
X,1548543236,702198,1453
X,1548543237,702219,616
X,1548543237,702307,677
P,1548543238,5117
X,1548543238,702042,517
X,1548543238,701417,1182
X,1548543239,702171,927
X,1548543240,702153,512
X,1548543240,702331,660
X,1548543241,702103,808
X,1548543241,701713,1306
X,1548543242,702370,1324
X,1548543242,702237,443
X,1548543243,702440,1288
X,1548543244,701970,922
X,1548543244,701481,1904
X,1548543245,702328,1415
X,1548543245,702365,558
X,1548543246,702554,850
X,1548543246,702231,1160
X,1548543247,701629,860
X,1548543247,702204,1106
X,1548543248,702324,784
X,1548543249,702552,753
X,1548543249,702176,582
X,1548543250,701940,1965
X,1548543250,702294,1593
X,1548543251,702437,480
X,1548543251,702549,973
X,1548543252,702146,699
X,1548543253,701552,1831
X,1548543253,702260,769
X,1548543254,702205,471
A,1548543254,702236,925
T,1548543254,2745
X,1548543256,701865,2070
X,1548543256,702057,564
X,1548543257,702430,582
X,1548543257,702619,648
X,1548543258,702606,800
X,1548543259,702219,838
X,1548543259,702604,869
