H,1548780569,428173
P,1548780569,5130
P,1548780598,5130
P,1548780627,5129
P,1548780657,5131
P,1548780687,5131
P,1548780716,5129
P,1548780745,5131
P,1548780775,5131
P,1548780804,5131
P,1548780833,5130
P,1548780863,5131
P,1548780892,5131
P,1548780921,5131
P,1548780950,5130
P,1548780981,5131
P,1548781010,5131
P,1548781039,5131
P,1548781068,5130
P,1548781098,5131
P,1548781127,5131
P,1548781156,5128
P,1548781186,5131
P,1548781215,5130
P,1548781244,5131
P,1548781274,5130
P,1548781304,5129
P,1548781333,5131
P,1548781362,5130
P,1548781392,5131
P,1548781421,5131
P,1548781450,5130
P,1548781479,5130
P,1548781509,5131
P,1548781538,5130
P,1548781568,5131
P,1548781598,5130
P,1548781627,5131
P,1548781656,5131
P,1548781685,5131
P,1548781715,5131
P,1548781744,5131
P,1548781773,5131
P,1548781803,5131
P,1548781832,5131
P,1548781862,5130
P,1548781891,5131
P,1548781921,5130
P,1548781950,5131
O,1548781978,301870,1960
O,1548781978,302033,154
O,1548781979,302026,114
P,1548781979,5123
O,1548781979,302025,168
O,1548781980,302008,133
O,1548781980,302018,139
O,1548781981,301997,133
O,1548781982,301995,139
O,1548781982,301975,117
O,1548781983,302006,135
O,1548781983,302001,95
O,1548781984,301981,148
O,1548781984,301972,137
O,1548781985,301993,142
O,1548781986,302011,108
O,1548781986,302017,114
O,1548781987,302028,140
O,1548781987,302012,121
O,1548781988,302014,138
O,1548781988,302009,138
O,1548781989,302013,226
O,1548781990,302007,207
O,1548781990,302009,155
O,1548781991,302029,177
O,1548781991,302026,192
O,1548781992,301994,103
O,1548781992,302014,131
O,1548781993,302012,145
O,1548781994,301997,88
O,1548781994,302003,175
O,1548781995,302020,144
O,1548781995,302032,118
O,1548781996,302026,114
O,1548781996,302003,90
O,1548781997,302006,114
O,1548781998,301982,88
O,1548781998,301988,91
O,1548781999,302001,97
O,1548781999,302000,110
O,1548782000,301986,97
O,1548782000,301992,132
O,1548782001,301995,139
O,1548782002,301998,193
O,1548782002,301995,179
O,1548782003,301969,67
O,1548782003,301997,117
O,1548782004,301992,189
O,1548782004,301992,93
O,1548782005,301998,240
O,1548782005,301976,157
O,1548782006,301987,150
O,1548782007,302003,136
O,1548782007,302006,112
O,1548782008,302016,98
O,1548782008,302004,106
O,1548782009,301972,178
P,1548782009,5123
O,1548782009,301990,209
O,1548782010,301967,250
O,1548782011,301985,155
O,1548782011,301997,146
O,1548782011,302017,172
O,1548782011,302005,275
O,1548782012,301984,153
O,1548782012,301964,98
O,1548782013,301999,137
O,1548782014,301972,82
O,1548782014,301968,123
O,1548782015,301984,164
O,1548782015,301969,150
O,1548782016,301967,134
O,1548782016,301986,210
O,1548782017,301978,122
O,1548782018,301989,165
O,1548782018,301981,155
O,1548782019,301985,128
O,1548782019,301969,155
O,1548782020,301986,162
O,1548782020,302001,98
O,1548782021,301950,145
O,1548782022,301968,113
O,1548782022,301971,127
O,1548782023,301945,111
O,1548782023,301982,117
O,1548782024,301975,191
O,1548782024,301967,122
O,1548782025,301957,94
O,1548782025,301984,187
O,1548782026,301966,65
O,1548782027,301998,127
O,1548782027,302009,156
O,1548782028,301977,137
O,1548782028,301981,157
O,1548782029,301987,152
O,1548782029,302000,137
O,1548782030,301971,139
O,1548782031,302005,172
O,1548782031,301992,137
O,1548782032,301988,152
O,1548782032,301979,214
O,1548782033,301967,168
O,1548782033,301989,121
T,1548782034,2740
P,1548782038,5131
P,1548782067,5130
P,1548782096,5130
P,1548782126,5132
P,1548782156,5131
P,1548782185,5131
P,1548782215,5131
P,1548782244,5130
P,1548782273,5131
P,1548782302,5131
P,1548782332,5130
P,1548782361,5129
P,1548782390,5131
P,1548782420,5131
P,1548782450,5131
P,1548782479,5129
P,1548782508,5131
P,1548782538,5130
P,1548782567,5131
P,1548782596,5128
P,1548782626,5131
P,1548782656,5130
P,1548782685,5130
P,1548782714,5130
P,1548782745,5131
P,1548782774,5131
P,1548782803,5132
P,1548782832,5132
P,1548782862,5130
P,1548782891,5130
P,1548782920,5132
P,1548782950,5130
P,1548782979,5130
P,1548783008,5130
P,1548783038,5131
P,1548783068,5130
P,1548783097,5131
P,1548783126,5129
P,1548783156,5130
P,1548783185,5130
P,1548783214,5132
P,1548783243,5130
P,1548783273,5131
P,1548783302,5130
P,1548783332,5131
P,1548783362,5130
P,1548783391,5129
P,1548783420,5130
P,1548783449,5129
P,1548783479,5131
P,1548783508,513
