H,1549555200,428173
U,1549555200,0
E,1549555200,1
P,1549555200,5121
P,1549555230,5122
P,1549555259,5120
P,1549555288,5122
P,1549555318,5122
P,1549555347,5122
P,1549555376,5121
P,1549555406,5122
P,1549555435,5122
P,1549555464,5122
P,1549555493,5122
P,1549555524,5122
P,1549555553,5122
P,1549555582,5123
P,1549555611,5121
P,1549555641,5122
P,1549555670,5121
P,1549555699,5121
P,1549555729,5121
P,1549555758,5120
P,1549555787,5121
P,1549555817,5121
P,1549555847,5120
P,1549555876,5120
P,1549555905,5122
P,1549555935,5122
P,1549555964,5122
P,1549555993,5121
P,1549556022,5122
P,1549556052,5122
P,1549556081,5120
P,1549556111,5121
P,1549556141,5122
P,1549556171,5121
P,1549556200,5121
P,1549556229,5121
P,1549556259,5122
P,1549556288,5122
P,1549556317,5121
P,1549556347,5122
P,1549556376,5122
P,1549556406,5123
P,1549556435,5122
P,1549556465,5122
P,1549556494,5122
P,1549556523,5122
P,1549556553,5122
P,1549556582,5120
P,1549556611,5122
P,1549556640,5121
O,1549556665,295649,1917
O,1549556665,295842,140
O,1549556666,295782,150
O,1549556667,295799,154
O,1549556667,295872,140
O,1549556668,295838,165
O,1549556668,295821,230
O,1549556669,295798,211
O,1549556669,295780,130
O,1549556670,295804,162
P,1549556670,5113
O,1549556671,295849,287
O,1549556671,295801,184
O,1549556672,295854,132
O,1549556672,295893,179
O,1549556673,295889,95
O,1549556673,295875,173
O,1549556674,295864,103
O,1549556675,295911,114
O,1549556675,295861,90
O,1549556676,295881,110
O,1549556676,295952,201
O,1549556677,295990,108
O,1549556677,295970,100
O,1549556678,295948,155
O,1549556678,295960,159
O,1549556678,295944,155
O,1549556679,295928,233
O,1549556679,295862,124
O,1549556680,295893,83
O,1549556680,295956,95
O,1549556681,295990,137
O,1549556682,296010,182
O,1549556682,296044,96
O,1549556683,296024,97
O,1549556683,295988,135
O,1549556684,295984,84
O,1549556684,295977,156
O,1549556685,295978,122
O,1549556685,295962,144
O,1549556686,295923,92
O,1549556687,295913,65
O,1549556687,295924,105
O,1549556688,295969,192
O,1549556688,295955,126
O,1549556689,295959,164
O,1549556689,295977,143
O,1549556690,295976,114
O,1549556691,295988,161
O,1549556691,296037,127
O,1549556692,295986,242
O,1549556692,296018,195
O,1549556693,295993,187
O,1549556693,295996,219
O,1549556694,295993,114
O,1549556695,295991,154
O,1549556695,295991,154
O,1549556696,295981,167
O,1549556696,296011,188
O,1549556697,296015,114
O,1549556697,295985,209
O,1549556698,295997,130
O,1549556699,296007,159
O,1549556699,295966,124
P,1549556700,5115
O,1549556700,295984,90
O,1549556700,295958,126
O,1549556701,295996,156
O,1549556701,295989,201
O,1549556702,295968,179
O,1549556703,295961,155
O,1549556703,295916,115
O,1549556704,295926,145
O,1549556704,295930,205
O,1549556705,295813,189
O,1549556705,295855,114
O,1549556706,295884,169
O,1549556707,295915,154
O,1549556707,295901,137
O,1549556708,295853,155
O,1549556708,295851,169
O,1549556709,295900,107
O,1549556709,295907,124
O,1549556710,295943,173
O,1549556710,296003,171
O,1549556711,295946,156
O,1549556712,295965,113
O,1549556712,295993,111
O,1549556713,295936,172
O,1549556713,295958,114
O,1549556714,295948,104
O,1549556714,295957,179
O,1549556715,295896,176
O,1549556716,295993,227
O,1549556716,295888,146
O,1549556717,295898,106
O,1549556717,295931,180
O,1549556718,296030,213
O,1549556718,295999,190
O,1549556719,296022,177
O,1549556719,295935,187
O,1549556719,295932,165
O,1549556720,295901,257
T,1549556720,2759
P,1549556729,5119
P,1549556759,5120
P,1549556788,5122
P,1549556817,5121
P,1549556846,5121
P,1549556876,5122
P,1549556905,5122
P,1549556934,5121
P,1549556964,5122
P,1549556994,5122
P,1549557023,5122
P,1549557052,5121
P,1549557082,5121
P,1549557111,5122
P,1549557140,5121
P,1549557170,5121
P,1549557199,5122
P,1549557228,5121
P,1549557257,5122
P,1549557288,5121
P,1549557317,5121
P,1549557346,5121
P,1549557375,5121
P,1549557405,5121
P,1549557434,5121
P,1549557463,5121
P,1549557493,5121
P,1549557522,5122
P,1549557551,5122
P,1549557581,5122
P,1549557611,5121
P,1549557640,5122
P,1549557669,5122
P,1549557699,5121
P,1549557728,5122
P,1549557757,5122
P,1549557786,5122
P,1549557816,5123
P,1549557845,5122
P,1549557875,5122
P,1549557905,5122
P,1549557934,5122
P,1549557963,5121
P,1549557992,5121
P,1549558022,5122
P,1549558051,5120
P,1549558080,5121
P,1549558110,5121
P,1549558139,5120
