H,1555214675,304245
P,1555214675,5138
P,1555214704,5138
P,1555214734,5137
P,1555214763,5138
P,1555214792,5138
P,1555214823,5137
P,1555214852,5136
P,1555214881,5138
P,1555214910,5138
P,1555214940,5138
P,1555214969,5136
P,1555214998,5139
P,1555215028,5139
P,1555215057,5138
P,1555215086,5139
P,1555215116,5139
P,1555215146,5136
P,1555215175,5138
P,1555215204,5135
P,1555215234,5136
P,1555215263,5139
P,1555215292,5137
P,1555215321,5139
P,1555215351,5138
P,1555215380,5138
P,1555215410,5139
P,1555215440,5139
P,1555215469,5138
P,1555215498,5138
P,1555215527,5138
P,1555215557,5138
P,1555215586,5137
P,1555215615,5140
P,1555215645,5139
P,1555215674,5138
P,1555215704,5139
P,1555215733,5136
P,1555215763,5138
P,1555215792,5139
P,1555215821,5138
P,1555215851,5138
P,1555215880,5138
P,1555215909,5136
P,1555215938,5139
P,1555215968,5136
P,1555215998,5139
P,1555216027,5139
P,1555216057,5139
P,1555216086,5139
P,1555216115,5138
P,1555216144,5138
P,1555216174,5136
P,1555216203,5136
P,1555216232,5138
P,1555216262,5139
P,1555216292,5136
P,1555216321,5139
P,1555216350,5139
P,1555216380,5138
P,1555216409,5138
P,1555216438,5139
P,1555216467,5138
P,1555216497,5136
P,1555216526,5137
P,1555216555,5137
O,1555216556,305606,4311
O,1555216557,305874,458
O,1555216557,305826,278
O,1555216558,305931,183
O,1555216558,306053,158
O,1555216559,305964,201
O,1555216559,305942,312
O,1555216560,305989,862
O,1555216561,305483,560
O,1555216561,305786,985
O,1555216562,305575,555
O,1555216562,305791,210
O,1555216563,305791,307
O,1555216563,305804,599
O,1555216564,305834,728
O,1555216565,305600,539
O,1555216565,305633,346
O,1555216566,305648,245
O,1555216566,306063,456
O,1555216567,306343,360
O,1555216567,306112,688
O,1555216568,306693,288
O,1555216569,306455,379
O,1555216569,306207,165
O,1555216570,306140,91
O,1555216570,306110,96
O,1555216571,306092,163
O,1555216571,306099,131
O,1555216572,306163,109
O,1555216573,306190,142
O,1555216573,306254,115
O,1555216574,306294,75
O,1555216574,306161,267
O,1555216575,306352,290
O,1555216575,306635,212
O,1555216576,306445,151
O,1555216576,306406,113
O,1555216577,306616,205
O,1555216578,306716,202
O,1555216578,306755,69
O,1555216579,306750,113
O,1555216579,306589,298
O,1555216580,306384,198
O,1555216580,306351,145
O,1555216581,306322,102
O,1555216582,306243,181
O,1555216582,306108,164
O,1555216583,306021,106
O,1555216583,305973,85
O,1555216584,306024,99
O,1555216584,306131,182
O,1555216585,306329,321
O,1555216586,306385,274
P,1555216586,5130
O,1555216586,306436,140
O,1555216587,306265,191
O,1555216587,306191,257
O,1555216588,306370,210
O,1555216588,306246,209
O,1555216589,306068,209
O,1555216590,306128,106
O,1555216590,306159,104
O,1555216590,306204,167
O,1555216590,306235,100
O,1555216591,306046,243
O,1555216591,305975,100
O,1555216592,305972,98
O,1555216592,305974,173
O,1555216593,305970,102
O,1555216594,305906,122
O,1555216594,305982,86
O,1555216595,305980,150
O,1555216595,305960,81
O,1555216596,306142,265
O,1555216596,306245,122
O,1555216597,306319,147
O,1555216598,306518,287
O,1555216598,306589,137
O,1555216599,306766,251
O,1555216599,306899,149
O,1555216600,306642,278
O,1555216600,306655,354
O,1555216601,306599,214
O,1555216602,306345,347
O,1555216602,306443,362
O,1555216603,306237,961
O,1555216603,306245,268
O,1555216604,306187,443
O,1555216604,306386,560
O,1555216605,306191,438
O,1555216605,306141,185
O,1555216606,306181,231
O,1555216607,306255,188
O,1555216607,306302,145
O,1555216608,306335,225
O,1555216608,306327,94
O,1555216609,306305,168
O,1555216609,306202,204
O,1555216610,306101,146
O,1555216611,305986,165
O,1555216611,305924,100
O,1555216612,305878,102
T,1555216612,2755
P,1555216615,5138
P,1555216644,5136
P,1555216673,5137
P,1555216703,5139
P,1555216732,5139
P,1555216761,5137
P,1555216791,5139
P,1555216820,5136
P,1555216849,5138
P,1555216879,5138
P,1555216909,5139
P,1555216939,5137
P,1555216968,5139
P,1555216998,5138
P,1555217027,5137
P,1555217056,5138
P,1555217085,5138
P,1555217115,5136
P,1555217144,5138
P,1555217174,5138
P,1555217204,5137
P,1555217233,5139
P,1555217262,5139
P,1555217291,5136
P,1555217321,5137
P,1555217350,5138
P,1555217379,5136
P,1555217409,5139
P,1555217438,5139
P,1555217468,5138
P,1555217497,5136
P,1555217527,5135
P,1555217556,5138
P,1555217585,5139
P,1555217615,5137
