H,1560756297,295524
P,1560756297,5231
P,1560756326,5232
P,1560756355,5231
P,1560756385,5230
P,1560756414,5231
P,1560756443,5232
P,1560756472,5230
P,1560756502,5231
P,1560756532,5233
P,1560756561,5233
P,1560756590,5229
P,1560756620,5233
P,1560756649,5233
P,1560756678,5232
P,1560756708,5232
P,1560756737,5233
P,1560756766,5230
P,1560756795,5230
P,1560756826,5232
P,1560756855,5233
P,1560756884,5230
P,1560756914,5233
P,1560756943,5233
P,1560756972,5233
P,1560757001,5233
P,1560757031,5232
P,1560757060,5231
P,1560757089,5232
P,1560757120,5233
P,1560757149,5231
P,1560757178,5233
P,1560757207,5231
P,1560757237,5231
P,1560757266,5232
P,1560757295,5233
P,1560757325,5231
P,1560757354,5234
P,1560757383,5232
P,1560757413,5233
P,1560757443,5233
P,1560757472,5233
P,1560757501,5231
P,1560757531,5231
P,1560757560,5231
P,1560757589,5229
P,1560757618,5232
P,1560757648,5233
P,1560757677,5233
P,1560757707,5233
P,1560757737,5230
P,1560757766,5233
P,1560757795,5231
P,1560757824,5233
P,1560757854,5233
P,1560757883,5232
P,1560757912,5232
P,1560757942,5233
P,1560757971,5230
P,1560758001,5234
P,1560758030,5233
P,1560758060,5233
P,1560758089,5231
P,1560758119,5231
P,1560758149,5233
P,1560758178,5234
P,1560758207,5234
O,1560758209,279883,4873
O,1560758209,280383,222
O,1560758210,280403,109
O,1560758210,280242,219
O,1560758211,280327,242
O,1560758212,280368,202
O,1560758212,280451,174
O,1560758213,280455,136
O,1560758213,280413,314
O,1560758214,281228,635
O,1560758214,280628,1056
O,1560758215,280403,506
O,1560758215,280829,264
O,1560758216,281274,363
O,1560758217,281051,485
O,1560758217,280724,371
O,1560758218,280320,315
O,1560758218,280378,154
O,1560758219,280232,129
O,1560758219,280199,248
O,1560758220,280204,188
O,1560758221,280054,228
O,1560758221,279849,190
O,1560758222,279906,537
O,1560758222,279916,231
O,1560758223,279600,714
O,1560758223,279883,130
O,1560758224,279788,250
O,1560758225,279813,313
O,1560758225,279752,680
O,1560758226,279687,863
O,1560758226,279703,350
O,1560758227,279922,156
O,1560758227,279457,255
O,1560758228,279283,739
O,1560758228,279193,247
O,1560758229,279309,135
O,1560758230,278986,1084
O,1560758230,278128,705
O,1560758231,279889,1189
O,1560758231,279734,493
O,1560758231,279649,267
O,1560758231,279872,123
O,1560758232,279742,233
O,1560758233,279952,174
O,1560758233,279894,440
O,1560758234,280271,217
O,1560758234,280157,232
O,1560758235,280313,204
O,1560758235,280211,174
O,1560758236,280162,219
P,1560758236,5226
O,1560758237,279932,127
O,1560758237,279869,132
O,1560758238,279937,133
O,1560758238,279904,234
O,1560758239,279920,92
O,1560758239,279912,137
O,1560758240,279835,156
O,1560758241,279616,438
O,1560758241,279477,204
O,1560758242,279549,211
O,1560758242,279554,231
O,1560758243,279543,382
O,1560758243,279368,318
O,1560758244,279266,300
O,1560758244,278822,1190
O,1560758245,278276,1002
O,1560758246,278530,321
O,1560758246,278182,353
O,1560758247,278423,375
O,1560758247,278629,1030
O,1560758248,278980,719
O,1560758248,279253,713
O,1560758249,279870,1902
O,1560758250,279118,1094
O,1560758250,278822,973
O,1560758251,278937,794
O,1560758251,278275,852
O,1560758252,278570,505
O,1560758252,279217,634
O,1560758253,279016,952
O,1560758254,279034,504
O,1560758254,278476,682
O,1560758255,278930,392
O,1560758255,278974,556
O,1560758256,278827,449
O,1560758256,278785,294
O,1560758257,279249,700
O,1560758258,279084,357
O,1560758258,279231,331
O,1560758259,278930,927
O,1560758259,278396,160
O,1560758260,278505,275
O,1560758260,278684,106
O,1560758261,278778,119
O,1560758261,278820,109
O,1560758262,278930,180
O,1560758263,278837,184
O,1560758263,278831,219
O,1560758264,278750,195
O,1560758264,278660,242
T,1560758264,2954
P,1560758266,5231
P,1560758296,5233
P,1560758325,5233
P,1560758354,5228
P,1560758384,5232
E,1560758413,0
