H,1547919539,173567
P,1547919539,5160
P,1547919568,5162
P,1547919597,5162
P,1547919627,5162
P,1547919656,5161
P,1547919685,5164
P,1547919714,5160
P,1547919744,5164
P,1547919773,5162
P,1547919802,5164
P,1547919833,5162
P,1547919862,5164
P,1547919891,5164
P,1547919920,5161
P,1547919950,5162
P,1547919979,5163
P,1547920008,5164
P,1547920038,5163
P,1547920067,5163
P,1547920096,5158
P,1547920126,5162
P,1547920156,5162
P,1547920185,5162
P,1547920214,5161
P,1547920244,5163
P,1547920273,5164
P,1547920302,5161
P,1547920331,5162
P,1547920361,5164
P,1547920390,5162
P,1547920420,5162
P,1547920449,5164
P,1547920479,5162
P,1547920508,5163
P,1547920537,5162
P,1547920567,5162
P,1547920596,5160
P,1547920625,5160
P,1547920654,5163
P,1547920684,5161
P,1547920714,5163
P,1547920743,5161
P,1547920773,5161
P,1547920802,5161
P,1547920831,5160
P,1547920860,5163
P,1547920890,5164
P,1547920919,5163
P,1547920948,5162
P,1547920978,5163
P,1547921008,5164
P,1547921037,5165
P,1547921066,5162
P,1547921096,5163
O,1547921108,176166,1204
O,1547921108,176304,56
O,1547921109,176312,138
O,1547921109,176299,81
O,1547921110,176293,116
O,1547921110,176280,73
O,1547921111,176292,103
O,1547921112,176306,126
O,1547921112,176280,83
O,1547921113,176282,103
O,1547921113,176273,94
O,1547921114,176264,111
O,1547921114,176281,53
O,1547921115,176280,97
O,1547921115,176264,115
O,1547921116,176284,115
O,1547921117,176269,79
O,1547921117,176286,85
O,1547921118,176271,49
O,1547921118,176275,134
O,1547921119,176271,108
O,1547921119,176271,84
O,1547921120,176246,126
O,1547921121,176259,91
O,1547921121,176277,94
O,1547921122,176297,98
O,1547921122,176296,93
O,1547921123,176305,81
O,1547921123,176274,84
O,1547921124,176281,99
O,1547921125,176265,66
P,1547921125,5153
O,1547921125,176308,122
O,1547921126,176270,60
O,1547921126,176286,129
O,1547921127,176298,78
O,1547921127,176289,93
O,1547921128,176280,123
O,1547921129,176301,102
O,1547921129,176287,117
O,1547921130,176304,115
O,1547921130,176293,67
O,1547921131,176295,115
O,1547921131,176322,150
O,1547921132,176306,85
O,1547921132,176296,108
O,1547921133,176307,140
O,1547921134,176322,91
O,1547921134,176296,106
O,1547921135,176306,104
O,1547921135,176327,66
O,1547921136,176300,119
O,1547921136,176313,154
O,1547921137,176305,105
O,1547921138,176288,130
O,1547921138,176292,91
O,1547921139,176308,91
O,1547921139,176302,171
O,1547921140,176288,132
O,1547921140,176288,84
O,1547921141,176292,56
O,1547921142,176298,138
O,1547921142,176284,90
O,1547921143,176284,103
O,1547921143,176296,133
O,1547921144,176294,82
O,1547921144,176300,111
O,1547921145,176285,92
O,1547921146,176293,89
O,1547921146,176277,119
O,1547921146,176238,113
O,1547921146,176243,128
O,1547921147,176238,142
O,1547921147,176270,67
O,1547921148,176264,124
O,1547921148,176303,89
O,1547921149,176314,112
O,1547921150,176271,83
O,1547921150,176265,97
O,1547921151,176262,114
O,1547921151,176292,99
O,1547921152,176285,87
O,1547921152,176261,122
O,1547921153,176266,95
O,1547921154,176304,108
P,1547921154,5153
O,1547921154,176308,102
O,1547921155,176280,100
O,1547921155,176306,51
O,1547921156,176300,99
O,1547921156,176290,108
O,1547921157,176297,90
O,1547921158,176285,80
O,1547921158,176303,71
O,1547921159,176298,97
O,1547921159,176317,95
O,1547921160,176307,113
O,1547921160,176310,180
O,1547921161,176306,112
O,1547921162,176314,105
O,1547921162,176317,55
O,1547921163,176291,73
O,1547921163,176312,94
T,1547921163,2722
P,1547921184,5164
P,1547921213,5163
P,1547921242,5161
P,1547921271,5163
P,1547921302,5163
P,1547921331,5162
P,1547921360,5162
P,1547921390,5162
P,1547921420,5164
P,1547921449,5162
P,1547921478,5164
P,1547921508,5163
P,1547921537,5162
P,1547921566,5162
P,1547921597,5163
P,1547921626,5162
P,1547921655,5162
P,1547921684,5163
P,1547921714,5164
P,1547921743,5163
P,1547921772,5163
P,1547921802,5163
P,1547921831,5163
P,1547921860,5162
P,1547921890,5163
P,1547921920,5163
P,1547921949,5162
P,1547921978,5162
P,1547922008,5161
P,1547922037,5161
P,1547922066,5161
P,1547922095,5160
P,1547922125,5159
P,1547922154,5162
P,1547922184,5163
P,1547922213,5161
P,1547922243,5161
P,1547922272,5162
P,1547922301,5162
P,1547922331,5162
P,1547922360,5162
P,1547922389,5163
P,1547922418,5162
P,1547922448,5162
P,1547922478,5161
P,1547922507,5160
P,1547922537,5163
