H,1548993844,173567
P,1548993844,5114
P,1548993874,5114
P,1548993904,5114
P,1548993933,5113
P,1548993963,5116
P,1548993992,5115
P,1548994022,5115
P,1548994051,5114
P,1548994081,5116
P,1548994110,5114
P,1548994139,5115
P,1548994168,5115
P,1548994198,5115
P,1548994227,5116
P,1548994256,5114
P,1548994286,5113
P,1548994316,5116
P,1548994345,5116
P,1548994374,5112
P,1548994404,5116
P,1548994433,5116
P,1548994462,5115
P,1548994492,5113
P,1548994521,5115
P,1548994550,5115
P,1548994579,5112
P,1548994610,5116
P,1548994639,5114
P,1548994668,5112
P,1548994698,5114
P,1548994727,5107
P,1548994756,5114
P,1548994785,5115
P,1548994815,5115
P,1548994844,5115
P,1548994873,5115
P,1548994904,5115
P,1548994933,5115
P,1548994962,5116
P,1548994991,5116
O,1548995020,181345,1166
O,1548995021,181720,587
P,1548995021,5105
O,1548995021,181344,1982
O,1548995022,181856,1211
O,1548995022,181178,1219
O,1548995023,182125,1488
O,1548995023,181676,1013
O,1548995024,181198,1452
O,1548995025,181867,883
O,1548995025,182070,317
O,1548995026,182081,220
O,1548995026,181971,230
O,1548995027,181900,268
O,1548995027,181743,1885
O,1548995028,181488,1177
O,1548995029,180836,1825
O,1548995029,180894,3558
O,1548995029,181349,1735
O,1548995029,182018,534
O,1548995030,181467,1725
O,1548995030,181056,1004
O,1548995031,181918,524
O,1548995031,181551,854
O,1548995032,182136,895
O,1548995033,181883,271
O,1548995033,182077,429
O,1548995034,181788,948
O,1548995034,182295,356
O,1548995035,182661,579
O,1548995035,182522,1523
O,1548995036,181429,979
O,1548995037,180614,2208
O,1548995037,179530,3707
O,1548995038,180819,979
O,1548995038,180198,1514
O,1548995039,180433,2751
O,1548995039,180900,1512
O,1548995040,180848,1283
O,1548995041,181473,2224
O,1548995041,181383,1413
O,1548995042,181351,1320
O,1548995042,181327,976
O,1548995043,181894,748
O,1548995043,181619,472
O,1548995044,181891,469
O,1548995045,181962,375
O,1548995045,181960,595
O,1548995046,181994,375
O,1548995046,181795,322
O,1548995047,181998,484
O,1548995047,181906,319
O,1548995048,182009,191
O,1548995048,182033,734
O,1548995049,182006,579
O,1548995050,181804,782
P,1548995050,5106
O,1548995050,181715,375
O,1548995051,181560,534
O,1548995051,181530,359
O,1548995052,182041,417
O,1548995052,181789,294
O,1548995053,181840,269
O,1548995054,181883,210
O,1548995054,181916,370
O,1548995055,181990,252
O,1548995055,181861,422
O,1548995056,181683,654
O,1548995056,181533,330
O,1548995057,181509,461
O,1548995058,181536,580
O,1548995058,181609,549
O,1548995059,180648,996
O,1548995059,181244,458
O,1548995060,181295,300
O,1548995060,181690,484
O,1548995061,181903,326
O,1548995062,181831,565
O,1548995062,181766,284
O,1548995063,181278,798
O,1548995063,181232,405
O,1548995064,181422,1576
O,1548995064,181428,278
O,1548995065,181961,818
O,1548995065,182535,378
O,1548995066,182638,651
O,1548995067,181386,1566
O,1548995067,181715,965
O,1548995068,181276,1871
O,1548995068,181188,669
O,1548995069,181493,645
O,1548995069,181819,728
O,1548995070,181848,1057
O,1548995070,181906,418
O,1548995070,181774,286
O,1548995071,181716,283
O,1548995071,181643,1368
O,1548995072,181294,833
O,1548995072,181551,543
O,1548995073,181838,864
O,1548995074,182022,682
O,1548995074,181732,492
O,1548995075,181670,492
T,1548995075,2759
P,1548995079,5114
P,1548995109,5116
P,1548995138,5116
P,1548995167,5115
P,1548995197,5113
P,1548995227,5114
P,1548995256,5114
P,1548995285,5113
P,1548995315,5115
P,1548995344,5115
P,1548995373,5115
P,1548995402,5114
P,1548995432,5115
P,1548995461,5116
P,1548995491,5115
P,1548995521,5115
P,1548995550,5113
P,1548995579,5115
P,1548995608,5116
P,1548995638,5115
P,1548995667,5116
P,1548995696,5114
P,1548995726,5114
P,1548995755,5114
P,1548995785,5112
P,1548995814,5115
P,1548995844,5114
P,1548995873,5114
P,1548995902,5115
P,1548995931,5115
P,1548995961,5115
P,1548995990,5115
P,1548996019,5115
P,1548996049,5115
P,1548996079,5116
P,1548996108,5115
P,1548996137,5113
P,1548996167,5117
P,1548996196,5114
P,1548996225,5114
P,1548996255,5115
P,1548996284,5114
P,1548996313,5114
P,1548996342,5113
P,1548996373,5113
P,1548996402,5115
P,1548996431,5113
P,1548996461,5114
P,1548996490,5113
P,1548996520,5114
P,1548996549,5110
P,1548996579,5115
P,1548996608,5116
P,1548996637,5116
P,1548996668,5115
P,1548996697,5114
P,1548996726,5115
P,1548996755,5114
P,1548996785,5114
