H,1549388337,173567
P,1549388337,5124
P,1549388366,5121
P,1549388395,5121
P,1549388425,5124
P,1549388454,5123
P,1549388483,5124
P,1549388512,5125
P,1549388543,5123
P,1549388572,5123
P,1549388601,5123
P,1549388631,5124
P,1549388660,5124
P,1549388689,5122
P,1549388718,5122
P,1549388748,5122
P,1549388777,5123
P,1549388806,5122
P,1549388837,5124
P,1549388866,5122
P,1549388895,5122
P,1549388924,5124
P,1549388954,5122
P,1549388983,5117
P,1549389012,5122
P,1549389042,5123
P,1549389071,5123
P,1549389100,5123
P,1549389130,5123
P,1549389160,5123
P,1549389189,5122
P,1549389218,5123
P,1549389248,5124
P,1549389277,5124
P,1549389306,5122
P,1549389335,5123
P,1549389365,5122
P,1549389394,5122
P,1549389424,5122
P,1549389454,5123
P,1549389483,5124
P,1549389512,5123
P,1549389541,5123
P,1549389571,5122
O,1549389581,181638,1488
O,1549389581,181816,361
O,1549389582,181864,319
O,1549389582,181873,149
O,1549389583,181070,1749
O,1549389584,179610,2725
O,1549389584,178498,3740
O,1549389585,181821,1342
O,1549389585,181399,962
O,1549389586,181640,728
O,1549389586,181739,440
O,1549389587,182252,482
O,1549389588,182211,232
O,1549389588,181857,737
O,1549389589,182289,586
O,1549389589,182513,371
O,1549389590,182339,417
O,1549389590,181932,669
O,1549389591,181892,643
O,1549389592,181848,435
O,1549389592,181702,417
O,1549389593,182043,284
O,1549389593,182032,285
O,1549389594,182082,353
O,1549389594,181934,435
O,1549389595,181719,1296
O,1549389596,181402,924
O,1549389596,181613,1369
O,1549389597,181270,831
O,1549389597,181570,320
O,1549389598,181647,897
O,1549389598,181432,504
O,1549389599,181032,1393
O,1549389599,181460,1198
O,1549389600,181228,958
P,1549389600,5113
O,1549389601,181531,450
O,1549389601,181493,394
O,1549389602,181415,480
O,1549389602,181313,794
O,1549389603,181614,790
O,1549389603,181321,1100
O,1549389604,181224,1005
O,1549389605,181518,1215
O,1549389605,181734,536
O,1549389606,181448,1458
O,1549389606,181559,1155
O,1549389607,181832,518
O,1549389607,181932,192
O,1549389608,181715,352
O,1549389609,181662,653
O,1549389609,181632,571
O,1549389610,181853,317
O,1549389610,182020,190
O,1549389611,182031,312
O,1549389611,181633,233
O,1549389612,181785,300
O,1549389613,181999,225
O,1549389613,182221,254
O,1549389614,182103,166
O,1549389614,182105,177
O,1549389615,182169,148
O,1549389615,182258,131
O,1549389616,182122,194
O,1549389616,181965,233
O,1549389617,182002,110
O,1549389618,181957,123
O,1549389618,181999,327
O,1549389618,181785,464
O,1549389618,181798,198
O,1549389619,181727,121
O,1549389619,181545,390
O,1549389620,181564,459
O,1549389621,181654,294
O,1549389621,181667,574
O,1549389622,181290,933
O,1549389622,181012,454
O,1549389623,181019,1255
O,1549389623,181017,1322
O,1549389624,181027,743
O,1549389625,180841,766
O,1549389625,181371,619
O,1549389626,181729,656
O,1549389626,181661,700
O,1549389627,181852,805
O,1549389627,181617,237
O,1549389628,182046,562
O,1549389628,181627,1154
O,1549389629,181522,361
P,1549389629,5113
O,1549389630,181488,380
O,1549389630,181442,783
O,1549389631,181415,771
O,1549389631,181584,333
O,1549389632,181417,457
O,1549389632,181560,388
O,1549389633,181659,571
O,1549389634,181958,165
O,1549389634,181839,506
O,1549389635,181658,579
O,1549389635,181414,701
O,1549389636,181671,275
O,1549389636,181501,1222
T,1549389637,2718
P,1549389659,5123
P,1549389688,5123
P,1549389718,5123
P,1549389747,5124
P,1549389777,5123
P,1549389807,5122
P,1549389836,5122
P,1549389865,5124
P,1549389895,5121
P,1549389924,5120
P,1549389953,5121
P,1549389983,5123
P,1549390013,5120
P,1549390042,5123
P,1549390071,5123
P,1549390101,5122
P,1549390130,5123
P,1549390159,5121
P,1549390189,5124
P,1549390218,5122
P,1549390247,5123
P,1549390276,5122
P,1549390307,5123
P,1549390336,5122
P,1549390365,5121
P,1549390395,5122
P,1549390424,5123
P,1549390453,5122
P,1549390482,5122
P,1549390512,5122
P,1549390541,5123
P,1549390570,5122
P,1549390601,5121
P,1549390630,5121
P,1549390659,5123
P,1549390688,5122
P,1549390718,5123
P,1549390747,5121
P,1549390776,5123
P,1549390806,5123
P,1549390835,5122
P,1549390864,5122
P,1549390894,5122
P,1549390924,5124
P,1549390953,5123
P,1549390982,5122
P,1549391012,5122
P,1549391041,5121
P,1549391070,5123
P,1549391099,5124
P,1549391129,5122
P,1549391158,5123
P,1549391188,5121
P,1549391218,5123
P,1549391247,5122
P,1549391276,5123
P,1549391305,5123
P,1549391335,5123
