H,1549489559,173567
X,1549489559,609138,768
X,1549489559,609142,758
X,1549489559,608997,1269
X,1549489559,609098,1006
X,1549489560,609062,1016
X,1549489560,608836,829
X,1549489561,609021,884
X,1549489562,608967,918
X,1549489562,608990,963
X,1549489563,608903,883
X,1549489563,609124,972
X,1549489564,609125,1589
X,1549489564,609183,952
X,1549489565,609150,2016
X,1549489566,609195,1167
X,1549489566,609092,1105
X,1549489567,608641,1253
X,1549489567,608543,1429
X,1549489568,608639,2165
X,1549489568,608786,1100
X,1549489569,608957,1395
X,1549489570,609147,1162
X,1549489570,608773,1192
X,1549489571,608808,1172
X,1549489571,608870,1349
X,1549489572,608793,1326
X,1549489572,608984,658
X,1549489573,608750,1142
X,1549489574,609061,1540
X,1549489574,609109,1808
X,1549489575,608982,1201
X,1549489575,608511,1067
X,1549489576,608433,1141
X,1549489576,608689,691
X,1549489577,608637,1466
X,1549489577,609078,1049
X,1549489578,609031,1459
X,1549489579,608983,1250
X,1549489579,609005,1522
X,1549489580,608947,1451
X,1549489580,608849,934
X,1549489581,608759,849
P,1549489581,5096
X,1549489581,608815,740
X,1549489582,608682,808
A,1549489582,608966,508
T,1549489582,2715
X,1549489584,608697,866
X,1549489585,608793,797
X,1549489585,608920,970
X,1549489586,608969,895
X,1549489586,608863,836
X,1549489587,608680,869
X,1549489587,608945,810
X,1549489588,609056,1252
X,1549489589,609143,1525
X,1549489589,608802,1525
X,1549489590,608889,1083
X,1549489590,608789,1033
X,1549489591,608824,1378
X,1549489591,608931,1337
X,1549489592,608867,1523
X,1549489592,608984,1125
X,1549489593,608951,1761
X,1549489594,608942,2578
X,1549489594,609070,1885
X,1549489595,608992,1283
X,1549489595,609031,1344
X,1549489596,608945,1127
X,1549489596,608971,1256
X,1549489597,608848,1135
X,1549489598,608654,1497
X,1549489598,608926,1090
X,1549489599,608879,1058
X,1549489599,608741,1374
X,1549489600,608881,1237
X,1549489600,609047,904
X,1549489600,609199,945
X,1549489601,608704,1009
X,1549489601,608681,1101
X,1549489602,608747,1426
X,1549489602,608964,1265
X,1549489603,608894,1101
X,1549489603,608886,1052
X,1549489604,608898,1237
X,1549489604,609074,1374
X,1549489605,609079,817
X,1549489606,609166,1016
X,1549489606,609016,835
X,1549489607,608937,1074
X,1549489607,608956,563
X,1549489608,608983,1516
X,1549489608,609021,841
X,1549489609,608966,761
X,1549489610,608845,1031
X,1549489610,608857,1048
P,1549489610,5096
X,1549489611,609156,2232
X,1549489611,609217,1140
X,1549489612,608767,714
X,1549489612,608268,1774
X,1549489613,608660,1112
X,1549489614,609186,1657
X,1549489614,609147,1226
X,1549489615,609030,673
X,1549489615,609040,788
X,1549489616,609070,1218
X,1549489616,608984,1236
X,1549489617,609085,1698
X,1549489618,609127,1038
X,1549489618,609148,1077
X,1549489619,609094,1265
X,1549489619,609259,1360
X,1549489620,609141,2206
X,1549489620,609338,1346
X,1549489621,609220,1395
X,1549489621,609177,1092
X,1549489622,609245,1743
X,1549489623,609152,1926
X,1549489623,609322,1072
X,1549489624,609264,997
X,1549489624,609305,1279
X,1549489625,609281,2479
X,1549489625,609216,1105
X,1549489626,608978,1518
X,1549489627,608509,578
X,1549489627,608864,1392
X,1549489628,609283,3028
X,1549489628,609095,1105
X,1549489629,609011,809
A,1549489629,608938,755
T,1549489629,2715
X,1549489631,609171,1205
X,1549489631,609215,1513
X,1549489632,609142,667
X,1549489633,609232,1029
X,1549489633,609184,819
X,1549489634,609215,1287
X,1549489634,609321,729
X,1549489635,609279,930
X,1549489635,609629,7676
X,1549489636,608976,9573
X,1549489636,607453,32255
X,1549489637,608882,22944
X,1549489638,609478,24682
X,1549489638,608080,29517
X,1549489639,609875,30902
X,1549489639,608935,20324
X,1549489640,609336,3729
X,1549489640,609234,2368
P,1549489641,5095
X,1549489641,608859,7043
X,1549489641,608872,8505
X,1549489641,608990,5528
X,1549489642,608988,3226
X,1549489642,609235,4798
X,1549489643,608876,5361
X,1549489643,609332,3620
X,1549489644,608907,4299
X,1549489645,609015,4658
X,1549489645,609342,3875
X,1549489646,608876,3261
X,1549489646,609132,2483
X,1549489647,608983,1899
X,1549489647,608895,2100
X,1549489648,608949,3099
X,1549489649,609061,7034
X,1549489649,609222,5729
X,1549489650,609220,2425
X,1549489650,608951,2859
X,1549489651,608815,3732
