H,1551499445,211591
P,1551499445,5249
P,1551499474,5252
P,1551499503,5252
P,1551499533,5252
P,1551499562,5251
P,1551499591,5251
P,1551499621,5252
P,1551499651,5253
P,1551499680,5252
P,1551499709,5252
P,1551499739,5252
P,1551499768,5253
P,1551499797,5251
P,1551499827,5252
P,1551499856,5252
P,1551499885,5251
P,1551499914,5252
P,1551499945,5252
P,1551499974,5252
P,1551500003,5252
P,1551500033,5251
P,1551500062,5253
P,1551500091,5252
P,1551500120,5252
P,1551500150,5252
P,1551500179,5251
P,1551500208,5252
P,1551500239,5250
P,1551500268,5251
P,1551500297,5251
P,1551500326,5251
P,1551500356,5252
P,1551500385,5252
P,1551500414,5251
P,1551500444,5251
P,1551500474,5251
P,1551500503,5252
P,1551500533,5252
P,1551500563,5251
P,1551500592,5251
P,1551500621,5252
P,1551500651,5252
P,1551500680,5252
P,1551500709,5252
P,1551500738,5252
P,1551500768,5252
P,1551500797,5251
P,1551500827,5251
P,1551500856,5252
P,1551500886,5250
P,1551500915,5251
P,1551500944,5251
P,1551500974,5252
P,1551501003,5252
P,1551501032,5252
P,1551501061,5250
P,1551501091,5252
P,1551501121,5251
P,1551501150,5252
P,1551501180,5251
P,1551501209,5251
P,1551501238,5251
P,1551501267,5251
P,1551501297,5251
P,1551501326,5251
P,1551501355,5251
O,1551501372,217539,1496
O,1551501373,217662,114
O,1551501373,217675,140
O,1551501374,217650,105
O,1551501375,217663,101
O,1551501375,217675,130
O,1551501376,217663,91
O,1551501376,217665,91
O,1551501377,217651,116
O,1551501377,217643,115
O,1551501378,217648,63
O,1551501379,217648,102
O,1551501379,217666,76
O,1551501380,217631,135
O,1551501380,217650,91
O,1551501381,217652,74
O,1551501381,217641,70
O,1551501382,217636,112
O,1551501382,217662,112
O,1551501383,217655,88
O,1551501384,217664,84
O,1551501384,217649,72
O,1551501385,217665,152
O,1551501385,217654,106
P,1551501385,5244
O,1551501386,217663,84
O,1551501386,217686,124
O,1551501387,217669,70
O,1551501388,217682,91
O,1551501388,217703,98
O,1551501389,217705,110
O,1551501389,217673,121
O,1551501389,217666,116
O,1551501389,217650,82
O,1551501390,217655,95
O,1551501391,217645,88
O,1551501391,217646,99
O,1551501392,217633,91
O,1551501392,217648,89
O,1551501393,217650,63
O,1551501393,217675,99
O,1551501394,217665,106
O,1551501394,217671,139
O,1551501395,217672,107
O,1551501396,217668,127
O,1551501396,217662,110
O,1551501397,217681,158
O,1551501397,217649,117
O,1551501398,217681,77
O,1551501398,217650,69
O,1551501399,217649,76
O,1551501400,217647,86
O,1551501400,217638,146
O,1551501401,217634,135
O,1551501401,217644,53
O,1551501402,217662,118
O,1551501402,217663,82
O,1551501403,217683,66
O,1551501404,217693,128
O,1551501404,217696,59
O,1551501405,217673,46
O,1551501405,217677,151
O,1551501406,217674,84
O,1551501406,217672,101
O,1551501407,217672,147
O,1551501408,217648,79
O,1551501408,217662,74
O,1551501409,217679,83
O,1551501409,217658,102
O,1551501410,217648,175
O,1551501410,217644,105
O,1551501411,217651,130
O,1551501411,217659,123
O,1551501412,217649,116
O,1551501413,217630,115
O,1551501413,217632,104
O,1551501414,217619,86
O,1551501414,217619,161
P,1551501415,5242
O,1551501415,217590,51
O,1551501415,217588,134
O,1551501416,217603,119
O,1551501417,217604,99
O,1551501417,217622,131
O,1551501418,217645,76
O,1551501418,217611,109
O,1551501419,217606,155
O,1551501419,217599,70
O,1551501420,217595,73
O,1551501421,217592,122
O,1551501421,217590,150
O,1551501422,217617,94
O,1551501422,217613,136
O,1551501423,217622,82
O,1551501423,217602,88
O,1551501424,217626,88
O,1551501424,217648,87
O,1551501425,217668,69
O,1551501426,217639,114
O,1551501426,217648,146
O,1551501427,217620,79
O,1551501427,217601,85
O,1551501428,217620,105
T,1551501428,2804
P,1551501444,5251
P,1551501473,5251
P,1551501503,5251
P,1551501532,5250
P,1551501561,5252
P,1551501591,5251
P,1551501620,5252
P,1551501649,5251
P,1551501678,5250
P,1551501709,5250
P,1551501738,5251
P,1551501767,5251
P,1551501797,5250
P,1551501826,5251
P,1551501855,5251
P,1551501884,5251
P,1551501914,5250
P,1551501943,5251
P,1551501972,5252
P,1551502003,5251
P,1551502032,5252
P,1551502061,5251
P,1551502090,5250
P,1551502120,5251
P,1551502149,5250
P,1551502178,5251
P,1551502208,5251
P,1551502237,5251
P,1551502266,5252
P,1551502296,5251
P,1551502326,5251
P,1551502355,5251
P,1551502384,5251
