H,1553462464,211591
X,1553462464,577366,912
X,1553462465,577336,8611
X,1553462465,577122,793
X,1553462466,577227,692
X,1553462466,577444,794
X,1553462467,577483,1526
X,1553462467,577892,920
X,1553462468,577649,1115
X,1553462469,578056,676
X,1553462469,578004,714
X,1553462470,577869,542
X,1553462470,577918,951
X,1553462471,577976,667
X,1553462471,578066,371
X,1553462472,578322,501
X,1553462473,578143,561
X,1553462473,578206,536
X,1553462474,578190,483
X,1553462474,577996,485
X,1553462475,578031,964
X,1553462475,578146,388
X,1553462476,578091,468
A,1553462476,577861,1200
T,1553462476,2845
R,1553462476,700D9CE6A
X,1553462478,577811,397
X,1553462478,578067,424
X,1553462479,578180,759
X,1553462480,577915,924
X,1553462480,577897,1040
X,1553462481,577735,1485
X,1553462481,577821,1884
X,1553462482,577469,1155
X,1553462482,577549,826
X,1553462483,577456,679
X,1553462484,577219,818
P,1553462484,5184
X,1553462484,576883,685
X,1553462485,577195,761
X,1553462485,577150,366
X,1553462486,576850,499
X,1553462486,577016,601
X,1553462487,577017,735
X,1553462488,576886,855
X,1553462488,576868,884
X,1553462489,576917,267
X,1553462489,576996,641
X,1553462490,576827,516
X,1553462490,577093,724
X,1553462491,577034,896
A,1553462491,577246,1353
T,1553462491,2845
R,1553462491,700D9CE6A
X,1553462493,577164,446
X,1553462493,577008,2773
X,1553462494,577343,773
X,1553462495,577333,590
X,1553462495,577305,708
X,1553462495,577308,549
X,1553462495,577514,582
X,1553462496,577589,477
X,1553462496,577574,598
X,1553462497,577574,600
X,1553462498,577535,551
X,1553462498,577805,2991
X,1553462499,578124,1034
X,1553462499,578098,1057
X,1553462500,578419,373
X,1553462500,578601,623
X,1553462501,578464,630
X,1553462502,578375,520
X,1553462502,578001,557
X,1553462503,578184,609
X,1553462503,578353,415
X,1553462504,578426,529
X,1553462504,578174,401
X,1553462505,578390,365
A,1553462505,577881,1437
T,1553462505,2845
R,1553462505,700D9CE6A
X,1553462507,577769,534
X,1553462507,577910,597
X,1553462508,577366,4558
X,1553462509,577605,475
X,1553462509,577807,913
X,1553462510,577876,790
X,1553462510,577740,705
X,1553462511,577707,588
X,1553462511,577823,289
X,1553462512,577890,649
X,1553462513,577862,500
P,1553462513,5186
X,1553462513,577905,622
X,1553462514,577908,520
X,1553462514,577805,622
X,1553462515,577932,650
X,1553462515,577953,726
X,1553462516,578079,852
X,1553462517,578102,633
X,1553462517,578138,517
X,1553462518,578192,687
X,1553462518,578142,485
A,1553462518,577907,587
T,1553462518,2845
R,1553462519,700D9CE6A
X,1553462520,578186,537
X,1553462521,578144,549
X,1553462521,578066,634
X,1553462522,577988,1007
X,1553462522,578781,865
X,1553462523,578578,596
X,1553462524,578319,1852
X,1553462524,578837,1683
X,1553462525,578263,2007
X,1553462525,578097,822
X,1553462526,578290,655
X,1553462526,578029,529
X,1553462527,578293,422
X,1553462528,578270,659
X,1553462528,578256,404
X,1553462529,578476,792
X,1553462529,578456,727
X,1553462530,578209,291
X,1553462530,578141,687
X,1553462531,578082,366
X,1553462532,578138,630
X,1553462532,578269,463
X,1553462533,578173,471
X,1553462533,578187,393
A,1553462533,578256,752
T,1553462533,2845
R,1553462534,700D9CE6A
X,1553462535,578255,1570
X,1553462536,577340,2759
X,1553462536,577618,1444
X,1553462536,578083,615
X,1553462536,578191,712
X,1553462537,578201,833
X,1553462538,578276,769
X,1553462538,578322,602
X,1553462539,578212,330
X,1553462539,578326,648
X,1553462540,578322,449
X,1553462540,578341,709
X,1553462541,578358,366
X,1553462542,578082,597
X,1553462542,578208,693
P,1553462542,5183
X,1553462543,578161,817
X,1553462543,578097,776
X,1553462544,578205,405
X,1553462544,578226,396
X,1553462545,578160,651
X,1553462546,578215,853
X,1553462546,578231,561
X,1553462547,578138,364
A,1553462547,578217,276
T,1553462547,2845
R,1553462547,700D9CE6A
X,1553462549,578540,670
X,1553462549,578870,849
X,1553462550,578699,537
X,1553462550,578679,597
X,1553462551,578729,427
X,1553462551,578538,425
X,1553462552,578553,642
X,1553462553,578649,641
X,1553462553,578571,502
X,1553462554,578655,421
X,1553462554,578665,549
X,1553462555,578503,501
X,1553462555,578603,375
