H,1553480564,211591
D,1553480564,345600
D,1553480566,345856
D,1553480568,345856
D,1553480570,346112
D,1553480572,346624
D,1553480575,346880
D,1553480577,347136
D,1553480579,346112
D,1553480581,346112
D,1553480583,320256
P,1553480591,5179
P,1553480621,5178
P,1553480650,5178
P,1553480679,5179
P,1553480708,5179
P,1553480738,5179
P,1553480767,5178
P,1553480796,5178
P,1553480826,5179
P,1553480855,5178
P,1553480885,5179
P,1553480914,5179
P,1553480944,5180
P,1553480973,5180
P,1553481002,5178
P,1553481032,5178
P,1553481061,5179
P,1553481090,5179
P,1553481119,5179
P,1553481149,5179
P,1553481179,5179
P,1553481208,5179
P,1553481238,5178
P,1553481267,5180
P,1553481296,5179
P,1553481325,5179
P,1553481355,5179
P,1553481384,5179
P,1553481413,5179
P,1553481443,5179
O,1553481453,223454,1515
O,1553481453,223534,95
O,1553481454,223555,55
O,1553481455,223539,77
O,1553481455,223502,100
O,1553481456,223468,116
O,1553481456,223462,120
O,1553481457,223483,87
O,1553481457,223464,141
O,1553481458,223463,88
O,1553481459,223444,97
O,1553481459,223423,108
O,1553481460,223394,113
O,1553481460,223383,136
O,1553481461,223386,95
O,1553481461,223377,80
O,1553481462,223360,106
O,1553481463,223365,130
O,1553481463,223356,113
O,1553481464,223363,71
O,1553481464,223351,103
O,1553481465,223331,110
O,1553481465,223291,134
O,1553481466,223289,91
O,1553481466,223281,85
O,1553481467,223251,79
O,1553481468,223257,90
O,1553481468,223243,93
O,1553481469,223280,73
O,1553481469,223284,107
O,1553481470,223221,137
O,1553481470,223204,127
O,1553481471,223246,104
O,1553481472,223238,110
O,1553481472,223199,104
P,1553481473,5171
O,1553481473,223235,118
O,1553481473,223215,98
O,1553481474,223213,100
O,1553481474,223209,70
O,1553481475,223169,148
O,1553481476,223173,110
O,1553481476,223155,87
O,1553481477,223122,127
O,1553481477,223127,91
O,1553481478,223112,98
O,1553481478,223089,162
O,1553481479,223049,100
O,1553481480,223015,97
O,1553481480,223028,103
O,1553481481,223051,157
O,1553481481,223076,111
O,1553481482,223082,115
O,1553481482,223109,96
O,1553481483,223060,94
O,1553481483,223042,103
O,1553481484,223082,60
O,1553481485,223033,98
O,1553481485,223036,98
O,1553481485,223103,81
O,1553481485,223012,109
O,1553481486,222913,170
O,1553481486,223045,131
O,1553481487,222955,130
O,1553481488,223035,185
O,1553481488,223120,84
O,1553481489,223047,169
O,1553481489,223086,172
O,1553481490,223159,84
O,1553481490,223117,87
O,1553481491,223183,127
O,1553481492,223183,126
O,1553481492,223148,82
O,1553481493,223151,93
O,1553481493,223150,113
O,1553481494,223133,105
O,1553481494,223155,84
O,1553481495,223187,82
O,1553481496,223186,146
O,1553481496,223162,142
O,1553481497,223071,92
O,1553481497,222864,400
O,1553481498,222493,621
O,1553481498,222941,146
O,1553481499,222969,142
O,1553481499,222873,134
O,1553481500,222870,166
O,1553481501,222888,182
O,1553481501,222825,283
P,1553481502,5171
O,1553481502,223037,203
O,1553481502,222928,269
O,1553481503,223253,398
O,1553481503,223006,152
O,1553481504,223093,146
O,1553481505,223195,169
O,1553481505,223320,92
O,1553481506,223387,109
O,1553481506,223312,130
O,1553481507,223224,138
O,1553481507,223261,102
O,1553481508,223327,118
O,1553481509,223075,632
T,1553481509,2799
P,1553481531,5179
P,1553481561,5178
P,1553481590,5178
P,1553481619,5178
P,1553481649,5180
P,1553481678,5179
P,1553481707,5179
P,1553481736,5179
P,1553481767,5178
P,1553481796,5180
P,1553481825,5179
P,1553481854,5178
P,1553481884,5179
P,1553481913,5179
P,1553481942,5180
P,1553481972,5179
P,1553482001,5179
P,1553482030,5178
P,1553482060,5180
P,1553482090,5178
P,1553482119,5179
P,1553482148,5177
P,1553482178,5180
P,1553482207,5180
P,1553482236,5179
P,1553482265,5178
P,1553482295,5179
P,1553482324,5179
P,1553482354,5179
P,1553482384,5180
P,1553482413,5179
P,1553482442,5180
P,1553482471,5180
P,1553482501,5179
P,1553482530,5179
P,1553482559,5179
P,1553482589,5179
P,1553482618,5179
P,1553482648,5178
P,1553482677,5179
P,1553482707,5179
P,1553482736,5180
P,1553482766,5178
P,1553482796,5179
P,1553482825,5179
P,1553482854,5179
P,1553482883,5179
P,1553482913,5180
P,1553482943,5178
P,1553482972,5179
P,1553483002,5178
P,1553483031,5180
P,1553483060,5179
P,1553483089,5180
P,1553483119,5178
P,1553483148,5178
P,1553483177,5179
P,1553483207,5179
P,1553483237,5179
P,1553483266,5180
P,1553483295,5180
