H,1553649775,211591
P,1553649775,5175
P,1553649804,5175
P,1553649833,5177
P,1553649863,5175
P,1553649892,5175
P,1553649921,5176
P,1553649950,5175
P,1553649980,5176
P,1553650009,5174
P,1553650039,5176
P,1553650069,5174
P,1553650098,5173
P,1553650127,5175
P,1553650156,5176
P,1553650186,5175
P,1553650215,5176
P,1553650244,5175
P,1553650274,5176
P,1553650303,5175
P,1553650333,5176
P,1553650362,5174
P,1553650392,5176
P,1553650421,5175
P,1553650450,5175
P,1553650480,5176
P,1553650509,5175
P,1553650538,5175
P,1553650568,5175
P,1553650598,5175
P,1553650628,5176
P,1553650657,5176
P,1553650686,5176
P,1553650716,5175
P,1553650745,5175
P,1553650774,5176
P,1553650804,5175
P,1553650833,5175
P,1553650862,5174
P,1553650891,5175
P,1553650922,5176
P,1553650951,5176
P,1553650980,5176
P,1553651010,5175
P,1553651039,5175
P,1553651068,5175
P,1553651097,5175
P,1553651127,5174
P,1553651156,5175
P,1553651185,5175
P,1553651216,5176
P,1553651245,5176
P,1553651274,5176
P,1553651303,5176
P,1553651333,5174
P,1553651362,5175
P,1553651391,5175
P,1553651421,5175
P,1553651450,5175
P,1553651479,5176
P,1553651509,5175
O,1553651512,236233,1582
O,1553651513,236299,145
O,1553651513,236239,90
O,1553651514,236275,101
O,1553651514,236270,110
O,1553651515,236249,202
O,1553651516,236239,83
O,1553651516,236275,97
O,1553651517,236366,173
O,1553651517,236374,60
O,1553651518,236351,80
O,1553651518,236381,80
O,1553651519,236370,120
O,1553651520,236430,127
O,1553651520,236441,109
O,1553651521,236392,98
O,1553651521,236370,132
O,1553651522,236338,147
O,1553651522,236450,166
O,1553651523,236485,103
O,1553651524,236392,209
O,1553651524,236181,164
O,1553651525,236092,73
O,1553651525,236071,102
O,1553651526,236091,92
O,1553651526,236203,140
O,1553651527,236248,156
O,1553651527,236243,200
O,1553651528,236195,123
O,1553651529,236178,105
O,1553651529,236308,221
O,1553651530,236422,107
O,1553651530,236425,208
O,1553651531,236292,240
O,1553651531,236195,108
O,1553651532,236171,121
O,1553651533,236195,179
O,1553651533,236309,150
O,1553651534,236375,73
O,1553651534,236464,162
O,1553651535,236594,180
O,1553651535,236706,124
O,1553651536,236748,125
O,1553651537,236618,145
O,1553651537,236577,147
O,1553651538,236527,191
O,1553651538,236605,176
P,1553651539,5167
O,1553651539,236423,165
O,1553651539,236252,125
O,1553651540,236263,91
O,1553651541,236323,181
O,1553651541,236454,181
O,1553651542,236462,138
O,1553651542,236404,114
O,1553651543,236361,194
O,1553651543,236312,74
O,1553651544,236348,93
O,1553651544,236377,160
O,1553651545,236279,137
O,1553651546,236239,198
O,1553651546,236325,131
O,1553651547,236396,145
O,1553651547,236523,184
O,1553651547,236652,128
O,1553651547,236633,95
O,1553651548,236576,87
O,1553651549,236572,71
O,1553651549,236624,104
O,1553651550,236617,103
O,1553651550,236637,211
O,1553651551,236671,147
O,1553651551,236591,147
O,1553651552,236645,151
O,1553651553,236702,156
O,1553651553,236637,116
O,1553651554,236595,102
O,1553651554,236610,106
O,1553651555,236657,148
O,1553651555,236665,144
O,1553651556,236736,143
O,1553651557,236787,206
O,1553651557,236943,235
O,1553651558,237194,142
O,1553651558,237146,182
O,1553651559,236949,429
O,1553651559,236841,75
O,1553651560,236836,162
O,1553651560,236765,124
O,1553651561,236644,164
O,1553651562,236548,88
O,1553651562,236522,76
O,1553651563,236549,80
O,1553651563,236550,133
O,1553651564,236572,85
O,1553651564,236567,63
O,1553651565,236573,146
O,1553651566,236539,126
O,1553651566,236474,70
O,1553651567,236583,148
O,1553651567,236662,127
P,1553651568,5169
O,1553651568,236654,198
T,1553651568,2753
P,1553651597,5173
P,1553651627,5175
P,1553651656,5175
P,1553651685,5175
P,1553651714,5175
P,1553651744,5175
P,1553651773,5175
P,1553651803,5175
P,1553651833,5176
P,1553651862,5176
P,1553651891,5175
P,1553651920,5173
P,1553651950,5174
P,1553651979,5175
P,1553652008,5175
P,1553652038,5176
P,1553652067,5175
P,1553652097,5175
P,1553652126,5174
P,1553652156,5175
P,1553652185,5176
P,1553652214,5176
P,1553652244,5175
P,1553652273,5174
P,1553652302,5176
P,1553652331,5176
P,1553652361,5175
P,1553652391,5175
P,1553652420,5175
P,1553652449,5176
P,1553652479,5175
P,1553652508,5176
P,1553652537,5173
P,1553652567,5175
P,1553652596,5173
P,1553652625,5177
P,1553652654,5175
P,1553652685,5175
P,1553652714,5176
