H,1553961600,211591
U,1553961600,0
E,1553961600,1
P,1553961600,5191
P,1553961629,5190
P,1553961659,5191
P,1553961689,5189
P,1553961718,5191
P,1553961747,5191
P,1553961776,5191
P,1553961806,5191
P,1553961835,5190
P,1553961864,5190
P,1553961894,5191
P,1553961923,5191
P,1553961953,5190
P,1553961982,5190
P,1553962012,5191
P,1553962041,5191
P,1553962070,5191
P,1553962100,5190
P,1553962129,5190
P,1553962158,5191
P,1553962187,5190
P,1553962217,5192
P,1553962247,5191
P,1553962276,5190
P,1553962306,5192
P,1553962335,5191
P,1553962364,5193
P,1553962393,5191
P,1553962423,5191
P,1553962452,5190
P,1553962481,5192
P,1553962511,5192
P,1553962541,5192
P,1553962571,5191
P,1553962600,5191
P,1553962630,5192
P,1553962659,5191
P,1553962688,5191
P,1553962718,5190
P,1553962747,5191
P,1553962776,5191
P,1553962805,5190
P,1553962836,5191
P,1553962865,5191
P,1553962894,5191
P,1553962924,5190
P,1553962953,5192
P,1553962982,5191
P,1553963011,5192
P,1553963041,5191
D,1553963045,221184
D,1553963047,268032
D,1553963048,267520
D,1553963050,268032
D,1553963052,268288
D,1553963055,268544
D,1553963057,269056
D,1553963059,269568
D,1553963061,269824
D,1553963063,269568
D,1553963066,268544
D,1553963068,268288
P,1553963070,5191
P,1553963099,5193
P,1553963129,5192
O,1553963157,224368,1583
O,1553963157,224323,334
O,1553963158,224416,293
O,1553963158,224349,376
P,1553963159,5186
O,1553963159,224045,516
O,1553963160,224228,506
O,1553963160,223951,514
O,1553963161,224320,625
O,1553963161,224238,238
O,1553963162,224237,180
O,1553963162,224206,363
O,1553963163,224081,690
O,1553963164,224231,570
O,1553963164,224451,356
O,1553963165,224634,127
O,1553963165,224484,1436
O,1553963166,224208,860
O,1553963166,224372,343
O,1553963167,224197,859
O,1553963168,224420,248
O,1553963168,224647,193
O,1553963169,224456,284
O,1553963169,224583,260
O,1553963170,224489,242
O,1553963170,224443,162
O,1553963170,224514,229
O,1553963170,224508,177
O,1553963171,224668,405
O,1553963172,224523,206
O,1553963172,224661,304
O,1553963173,224503,180
O,1553963173,224686,201
O,1553963174,224569,225
O,1553963174,224799,342
O,1553963175,224387,242
O,1553963176,224597,200
O,1553963176,224747,314
O,1553963177,224792,260
O,1553963177,224400,584
O,1553963178,224756,288
O,1553963178,224831,129
O,1553963179,224806,137
O,1553963180,224755,129
O,1553963180,224821,90
O,1553963181,224894,89
O,1553963181,224840,99
O,1553963182,224836,80
O,1553963182,224873,91
O,1553963183,224881,121
O,1553963184,224804,105
O,1553963184,224760,265
O,1553963185,224836,107
O,1553963185,224774,118
O,1553963186,224621,185
O,1553963186,224698,194
O,1553963187,224724,140
O,1553963187,224564,190
P,1553963188,5184
O,1553963188,224555,108
O,1553963189,224609,187
O,1553963189,224490,464
O,1553963190,224666,438
O,1553963190,224467,509
O,1553963191,224385,95
O,1553963191,224394,342
O,1553963192,224142,561
O,1553963193,224260,280
O,1553963193,224021,785
O,1553963194,224510,656
O,1553963194,224467,404
O,1553963195,224596,285
O,1553963195,224679,338
O,1553963196,224713,115
O,1553963197,224664,318
O,1553963197,224603,170
O,1553963198,224364,659
O,1553963198,224383,440
O,1553963199,223737,862
O,1553963199,223126,1004
O,1553963200,223322,1083
O,1553963201,223546,905
O,1553963201,223919,502
O,1553963202,223981,205
O,1553963202,224021,112
O,1553963203,224463,470
O,1553963203,224700,140
O,1553963204,224679,142
O,1553963204,224422,371
O,1553963205,224143,454
O,1553963206,224385,260
O,1553963206,224173,668
O,1553963207,224055,268
O,1553963207,223929,421
O,1553963208,223696,416
O,1553963208,223903,184
O,1553963209,224197,225
O,1553963210,224358,209
O,1553963210,224583,143
O,1553963211,224523,187
O,1553963211,224592,64
O,1553963211,224629,131
O,1553963211,224724,205
T,1553963212,2917
P,1553963217,5191
P,1553963247,5191
P,1553963276,5191
P,1553963305,5191
P,1553963334,5192
P,1553963364,5191
P,1553963393,5191
P,1553963423,5192
P,1553963453,5191
P,1553963482,5191
P,1553963511,5191
P,1553963540,5191
P,1553963570,5191
P,1553963599,5191
P,1553963628,5191
D,1553963642,316928
D,1553963644,316928
D,1553963646,320000
D,1553963648,309504
D,1553963650,316928
D,1553963653,319488
D,1553963655,319488
D,1553963657,318720
P,1553963658,5192
D,1553963659,319232
D,1553963661,321792
D,1553963663,320000
D,1553963665,320512
D,1553963674,311552
D,1553963676,315392
P,1553963687,5192
P,1553963717,5191
P,1553963746,5192
P,1553963776,5192
