H,1548815078,145100
P,1548815078,5147
P,1548815107,5148
P,1548815137,5148
P,1548815166,5148
P,1548815196,5147
P,1548815225,5147
P,1548815255,5148
P,1548815284,5147
P,1548815313,5148
P,1548815343,5147
P,1548815372,5148
P,1548815401,5147
P,1548815430,5148
P,1548815460,5147
P,1548815490,5147
P,1548815519,5147
P,1548815549,5148
P,1548815578,5147
P,1548815607,5147
P,1548815636,5147
P,1548815666,5147
P,1548815695,5149
P,1548815724,5147
P,1548815754,5146
P,1548815784,5147
P,1548815813,5147
P,1548815842,5147
P,1548815872,5148
P,1548815901,5146
P,1548815930,5148
P,1548815960,5149
P,1548815989,5148
P,1548816018,5143
P,1548816047,5146
P,1548816078,5147
P,1548816107,5148
P,1548816136,5147
P,1548816166,5148
P,1548816195,5147
P,1548816224,5149
P,1548816253,5147
P,1548816283,5146
P,1548816312,5147
P,1548816341,5147
P,1548816371,5147
P,1548816401,5147
P,1548816430,5148
P,1548816459,5149
P,1548816489,5148
P,1548816518,5149
P,1548816547,5148
P,1548816576,5146
P,1548816606,5147
O,1548816619,189417,1077
O,1548816620,189400,106
O,1548816620,189384,84
O,1548816621,189396,137
O,1548816621,189438,134
O,1548816622,189430,140
O,1548816622,189402,90
O,1548816623,189424,76
O,1548816624,189542,145
O,1548816624,189692,177
O,1548816625,189591,190
O,1548816625,189784,188
O,1548816626,189850,271
O,1548816626,189836,283
O,1548816627,189705,144
O,1548816628,189575,151
O,1548816628,189453,140
O,1548816629,189359,121
O,1548816629,189329,102
O,1548816630,189410,87
O,1548816630,189412,128
O,1548816631,189476,225
O,1548816632,189665,117
O,1548816632,189512,99
O,1548816633,189459,119
O,1548816633,189417,119
O,1548816634,189420,130
O,1548816634,189371,88
O,1548816635,189378,72
P,1548816635,5138
O,1548816635,189392,162
O,1548816636,189369,93
O,1548816637,189415,124
O,1548816637,189463,137
O,1548816638,189496,209
O,1548816638,189584,143
O,1548816639,189808,209
O,1548816639,189685,170
O,1548816640,189634,69
O,1548816641,189601,132
O,1548816641,189561,116
O,1548816642,189483,118
O,1548816642,189438,93
O,1548816643,189420,64
O,1548816643,189337,72
O,1548816644,189310,86
O,1548816645,189301,154
O,1548816645,189338,115
O,1548816646,189367,92
O,1548816646,189302,125
O,1548816647,189320,158
O,1548816647,189294,77
O,1548816648,189340,153
O,1548816649,189404,61
O,1548816649,189405,127
O,1548816650,189403,116
O,1548816650,189320,114
O,1548816651,189285,141
O,1548816651,189199,131
O,1548816652,189103,205
O,1548816652,188910,98
O,1548816653,188975,236
O,1548816654,189024,159
O,1548816654,189071,117
O,1548816655,188998,107
O,1548816655,189077,167
O,1548816656,189052,116
O,1548816656,189126,105
O,1548816657,189149,142
O,1548816658,189186,240
O,1548816658,189288,148
O,1548816658,189251,79
O,1548816658,189267,73
O,1548816659,189240,130
O,1548816659,189223,74
O,1548816660,189212,107
O,1548816661,189233,124
O,1548816661,189248,83
O,1548816662,189260,95
O,1548816662,189324,115
O,1548816663,189294,121
O,1548816663,189113,351
O,1548816664,189073,186
O,1548816664,189081,259
P,1548816665,5140
O,1548816665,189129,131
O,1548816666,189197,228
O,1548816666,189341,274
O,1548816667,189218,205
O,1548816667,189090,82
O,1548816668,189082,170
O,1548816668,189223,382
O,1548816669,189290,263
O,1548816670,189564,336
O,1548816670,189108,385
O,1548816671,189166,78
O,1548816671,189046,123
O,1548816672,189216,148
O,1548816672,189169,130
O,1548816673,189022,170
O,1548816674,188958,157
O,1548816674,188972,122
O,1548816675,188996,155
T,1548816675,2743
P,1548816695,5147
P,1548816724,5146
P,1548816753,5146
P,1548816782,5147
P,1548816812,5147
P,1548816841,5146
P,1548816870,5146
P,1548816900,5147
P,1548816929,5147
P,1548816959,5148
P,1548816988,5145
P,1548817018,5146
P,1548817047,5146
P,1548817076,5148
P,1548817106,5147
P,1548817135,5148
P,1548817165,5145
P,1548817194,5148
P,1548817224,5147
P,1548817254,5146
P,1548817283,5148
P,1548817313,5146
P,1548817342,5147
P,1548817371,5147
P,1548817400,5147
P,1548817430,5148
P,1548817459,5147
P,1548817488,5147
P,1548817518,5147
P,1548817548,5147
P,1548817577,5148
P,1548817606,5146
P,1548817636,5146
P,1548817665,5146
P,1548817694,5147
P,1548817724,5147
P,1548817753,5147
P,1548817782,5148
P,1548817811,5147
P,1548817842,5147
P,1548817871,5148
P,1548817900,5147
P,1548817930,5146
P,1548817959,5148
P,1548817988,5147
P,1548818017,5147
