H,1548904477,145100
P,1548904477,5145
P,1548904506,5145
P,1548904536,5144
P,1548904565,5143
P,1548904594,5145
P,1548904624,5145
P,1548904653,5144
P,1548904682,5144
P,1548904711,5145
P,1548904741,5146
P,1548904771,5146
P,1548904800,5145
P,1548904830,5145
P,1548904859,5138
P,1548904888,5146
P,1548904917,5145
P,1548904947,5145
P,1548904976,5146
P,1548905005,5145
P,1548905035,5144
P,1548905065,5145
P,1548905094,5144
P,1548905123,5144
P,1548905153,5146
P,1548905182,5143
P,1548905211,5146
P,1548905240,5145
P,1548905270,5144
P,1548905299,5145
P,1548905328,5144
P,1548905359,5145
P,1548905388,5145
P,1548905417,5145
P,1548905446,5144
P,1548905476,5145
P,1548905505,5145
P,1548905534,5145
P,1548905564,5145
P,1548905593,5145
P,1548905622,5143
P,1548905652,5145
P,1548905682,5145
P,1548905711,5145
P,1548905740,5144
P,1548905770,5144
P,1548905799,5144
P,1548905828,5146
P,1548905857,5146
P,1548905887,5145
P,1548905916,5146
P,1548905946,5145
P,1548905976,5144
P,1548906005,5146
P,1548906034,5145
P,1548906063,5146
P,1548906093,5146
P,1548906122,5146
P,1548906151,5145
P,1548906181,5145
P,1548906210,5145
P,1548906240,5145
P,1548906269,5145
O,1548906274,189897,1310
O,1548906275,190028,124
O,1548906275,190016,132
O,1548906276,190063,124
O,1548906276,190120,130
O,1548906277,190033,65
O,1548906278,189970,76
O,1548906278,189947,204
O,1548906279,190168,250
O,1548906279,190215,170
O,1548906280,190147,172
O,1548906280,189931,162
O,1548906281,189866,214
O,1548906282,189961,338
O,1548906282,189963,120
O,1548906283,189981,337
O,1548906283,190015,325
O,1548906284,189994,317
O,1548906284,190065,121
O,1548906285,189999,97
O,1548906286,189926,172
O,1548906286,189799,87
O,1548906287,189815,270
O,1548906287,189759,203
O,1548906288,189832,243
O,1548906288,189912,213
O,1548906289,189809,93
O,1548906289,189815,187
O,1548906290,189859,116
O,1548906291,189779,191
O,1548906291,189826,99
O,1548906292,189914,158
O,1548906292,189902,154
O,1548906293,189878,109
O,1548906293,189847,159
O,1548906294,189774,102
O,1548906295,189756,125
O,1548906295,189777,164
O,1548906296,189831,88
O,1548906296,189769,112
O,1548906297,189682,151
O,1548906297,189723,123
O,1548906298,189888,246
O,1548906299,189869,91
P,1548906299,5135
O,1548906299,189894,196
O,1548906300,189853,220
O,1548906300,189802,143
O,1548906301,189865,177
O,1548906301,189744,353
O,1548906302,189942,511
O,1548906303,190063,167
O,1548906303,190009,94
O,1548906304,190000,143
O,1548906304,190008,93
O,1548906305,190072,109
O,1548906305,190081,130
O,1548906306,190046,88
O,1548906306,189928,167
O,1548906307,190027,113
O,1548906308,190076,257
O,1548906308,190104,131
O,1548906309,190117,114
O,1548906309,189926,105
O,1548906310,189867,115
O,1548906310,189977,190
O,1548906311,190006,276
O,1548906312,189914,109
O,1548906312,189947,103
O,1548906313,189861,160
O,1548906313,189925,320
O,1548906314,189770,654
O,1548906314,190140,616
O,1548906315,189981,478
O,1548906316,189749,185
O,1548906316,189835,167
O,1548906317,189791,144
O,1548906317,189704,108
O,1548906318,189642,121
O,1548906318,189655,162
O,1548906319,189615,172
O,1548906320,189591,160
O,1548906320,189610,190
O,1548906321,189700,136
O,1548906321,189670,130
O,1548906322,189664,228
O,1548906322,189643,136
O,1548906323,189658,56
O,1548906323,189693,122
O,1548906324,189656,184
O,1548906325,189662,203
O,1548906325,189722,221
O,1548906326,189742,241
O,1548906326,189900,124
O,1548906327,190049,196
O,1548906327,189977,124
O,1548906328,190049,278
O,1548906329,190108,116
P,1548906329,5134
O,1548906329,190004,209
O,1548906330,190013,202
O,1548906330,190083,94
O,1548906331,190212,264
T,1548906331,2737
P,1548906358,5145
P,1548906388,5145
P,1548906417,5146
P,1548906446,5144
P,1548906475,5145
P,1548906505,5144
P,1548906535,5143
P,1548906564,5146
P,1548906594,5145
P,1548906623,5145
P,1548906652,5146
P,1548906681,5145
P,1548906711,5145
P,1548906740,5145
P,1548906769,5145
P,1548906799,5144
P,1548906829,5144
P,1548906858,5145
P,1548906887,5145
P,1548906917,5145
P,1548906946,5146
P,1548906975,5145
P,1548907004,5145
P,1548907034,5144
P,1548907063,5145
P,1548907092,5145
P,1548907123,5144
P,1548907152,5145
P,1548907181,5146
P,1548907210,5144
P,1548907240,5144
P,1548907269,5144
P,1548907298,5143
P,1548907328,5145
P,1548907357,5145
P,1548907386,5145
P,1548907416,5146
P,1548907446,5146
P,1548907475,5145
