H,1548266107,238276
P,1548266107,5159
P,1548266137,5158
P,1548266166,5159
P,1548266195,5157
P,1548266225,5159
P,1548266255,5158
P,1548266284,5159
P,1548266313,5158
P,1548266343,5155
P,1548266372,5158
P,1548266401,5157
P,1548266430,5158
P,1548266460,5158
P,1548266489,5158
P,1548266519,5158
P,1548266549,5158
P,1548266578,5158
P,1548266607,5156
P,1548266636,5158
P,1548266666,5160
P,1548266695,5158
P,1548266724,5158
P,1548266754,5157
P,1548266783,5158
P,1548266813,5159
P,1548266842,5160
P,1548266872,5158
P,1548266901,5156
P,1548266930,5159
P,1548266960,5159
P,1548266989,5160
P,1548267018,5158
P,1548267047,5156
P,1548267077,5158
P,1548267107,5160
P,1548267136,5159
P,1548267166,5158
P,1548267195,5157
P,1548267224,5157
P,1548267253,5158
P,1548267283,5159
P,1548267312,5158
P,1548267341,5159
P,1548267371,5160
P,1548267401,5159
P,1548267430,5158
P,1548267459,5158
P,1548267489,5158
P,1548267518,5160
P,1548267547,5159
P,1548267577,5156
P,1548267606,5159
P,1548267635,5160
P,1548267664,5159
P,1548267695,5158
P,1548267724,5158
P,1548267753,5158
P,1548267783,5159
O,1548267793,257613,1720
O,1548267793,257753,117
O,1548267794,257773,99
O,1548267794,257773,86
O,1548267795,257776,78
O,1548267795,257772,124
O,1548267796,257794,112
O,1548267797,257791,107
O,1548267797,257810,93
O,1548267798,257793,87
O,1548267798,257798,101
O,1548267799,257785,47
O,1548267799,257790,80
O,1548267800,257794,73
O,1548267801,257775,78
O,1548267801,257783,150
O,1548267802,257754,121
O,1548267802,257772,87
O,1548267803,257757,49
O,1548267803,257762,73
O,1548267804,257768,108
O,1548267805,257761,103
O,1548267805,257757,100
O,1548267806,257740,101
O,1548267806,257738,97
O,1548267807,257766,63
O,1548267807,257754,63
O,1548267808,257742,65
O,1548267809,257739,68
O,1548267809,257746,79
O,1548267810,257742,81
O,1548267810,257735,81
O,1548267811,257744,91
O,1548267811,257748,66
P,1548267812,5147
O,1548267812,257772,58
O,1548267812,257766,95
O,1548267813,257774,52
O,1548267814,257752,124
O,1548267814,257777,148
O,1548267815,257757,79
O,1548267815,257757,104
O,1548267816,257740,103
O,1548267816,257763,99
O,1548267817,257782,87
O,1548267818,257761,118
O,1548267818,257774,77
O,1548267819,257788,147
O,1548267819,257763,113
O,1548267820,257752,100
O,1548267820,257754,103
O,1548267821,257747,72
O,1548267822,257746,131
O,1548267822,257747,60
O,1548267823,257741,101
O,1548267823,257738,108
O,1548267824,257760,97
O,1548267824,257750,78
O,1548267824,257753,81
O,1548267825,257752,109
O,1548267825,257779,135
O,1548267826,257791,106
O,1548267826,257784,117
O,1548267827,257760,86
O,1548267827,257781,98
O,1548267828,257777,116
O,1548267828,257796,62
O,1548267829,257781,74
O,1548267830,257779,91
O,1548267830,257772,74
O,1548267831,257768,54
O,1548267831,257776,86
O,1548267832,257767,67
O,1548267832,257763,60
O,1548267833,257764,84
O,1548267834,257761,91
O,1548267834,257769,96
O,1548267835,257771,133
O,1548267835,257745,89
O,1548267836,257759,73
O,1548267836,257768,92
O,1548267837,257768,90
O,1548267838,257766,87
O,1548267838,257780,133
O,1548267839,257787,104
O,1548267839,257735,98
O,1548267840,257725,81
O,1548267840,257715,104
O,1548267841,257723,92
P,1548267841,5148
O,1548267841,257742,158
O,1548267842,257754,105
O,1548267843,257764,68
O,1548267843,257747,122
O,1548267844,257784,123
O,1548267844,257756,150
O,1548267845,257771,59
O,1548267845,257784,68
O,1548267846,257749,94
O,1548267847,257775,103
O,1548267847,257758,108
O,1548267848,257761,78
O,1548267848,257736,95
T,1548267848,2719
P,1548267870,5159
P,1548267900,5158
P,1548267929,5158
P,1548267958,5158
P,1548267988,5157
P,1548268018,5158
P,1548268047,5159
P,1548268076,5158
P,1548268106,5157
P,1548268135,5158
P,1548268164,5159
P,1548268193,5158
P,1548268223,5157
P,1548268252,5158
P,1548268282,5158
P,1548268312,5160
P,1548268341,5159
P,1548268370,5159
P,1548268399,5159
P,1548268429,5160
P,1548268458,5160
P,1548268487,5158
P,1548268517,5158
P,1548268547,5157
P,1548268577,5158
P,1548268606,5159
P,1548268636,5159
P,1548268665,5160
P,1548268694,5159
P,1548268724,5158
P,1548268753,5158
P,1548268782,5159
P,1548268811,5158
P,1548268841,5160
P,1548268871,5159
P,1548268900,5159
P,1548268930,5159
P,1548268959,5160
P,1548268988,5159
P,1548269017,5157
P,1548269047,5158
