H,1548780568,238276
P,1548780568,5119
P,1548780598,5119
P,1548780627,5115
P,1548780656,5117
P,1548780686,5119
P,1548780715,5119
P,1548780745,5119
P,1548780774,5115
P,1548780804,5119
P,1548780833,5118
P,1548780862,5116
P,1548780892,5118
P,1548780921,5118
P,1548780950,5118
P,1548780979,5119
P,1548781009,5118
P,1548781039,5117
P,1548781068,5118
P,1548781098,5118
P,1548781127,5118
P,1548781156,5117
P,1548781185,5118
P,1548781215,5118
P,1548781244,5119
P,1548781273,5119
P,1548781303,5119
P,1548781333,5120
P,1548781362,5116
P,1548781391,5119
P,1548781421,5119
P,1548781450,5119
P,1548781479,5119
P,1548781509,5119
P,1548781538,5118
P,1548781567,5118
P,1548781596,5118
P,1548781627,5118
P,1548781656,5118
P,1548781685,5118
P,1548781714,5118
P,1548781744,5118
P,1548781773,5119
P,1548781802,5118
P,1548781832,5118
P,1548781861,5119
P,1548781890,5117
P,1548781920,5119
P,1548781950,5117
P,1548781979,5120
P,1548782008,5119
P,1548782038,5117
P,1548782067,5119
O,1548782069,275873,2421
O,1548782069,275896,763
O,1548782070,275870,623
O,1548782070,275888,1121
O,1548782071,275592,1070
O,1548782071,275742,701
O,1548782072,275684,1198
O,1548782073,275791,1267
O,1548782073,276216,859
O,1548782074,275829,951
O,1548782074,275770,856
O,1548782075,275984,821
O,1548782075,276488,764
O,1548782076,276198,600
O,1548782077,275851,1153
O,1548782077,275909,792
O,1548782078,275931,1017
O,1548782078,275859,1015
O,1548782079,275834,1495
O,1548782079,275944,1014
O,1548782080,276016,939
O,1548782081,275921,340
O,1548782081,276253,642
O,1548782082,276219,644
O,1548782082,276235,611
O,1548782083,276201,541
O,1548782083,275982,1215
O,1548782083,276204,577
O,1548782083,276066,526
O,1548782084,276249,528
O,1548782085,276353,544
O,1548782085,276266,1372
O,1548782086,276189,1193
O,1548782086,276296,447
O,1548782087,276159,1452
O,1548782087,276025,1255
O,1548782088,276050,842
O,1548782089,275994,1130
O,1548782089,276269,356
O,1548782090,276211,660
O,1548782090,275853,451
O,1548782091,276125,529
O,1548782091,276373,377
O,1548782092,276252,476
O,1548782093,275996,995
O,1548782093,276092,922
O,1548782094,276270,845
O,1548782094,275900,434
O,1548782095,276374,1002
O,1548782095,276306,1042
O,1548782096,276295,1051
P,1548782096,5110
O,1548782096,276413,549
O,1548782097,276077,727
O,1548782098,276294,570
O,1548782098,276079,924
O,1548782099,276030,891
O,1548782099,276301,886
O,1548782100,276002,592
O,1548782100,276208,897
O,1548782101,276411,1062
O,1548782102,276291,979
O,1548782102,276054,823
O,1548782103,276524,840
O,1548782103,276603,492
O,1548782104,276469,248
O,1548782104,276371,877
O,1548782105,276626,568
O,1548782106,276582,762
O,1548782106,276421,914
O,1548782107,276590,491
O,1548782107,276292,647
O,1548782108,276271,475
O,1548782108,276342,602
O,1548782109,276589,470
O,1548782110,276631,326
O,1548782110,276456,542
O,1548782111,276505,829
O,1548782111,276620,485
O,1548782112,276755,536
O,1548782112,276534,489
O,1548782113,276628,636
O,1548782113,276377,745
O,1548782114,276618,314
O,1548782115,276432,538
O,1548782115,276447,530
O,1548782116,276380,473
O,1548782116,276503,695
O,1548782117,276368,398
O,1548782117,276568,676
O,1548782118,276521,607
O,1548782119,276569,654
O,1548782119,276605,527
O,1548782120,276524,649
O,1548782120,276336,686
O,1548782121,276420,496
O,1548782121,276476,571
O,1548782122,276467,974
O,1548782123,276424,1211
O,1548782123,276514,450
O,1548782124,276365,469
O,1548782124,276333,1169
T,1548782124,2733
P,1548782125,5118
P,1548782155,5118
P,1548782184,5119
P,1548782214,5119
P,1548782244,5118
P,1548782273,5118
P,1548782302,5117
P,1548782331,5117
P,1548782361,5118
P,1548782390,5120
P,1548782419,5117
P,1548782449,5117
P,1548782479,5117
P,1548782509,5117
P,1548782538,5118
P,1548782568,5117
P,1548782597,5118
P,1548782626,5117
P,1548782656,5118
P,1548782685,5117
P,1548782714,5117
P,1548782743,5118
P,1548782773,5119
P,1548782803,5117
P,1548782832,5118
P,1548782862,5118
P,1548782891,5119
P,1548782920,5117
P,1548782949,5118
P,1548782979,5118
P,1548783008,5118
P,1548783037,5117
P,1548783067,5118
P,1548783097,5118
P,1548783126,5117
P,1548783155,5116
P,1548783185,5117
P,1548783214,5117
P,1548783243,5117
P,1548783273,5117
P,1548783302,5117
P,1548783331,5118
P,1548783360,5117
P,1548783391,5117
P,1548783420,5118
P,1548783449,5118
P,1548783478,5118
P,1548783508,5118
