H,1552781542,274013
P,1552781542,5176
P,1552781572,5176
P,1552781601,5177
P,1552781630,5174
P,1552781660,5176
P,1552781689,5174
P,1552781718,5176
P,1552781748,5175
P,1552781777,5176
P,1552781806,5175
P,1552781835,5178
P,1552781866,5177
P,1552781895,5176
P,1552781924,5176
P,1552781954,5177
P,1552781983,5176
P,1552782012,5176
P,1552782041,5176
P,1552782071,5175
P,1552782100,5176
P,1552782129,5176
P,1552782160,5176
P,1552782189,5177
P,1552782218,5176
P,1552782247,5176
P,1552782277,5177
P,1552782306,5177
P,1552782335,5175
P,1552782365,5176
P,1552782394,5177
P,1552782423,5174
P,1552782453,5176
P,1552782483,5176
P,1552782512,5176
P,1552782541,5175
P,1552782571,5175
P,1552782600,5175
P,1552782629,5175
P,1552782658,5175
P,1552782688,5176
P,1552782717,5176
P,1552782747,5177
P,1552782776,5175
P,1552782806,5174
P,1552782835,5175
P,1552782864,5176
P,1552782894,5175
P,1552782923,5176
P,1552782952,5175
P,1552782981,5175
P,1552783011,5175
P,1552783041,5175
P,1552783070,5176
P,1552783100,5176
P,1552783129,5175
P,1552783158,5175
P,1552783187,5175
P,1552783217,5176
P,1552783246,5175
P,1552783275,5175
P,1552783305,5176
O,1552783331,278257,1951
O,1552783331,278445,1051
O,1552783332,278222,735
O,1552783333,278441,253
O,1552783333,278315,286
O,1552783334,278131,275
O,1552783334,278311,283
P,1552783335,5168
O,1552783335,278210,415
O,1552783335,278099,453
O,1552783336,278206,342
O,1552783336,278298,236
O,1552783337,277798,564
O,1552783338,277285,735
O,1552783338,277056,542
O,1552783339,277562,326
O,1552783339,277649,492
O,1552783340,277848,174
O,1552783340,277791,365
O,1552783341,278060,472
O,1552783342,278421,217
O,1552783342,278518,597
O,1552783343,278166,573
O,1552783343,277934,1024
O,1552783344,277712,596
O,1552783344,277987,217
O,1552783345,278257,353
O,1552783346,278401,785
O,1552783346,278258,497
O,1552783347,278193,454
O,1552783347,277522,769
O,1552783348,278241,276
O,1552783348,278292,325
O,1552783349,278018,427
O,1552783349,277928,718
O,1552783350,278020,291
O,1552783350,278217,413
O,1552783350,278446,364
O,1552783351,278450,214
O,1552783351,278677,143
O,1552783352,278398,669
O,1552783352,278245,381
O,1552783353,278521,318
O,1552783354,278533,329
O,1552783354,278759,686
O,1552783355,279095,216
O,1552783355,278881,604
O,1552783356,278356,221
O,1552783356,278173,219
O,1552783357,278367,137
O,1552783358,278498,274
O,1552783358,278696,207
O,1552783359,278734,285
O,1552783359,278286,322
O,1552783360,278489,370
O,1552783360,278299,285
O,1552783361,278592,543
O,1552783362,278235,617
O,1552783362,278434,834
O,1552783363,277996,1129
O,1552783363,278442,195
P,1552783364,5167
O,1552783364,278586,480
O,1552783364,278705,197
O,1552783365,278838,239
O,1552783365,278741,443
O,1552783366,278432,222
O,1552783367,278569,587
O,1552783367,278302,595
O,1552783368,278262,456
O,1552783368,278204,475
O,1552783369,277838,234
O,1552783369,278017,338
O,1552783370,278234,575
O,1552783371,278036,417
O,1552783371,278465,280
O,1552783372,278749,414
O,1552783372,278856,162
O,1552783373,278594,582
O,1552783373,278352,205
O,1552783374,278758,199
O,1552783375,278762,196
O,1552783375,278687,95
O,1552783376,278789,191
O,1552783376,278825,59
O,1552783377,278828,158
O,1552783377,278765,134
O,1552783378,278737,169
O,1552783379,278776,145
O,1552783379,278831,99
O,1552783380,278750,344
O,1552783380,278399,107
O,1552783381,278327,210
O,1552783381,278356,267
O,1552783382,278428,301
O,1552783382,278752,164
O,1552783383,278415,313
O,1552783384,278523,149
O,1552783384,278368,325
O,1552783385,278269,260
O,1552783385,278239,190
O,1552783386,278310,204
O,1552783386,278279,175
T,1552783387,2794
P,1552783393,5175
P,1552783423,5175
P,1552783452,5177
P,1552783481,5174
P,1552783511,5175
P,1552783540,5175
P,1552783569,5177
P,1552783598,5175
P,1552783629,5175
P,1552783658,5177
P,1552783687,5176
P,1552783717,5176
P,1552783746,5177
P,1552783775,5177
P,1552783804,5176
P,1552783834,5174
P,1552783863,5175
P,1552783892,5177
P,1552783923,5176
P,1552783952,5176
P,1552783982,5176
P,1552784011,5175
P,1552784041,5174
P,1552784070,5173
P,1552784099,5176
P,1552784129,5175
P,1552784158,5175
P,1552784187,5175
P,1552784217,5175
P,1552784247,5175
P,1552784276,5176
P,1552784305,5175
P,1552784335,5175
P,1552784364,5174
P,1552784393,5174
P,1552784422,5176
P,1552784452,5176
P,1552784481,5176
