H,1553014170,274013
P,1553014170,5161
P,1553014199,5160
P,1553014228,5162
P,1553014258,5161
P,1553014287,5160
P,1553014316,5162
P,1553014346,5161
P,1553014375,5160
P,1553014404,5160
P,1553014434,5163
P,1553014464,5159
P,1553014493,5160
P,1553014522,5162
P,1553014552,5163
D,1553014558,342784
D,1553014560,342528
D,1553014562,335360
P,1553014581,5161
P,1553014610,5161
P,1553014639,5160
P,1553014669,5161
P,1553014699,5160
P,1553014729,5162
P,1553014759,5162
P,1553014788,5161
P,1553014817,5159
P,1553014846,5162
P,1553014876,5162
P,1553014905,5162
P,1553014934,5160
P,1553014964,5162
P,1553014993,5162
P,1553015023,5158
P,1553015052,5161
P,1553015082,5161
P,1553015111,5159
P,1553015140,5162
P,1553015170,5161
P,1553015199,5161
O,1553015213,275084,1887
O,1553015213,275350,417
O,1553015213,275122,739
O,1553015213,273783,2786
O,1553015214,272298,1029
O,1553015214,271574,4438
O,1553015215,272706,2839
O,1553015216,273737,1066
O,1553015216,273796,635
O,1553015217,273764,1120
O,1553015217,275645,1833
O,1553015218,277396,1356
O,1553015218,276080,2494
O,1553015219,275756,906
O,1553015220,275989,1153
O,1553015220,275722,319
O,1553015221,275891,788
O,1553015221,276550,873
O,1553015222,276494,1100
O,1553015222,276310,593
O,1553015223,275696,494
O,1553015224,274880,1635
O,1553015224,272956,2556
O,1553015225,274034,1252
O,1553015225,274570,558
O,1553015226,273629,1668
O,1553015226,272832,334
O,1553015227,273073,649
O,1553015227,273312,959
O,1553015228,274076,938
P,1553015228,5154
O,1553015229,274618,309
O,1553015229,274766,434
O,1553015230,274846,373
O,1553015230,275086,345
O,1553015231,275335,196
O,1553015231,275380,222
O,1553015232,274761,390
O,1553015233,273919,994
O,1553015233,273270,825
O,1553015234,273838,2006
O,1553015234,274655,1003
O,1553015235,274946,817
O,1553015235,273984,1511
O,1553015236,275270,377
O,1553015237,274086,2332
O,1553015237,273370,733
O,1553015238,274170,781
O,1553015238,273915,862
O,1553015239,273270,621
O,1553015239,273478,574
O,1553015240,273776,343
O,1553015241,274429,524
O,1553015241,273992,836
O,1553015242,272872,1620
O,1553015242,272312,1298
O,1553015243,273520,718
O,1553015243,274080,679
O,1553015244,274514,458
O,1553015244,275225,335
O,1553015245,275189,394
O,1553015246,275307,350
O,1553015246,274922,279
O,1553015247,275164,619
O,1553015247,275418,223
O,1553015248,275273,409
O,1553015248,275211,411
O,1553015249,275320,139
O,1553015250,275409,47
O,1553015250,275399,122
O,1553015251,275478,91
O,1553015251,275454,93
O,1553015252,275422,70
O,1553015252,275488,128
O,1553015253,275542,103
O,1553015254,275457,181
O,1553015254,275400,78
O,1553015254,275393,158
O,1553015254,275403,159
O,1553015255,275250,185
O,1553015255,275398,186
O,1553015256,275503,145
O,1553015257,275474,225
O,1553015257,275131,336
P,1553015257,5151
O,1553015258,274896,234
O,1553015258,274937,480
O,1553015259,274645,416
O,1553015259,274107,339
O,1553015260,274363,639
O,1553015260,275098,146
O,1553015261,275028,455
O,1553015262,274709,213
O,1553015262,274418,440
O,1553015263,273976,355
O,1553015263,274176,398
O,1553015264,274330,1041
O,1553015264,274731,509
O,1553015265,275189,586
O,1553015266,275493,180
O,1553015266,275297,327
O,1553015267,274912,194
O,1553015267,275079,299
T,1553015267,2801
P,1553015287,5160
P,1553015317,5160
P,1553015346,5160
P,1553015376,5158
P,1553015405,5160
P,1553015434,5159
P,1553015463,5162
P,1553015493,5161
P,1553015522,5162
P,1553015551,5162
P,1553015581,5162
P,1553015611,5162
P,1553015640,5161
P,1553015669,5161
P,1553015699,5160
P,1553015728,5162
P,1553015757,5160
P,1553015787,5162
P,1553015816,5162
P,1553015845,5159
P,1553015874,5160
P,1553015905,5162
P,1553015934,5160
P,1553015963,5159
P,1553015992,5162
P,1553016022,5160
P,1553016051,5162
P,1553016080,5162
P,1553016110,5161
P,1553016139,5162
P,1553016168,5159
P,1553016198,5161
P,1553016228,5162
P,1553016257,5161
P,1553016286,5161
P,1553016316,5161
P,1553016345,5162
P,1553016374,5161
P,1553016403,5161
P,1553016433,5159
P,1553016462,5161
P,1553016492,5161
P,1553016522,5161
P,1553016551,5160
P,1553016580,5159
P,1553016609,5161
P,1553016639,5160
P,1553016668,5162
P,1553016697,5162
P,1553016727,5161
P,1553016756,5160
P,1553016786,5161
P,1553016815,5161
P,1553016845,5161
P,1553016874,5162
P,1553016903,5160
P,1553016933,5160
P,1553016962,5161
P,1553016991,5162
P,1553017020,5162
