H,1553187204,274013
P,1553187204,5160
P,1553187233,5157
P,1553187262,5158
P,1553187291,5158
P,1553187321,5158
P,1553187350,5160
P,1553187379,5160
P,1553187409,5160
P,1553187439,5161
P,1553187468,5161
P,1553187497,5160
P,1553187527,5159
D,1553187528,340736
D,1553187530,338688
D,1553187532,338432
D,1553187533,339200
D,1553187535,340224
D,1553187538,338944
D,1553187540,338688
D,1553187542,338688
D,1553187544,338688
D,1553187546,339712
D,1553187549,340480
D,1553187551,338944
D,1553187553,338944
D,1553187555,339456
P,1553187556,5157
D,1553187557,340224
D,1553187560,339456
D,1553187562,340224
D,1553187564,339200
D,1553187566,339200
D,1553187568,339456
D,1553187571,339456
D,1553187573,339456
D,1553187574,339712
D,1553187576,342272
D,1553187578,338688
D,1553187581,339712
D,1553187583,338944
D,1553187585,339200
P,1553187585,5160
D,1553187587,340480
D,1553187589,338432
D,1553187592,339200
D,1553187594,339200
D,1553187596,338432
D,1553187598,339712
D,1553187600,338944
D,1553187603,340224
D,1553187605,339712
D,1553187607,339968
D,1553187609,339968
D,1553187611,339712
D,1553187614,337152
P,1553187614,5159
D,1553187615,339456
D,1553187617,340480
D,1553187619,339456
D,1553187621,339712
D,1553187624,340224
D,1553187626,334592
P,1553187644,5160
P,1553187673,5160
P,1553187702,5161
P,1553187733,5159
P,1553187763,5159
O,1553187767,276821,2101
O,1553187767,277182,488
O,1553187768,277660,284
O,1553187769,277491,284
O,1553187769,276922,321
O,1553187770,276455,376
O,1553187770,276206,383
O,1553187771,276147,268
O,1553187771,276185,236
O,1553187772,276587,285
O,1553187773,276740,330
O,1553187773,276836,446
O,1553187774,276777,552
O,1553187774,276715,209
O,1553187775,276531,210
O,1553187775,276342,419
O,1553187776,275940,453
O,1553187777,275659,147
O,1553187777,275621,120
O,1553187778,275603,146
O,1553187778,275674,184
O,1553187779,275569,216
O,1553187779,275611,163
O,1553187779,275538,150
O,1553187780,275478,140
O,1553187780,275428,140
O,1553187781,275408,117
O,1553187781,275333,49
O,1553187782,275335,100
O,1553187782,275345,70
O,1553187783,275351,185
O,1553187783,275341,132
O,1553187784,275347,118
O,1553187785,275359,129
O,1553187785,275389,97
O,1553187786,275417,61
O,1553187786,275491,162
O,1553187787,275528,205
O,1553187787,275733,296
O,1553187788,275569,252
O,1553187789,275610,106
O,1553187789,275765,131
O,1553187790,275454,297
O,1553187790,275438,292
O,1553187791,275428,144
O,1553187791,275435,161
P,1553187792,5149
O,1553187792,275213,269
O,1553187793,275308,186
O,1553187793,275198,160
O,1553187794,275227,163
O,1553187794,275277,106
O,1553187795,275319,151
O,1553187795,275397,141
O,1553187796,275615,242
O,1553187797,275781,242
O,1553187797,275490,308
O,1553187798,275437,225
O,1553187798,275446,295
O,1553187799,275700,151
O,1553187799,275451,219
O,1553187800,275480,158
O,1553187800,275420,352
O,1553187801,275328,266
O,1553187802,275384,102
O,1553187802,275350,170
O,1553187803,275396,303
O,1553187803,275211,308
O,1553187804,275292,222
O,1553187804,275512,139
O,1553187805,275486,185
O,1553187806,275407,158
O,1553187806,275376,108
O,1553187807,275404,183
O,1553187807,275507,169
O,1553187808,275584,154
O,1553187808,275580,86
O,1553187809,275572,160
O,1553187810,275497,123
O,1553187810,275431,143
O,1553187811,275437,78
O,1553187811,275404,109
O,1553187812,275373,80
O,1553187812,275437,99
O,1553187813,275381,115
O,1553187814,275229,69
O,1553187814,275314,142
O,1553187815,275456,129
O,1553187815,275422,210
O,1553187816,275437,137
O,1553187816,275434,112
O,1553187817,275481,84
O,1553187817,275497,125
O,1553187818,275528,113
O,1553187819,275491,124
O,1553187819,275443,59
O,1553187820,275448,89
O,1553187820,275457,107
O,1553187820,275473,191
O,1553187820,275488,95
P,1553187821,5152
O,1553187821,275521,89
O,1553187822,275450,73
T,1553187822,2838
P,1553187851,5160
P,1553187880,5160
P,1553187909,5159
P,1553187939,5160
P,1553187968,5160
P,1553187997,5159
P,1553188027,5160
P,1553188057,5160
P,1553188086,5160
P,1553188115,5159
P,1553188145,5160
P,1553188174,5160
P,1553188203,5160
P,1553188232,5159
P,1553188262,5159
P,1553188291,5157
P,1553188321,5159
P,1553188351,5159
P,1553188380,5158
P,1553188409,5158
P,1553188438,5160
P,1553188468,5158
P,1553188497,5159
P,1553188526,5160
P,1553188556,5158
P,1553188585,5159
P,1553188615,5158
P,1553188644,5160
P,1553188674,5154
P,1553188703,5159
P,1553188732,5161
P,1553188762,5159
P,1553188791,5159
