H,1553883959,274013
P,1553883959,5162
P,1553883989,5162
P,1553884018,5161
P,1553884047,5162
P,1553884077,5162
P,1553884106,5160
P,1553884135,5161
P,1553884164,5161
P,1553884195,5162
P,1553884224,5163
P,1553884253,5163
P,1553884283,5162
P,1553884312,5161
P,1553884341,5162
P,1553884370,5160
P,1553884400,5159
P,1553884429,5163
P,1553884458,5163
P,1553884489,5161
P,1553884518,5161
P,1553884547,5161
P,1553884576,5162
P,1553884606,5163
P,1553884635,5162
P,1553884664,5162
P,1553884694,5162
P,1553884723,5160
P,1553884752,5162
P,1553884782,5162
P,1553884812,5160
P,1553884841,5161
P,1553884870,5161
P,1553884900,5162
P,1553884929,5163
P,1553884958,5161
P,1553884987,5162
P,1553885017,5161
P,1553885046,5162
P,1553885076,5160
P,1553885105,5162
P,1553885135,5161
P,1553885164,5162
P,1553885193,5161
P,1553885223,5162
P,1553885253,5162
P,1553885282,5162
P,1553885311,5161
P,1553885341,5162
P,1553885371,5163
P,1553885400,5161
P,1553885430,5160
P,1553885459,5162
P,1553885488,5161
P,1553885517,5161
P,1553885547,5161
P,1553885576,5161
P,1553885605,5159
P,1553885635,5162
P,1553885665,5161
P,1553885694,5161
P,1553885723,5162
P,1553885753,5160
P,1553885782,5160
P,1553885811,5162
P,1553885841,5162
P,1553885870,5161
P,1553885899,5162
P,1553885928,5159
P,1553885959,5161
P,1553885988,5162
P,1553886017,5162
O,1553886031,270842,3614
O,1553886031,271471,2010
O,1553886032,271240,1319
O,1553886032,271719,1487
O,1553886033,272036,1320
O,1553886033,271373,1712
O,1553886034,271393,1083
O,1553886035,271380,1274
O,1553886035,271883,1663
O,1553886036,271475,1713
O,1553886036,271373,1501
O,1553886037,271933,1156
O,1553886037,272310,791
O,1553886038,272177,1564
O,1553886039,271930,2144
O,1553886039,271788,1104
O,1553886040,271113,2265
O,1553886040,270949,1478
O,1553886041,271025,1372
O,1553886041,271798,1662
O,1553886042,272703,962
O,1553886043,272480,3295
O,1553886043,272688,1354
O,1553886044,272916,1549
O,1553886044,272561,1044
O,1553886045,273473,1975
O,1553886045,273478,1559
O,1553886046,271704,1094
O,1553886046,271830,1729
P,1553886047,5152
O,1553886047,271131,1798
O,1553886048,271504,2845
O,1553886048,271381,2599
O,1553886049,271039,4050
O,1553886049,271729,1877
O,1553886049,271692,3026
O,1553886049,270699,1642
O,1553886050,271312,2921
O,1553886051,271040,1970
O,1553886051,270934,2802
O,1553886052,270917,3720
O,1553886052,269943,2605
O,1553886053,270869,3319
O,1553886053,271007,2288
O,1553886054,272462,1128
O,1553886055,270992,1909
O,1553886055,271775,2135
O,1553886056,271528,2739
O,1553886056,271898,1529
O,1553886057,271192,3337
O,1553886057,270547,2828
O,1553886058,271300,4346
O,1553886059,271662,1992
O,1553886059,272143,2134
O,1553886060,271051,3600
O,1553886060,270555,2479
O,1553886061,270985,2601
O,1553886061,270875,2473
O,1553886062,270650,1820
O,1553886062,270187,2797
O,1553886063,271844,3628
O,1553886064,271191,5172
O,1553886064,270938,3269
O,1553886065,269778,2950
O,1553886065,271028,3399
O,1553886066,271446,2517
O,1553886066,271464,2224
O,1553886067,271453,1136
O,1553886068,271604,2043
O,1553886068,271449,2046
O,1553886069,271548,768
O,1553886069,270945,1690
O,1553886070,271400,3721
O,1553886070,271871,2405
O,1553886071,272270,2068
O,1553886072,271963,1529
O,1553886072,271958,1151
O,1553886073,272283,901
O,1553886073,271836,1047
O,1553886074,272287,962
O,1553886074,272349,1175
O,1553886075,272284,1406
O,1553886076,271671,1045
P,1553886076,5153
O,1553886076,271425,1187
O,1553886077,271752,2492
O,1553886077,271966,1094
O,1553886078,272309,1471
O,1553886078,272009,1954
O,1553886079,272460,1239
O,1553886079,272323,1266
O,1553886080,272301,2057
O,1553886081,272192,1316
O,1553886081,272448,867
O,1553886082,272896,1194
O,1553886082,272481,1026
O,1553886083,272421,505
O,1553886083,272416,934
O,1553886084,271368,1529
O,1553886085,271623,1719
O,1553886085,271697,1984
O,1553886086,271933,1134
O,1553886086,271769,1429
T,1553886086,2838
P,1553886105,5161
P,1553886134,5161
P,1553886164,5161
P,1553886193,5160
P,1553886222,5162
P,1553886253,5160
P,1553886282,5161
P,1553886311,5160
P,1553886340,5160
P,1553886370,5162
P,1553886399,5162
P,1553886428,5159
P,1553886458,5161
P,1553886487,5162
P,1553886516,5162
P,1553886546,5162
P,1553886576,5161
P,1553886605,5160
P,1553886634,5160
P,1553886664,5161
P,1553886693,5159
P,1553886722,5162
P,1553886751,5161
P,1553886781,5162
P,1553886810,5162
P,1553886840,5163
P,1553886869,5162
P,1553886899,5162
